# BEAST v10.5.0
# Generated Thu May 14 11:19:03 PDT 2026 [seed=1778782704497]
# -window -working -options
state	posterior	prior	likelihood	null1	Bomarea_brevis_Bolivia_Teran1759.latent1	Bomarea_brevis_Bolivia_Teran1759.latent2	Bomarea_coccinea_Peru_Nunez13229.latent1	Bomarea_coccinea_Peru_Nunez13229.latent2	Bomarea_sp__oso_Peru_Graham12613.latent1	Bomarea_sp__oso_Peru_Graham12613.latent2	Bomarea_pumila_Bolivia_Fuentes13830.latent1	Bomarea_pumila_Bolivia_Fuentes13830.latent2	Bomarea_secundifolia_Peru_Macbride4962.latent1	Bomarea_secundifolia_Peru_Macbride4962.latent2	Bomarea_dispar_Peru_SchunkeV_3544.latent1	Bomarea_dispar_Peru_SchunkeV_3544.latent2	Bomarea_sp__ponillalsoya_Peru_Graham12616.latent1	Bomarea_sp__ponillalsoya_Peru_Graham12616.latent2	Bomarea_diffracta_Colombia_Tribble12.latent1	Bomarea_diffracta_Colombia_Tribble12.latent2	Bomarea_amilcariana_Venezuela_Dorr8337.latent1	Bomarea_amilcariana_Venezuela_Dorr8337.latent2	Bomarea_peruviana_Peru_Stein2033B.latent1	Bomarea_peruviana_Peru_Stein2033B.latent2	Bomarea_setacea_Colombia_Tribble7.latent1	Bomarea_setacea_Colombia_Tribble7.latent2	Bomarea_sp__catanatasoya_Peru_Graham12611.latent1	Bomarea_sp__catanatasoya_Peru_Graham12611.latent2	Bomarea_ampayesana_Peru_Bocke3215.latent1	Bomarea_ampayesana_Peru_Bocke3215.latent2	Bomarea_macrocephala_Bolivia_Vargas7052.latent1	Bomarea_macrocephala_Bolivia_Vargas7052.latent2	Bomarea_involucrosa_Peru_Galiano6988.latent1	Bomarea_involucrosa_Peru_Galiano6988.latent2	Bomarea_andimarcana_Peru_Suclli1307.latent1	Bomarea_andimarcana_Peru_Suclli1307.latent2	Bomarea_libertadensis_Peru_Alayo020.latent1	Bomarea_libertadensis_Peru_Alayo020.latent2	Bomarea_porrecta_Peru_AlayoB_020.latent1	Bomarea_porrecta_Peru_AlayoB_020.latent2	Bomarea_albimontana_Peru_LeivaS_N_.latent1	Bomarea_albimontana_Peru_LeivaS_N_.latent2	Bomarea_aurantiaca_Bolivia_Fuentes13880.latent1	Bomarea_aurantiaca_Bolivia_Fuentes13880.latent2	Bomarea_cornuta_Bolivia_Fuentes17664.latent1	Bomarea_cornuta_Bolivia_Fuentes17664.latent2	Bomarea_campylophylla_Bolivia_Maldonado3174.latent1	Bomarea_campylophylla_Bolivia_Maldonado3174.latent2	Bomarea_ovata_Peru_Farfan526.latent1	Bomarea_ovata_Peru_Farfan526.latent2	Bomarea_brachysepala_Ecuador_Jorgensen2129.latent1	Bomarea_brachysepala_Ecuador_Jorgensen2129.latent2	Bomarea_hieronymi_Ecuador_Aluarez2557.latent1	Bomarea_hieronymi_Ecuador_Aluarez2557.latent2	Bomarea_linifolia_Colombia_Tribble8.latent1	Bomarea_linifolia_Colombia_Tribble8.latent2	Bomarea_lutea_Ecuador_vanderWerff12169.latent1	Bomarea_lutea_Ecuador_vanderWerff12169.latent2	Bomarea_multipes_Alzate3153.latent1	Bomarea_multipes_Alzate3153.latent2	Bomarea_torta_Alzate3270.latent1	Bomarea_torta_Alzate3270.latent2	Bomarea_angulata_Peru_Quiroz3208.latent1	Bomarea_angulata_Peru_Quiroz3208.latent2	Bomarea_trichophylla_Venezuela_Rivero1217.latent1	Bomarea_trichophylla_Venezuela_Rivero1217.latent2	Bomarea_densiflora_Alzate3151.latent1	Bomarea_densiflora_Alzate3151.latent2	Bomarea_cf_anceps_Peru_LopezM_8913.latent1	Bomarea_cf_anceps_Peru_LopezM_8913.latent2	Bomarea_distichifolia_CultivatedinCA_SFBG20120053.latent1	Bomarea_distichifolia_CultivatedinCA_SFBG20120053.latent2	Bomarea_nervosa_Alzate3154.latent1	Bomarea_nervosa_Alzate3154.latent2	Bomarea_euryphylla_Ecuador_Vargas2930.latent1	Bomarea_euryphylla_Ecuador_Vargas2930.latent2	Bomarea_vestita_AlzateS_N_.latent1	Bomarea_vestita_AlzateS_N_.latent2	Bomarea_patinii_Colombia_Tribble3.latent1	Bomarea_patinii_Colombia_Tribble3.latent2	Bomarea_patacocensis_Ecuador_Luteyn14078.latent1	Bomarea_patacocensis_Ecuador_Luteyn14078.latent2	Bomarea_multiflora_AlzateS_N_.latent1	Bomarea_multiflora_AlzateS_N_.latent2	Bomarea_bredemeyerana_Venezuela_Liesner7935.latent1	Bomarea_bredemeyerana_Venezuela_Liesner7935.latent2	Bomarea_chiriquina_Panama_Hammel6374.latent1	Bomarea_chiriquina_Panama_Hammel6374.latent2	Bomarea_hirsuta_CR_Bonifacino6052.latent1	Bomarea_hirsuta_CR_Bonifacino6052.latent2	Bomarea_puracensis_GarciaBarriga13025.latent1	Bomarea_puracensis_GarciaBarriga13025.latent2	Bomarea_suberecta_CR_Bonifacino6053.latent1	Bomarea_suberecta_CR_Bonifacino6053.latent2	Bomarea_bredemeyerana_Colombia_Tribble06.latent1	Bomarea_bredemeyerana_Colombia_Tribble06.latent2	Bomarea_tarmensis_Bolivia_Fernandez3467.latent1	Bomarea_tarmensis_Bolivia_Fernandez3467.latent2	Bomarea_chaparensis_Bolivia_Steinbach8897.latent1	Bomarea_chaparensis_Bolivia_Steinbach8897.latent2	Bomarea_weigendii_Peru_Davis1224.latent1	Bomarea_weigendii_Peru_Davis1224.latent2	Bomarea_speciosa_Bolivia_Cornejo800.latent1	Bomarea_speciosa_Bolivia_Cornejo800.latent2	Bomarea_edulis_Argentina_Novara2378.latent1	Bomarea_edulis_Argentina_Novara2378.latent2	Bomarea_edulis_MorelosN_Tribble325.latent1	Bomarea_edulis_MorelosN_Tribble325.latent2	Bomarea_obovata_Ecuador_Clark4985.latent1	Bomarea_obovata_Ecuador_Clark4985.latent2	Bomarea_ovallei_KEW.latent1	Bomarea_ovallei_KEW.latent2	Bomarea_salsilla_Chile_Ackerman545.latent1	Bomarea_salsilla_Chile_Ackerman545.latent2	precisionMatrix11	precisionMatrix12	precisionMatrix21	precisionMatrix22
0	-137.53777485357418	1.183583851483633	-138.7213587050578	1.0	0.0	1.09861228866811	0.0	1.94591014905531	0.0	1.09861228866811	0.0	0.0	0.0	1.38629436111989	1.0	2.77258872223978	1.0	1.79175946922805	1.0	4.27666611901606	1.0	3.17805383034795	0.0	2.99573227355399	0.0	3.13549421592915	1.0	2.484906649788	1.0	2.484906649788	0.0	2.56494935746154	1.0	2.63905732961526	1.0	2.484906649788	0.0	2.484906649788	1.0	2.19722457733622	0.0	2.07944154167984	0.0	3.13549421592915	1.0	3.68887945411394	1.0	2.70805020110221	1.0	4.0943445622221	1.0	2.19722457733622	1.0	2.99573227355399	0.0	1.79175946922805	0.0	2.70805020110221	1.0	3.40119738166216	0.0	3.85014760171006	0.0	3.2188758248682	1.0	4.9416424226093	0.0	4.12713438504509	0.0	3.68887945411394	0.0	1.94591014905531	0.0	2.30258509299405	0.0	4.07753744390572	0.0	2.63905732961526	0.0	3.87120101090789	0.0	3.95124371858143	0.0	3.2188758248682	0.0	2.89037175789616	0.0	2.70805020110221	0.0	3.09104245335832	0.0	2.56494935746154	0.0	2.39789527279837	0.0	2.89037175789616	1.0	4.27666611901606	0.0	2.484906649788	0.0	2.07944154167984	1.0	3.58351893845611	1.0	3.78418963391826	1.0	3.78418963391826	1.0	3.68887945411394	1.0	1.38629436111989	1.0	3.40119738166216	0.05	0.0	0.0	0.05
10000	-99.76942011189155	0.9671501701029643	-100.73657028199452	0.928114322011096	-0.40171845204356615	1.09861228866811	-0.13587463753902584	1.94591014905531	-0.12637848305601485	1.09861228866811	-0.5476778240048097	0.0	-0.6372485300081956	1.38629436111989	1.061779559759985	2.77258872223978	0.7954486372114247	1.79175946922805	0.6809249840594092	4.27666611901606	0.02426332878772719	3.17805383034795	-0.33773368045865393	2.99573227355399	-0.08553157830378	3.13549421592915	0.30545789958748526	2.484906649788	0.10426041321105095	2.484906649788	-0.31263216790556614	2.56494935746154	0.38270013876282527	2.63905732961526	0.35546072288188535	2.484906649788	-0.18829463618550846	2.484906649788	0.270635503990714	2.19722457733622	-0.15814726535442114	2.07944154167984	-1.5468383957251142E-4	3.13549421592915	0.2837735808726194	3.68887945411394	0.14228348921937606	2.70805020110221	0.09160160934315442	4.0943445622221	0.41086935062587937	2.19722457733622	0.03744775915421039	2.99573227355399	-0.40590395734887874	1.79175946922805	-0.06523886418810387	2.70805020110221	0.07707668538766255	3.40119738166216	-0.1280667238068236	3.85014760171006	-0.1985877622768013	3.2188758248682	0.9231195561736512	4.9416424226093	-0.1502804350511615	4.12713438504509	-0.03747133623033627	3.68887945411394	-0.39630768217939827	1.94591014905531	-0.37512553515601876	2.30258509299405	-0.09509544416488858	4.07753744390572	-0.27220314401231027	2.63905732961526	-0.354027094756574	3.87120101090789	-0.15390856002313513	3.95124371858143	-0.6289471502602908	3.2188758248682	-0.5013785795517567	2.89037175789616	-0.34865690467825483	2.70805020110221	-0.6732642067104839	3.09104245335832	-0.4358862762232505	2.56494935746154	-0.30034037143363257	2.39789527279837	-0.22289587416619394	2.89037175789616	0.2744932064404957	4.27666611901606	-0.1354614781843575	2.484906649788	-0.563819357519878	2.07944154167984	0.5103261776619115	3.58351893845611	0.8490663735419157	3.78418963391826	0.10512438347418396	3.78418963391826	0.30016928104830387	3.68887945411394	0.27916923782468284	1.38629436111989	0.38630736094657014	3.40119738166216	0.17032530506953586	-0.04647375899539396	-0.04647375899539396	0.03268679166657424
20000	-92.42191756902471	1.1947236042364104	-93.61664117326113	0.8700650995622423	-0.20727499704502717	1.09861228866811	-0.1558495079651483	1.94591014905531	-0.583821155053539	1.09861228866811	-0.17936362477422718	0.0	-0.2371292610413258	1.38629436111989	0.843828334948628	2.77258872223978	0.34351370244553503	1.79175946922805	0.22920785549244727	4.27666611901606	0.5000228494225454	3.17805383034795	-0.16182053444798372	2.99573227355399	-0.17400674592990506	3.13549421592915	0.013356041201004087	2.484906649788	0.15231620240311194	2.484906649788	-0.12509660299830982	2.56494935746154	0.12080070996878622	2.63905732961526	0.11050021674518495	2.484906649788	-0.020068078727258687	2.484906649788	3.960989701980999E-4	2.19722457733622	-0.013858524231572966	2.07944154167984	-0.045065464346817574	3.13549421592915	0.3495887165895213	3.68887945411394	0.3575614397823901	2.70805020110221	0.30509465569600125	4.0943445622221	0.16456713784145505	2.19722457733622	0.36190907866662037	2.99573227355399	-0.0045814873756311325	1.79175946922805	-0.03458641913476912	2.70805020110221	0.269998522955639	3.40119738166216	-0.04148035827574126	3.85014760171006	-0.015207970517097547	3.2188758248682	0.3041695720321935	4.9416424226093	-0.3335682842289529	4.12713438504509	-0.35596924288324105	3.68887945411394	-0.7905029356232471	1.94591014905531	-0.36204176641699126	2.30258509299405	-0.028249710468682077	4.07753744390572	-0.5709950335960317	2.63905732961526	-0.4432654314486679	3.87120101090789	-0.4851443807314446	3.95124371858143	-0.19112014126628551	3.2188758248682	-1.0184169363026714	2.89037175789616	-0.8714669269348585	2.70805020110221	-0.924759143539305	3.09104245335832	-0.6205254236024635	2.56494935746154	-0.30602368272959923	2.39789527279837	-0.3306301613750122	2.89037175789616	0.13337393841252654	4.27666611901606	-0.6781467152583096	2.484906649788	-0.8508092197270869	2.07944154167984	0.16004886343283498	3.58351893845611	0.36920916026580364	3.78418963391826	0.6081624852964447	3.78418963391826	0.5803735553701044	3.68887945411394	0.24796824453392308	1.38629436111989	1.2483875065742924	3.40119738166216	0.1872963552624969	-0.03835609211583515	-0.03835609211583515	0.03559221552364571
30000	-98.79683377657801	1.0950627165883886	-99.8918964931664	0.8775665627418577	-0.520221259032497	1.09861228866811	-0.661086084261115	1.94591014905531	-0.8442518069259772	1.09861228866811	-0.8172881609527634	0.0	-0.3242390364034198	1.38629436111989	0.00925268791239886	2.77258872223978	0.11756098072089682	1.79175946922805	0.1529298462679396	4.27666611901606	0.0015019715587005766	3.17805383034795	-0.038561975400488	2.99573227355399	-0.07876469744128523	3.13549421592915	0.5546578094898793	2.484906649788	0.05282416933502554	2.484906649788	-0.041501129228251	2.56494935746154	0.0015838289836798136	2.63905732961526	0.41730575381154944	2.484906649788	-0.22156453616906235	2.484906649788	0.08747535004457196	2.19722457733622	-0.02778409261378001	2.07944154167984	-0.04490522878784686	3.13549421592915	0.14535823663569003	3.68887945411394	0.32789623745123486	2.70805020110221	0.22606471816130114	4.0943445622221	0.13050523627186394	2.19722457733622	0.09736158553237262	2.99573227355399	-0.16002950907423563	1.79175946922805	-0.5962601915553807	2.70805020110221	0.04814446411333351	3.40119738166216	-0.29667884602432193	3.85014760171006	-0.3474121045627514	3.2188758248682	0.12043352094885185	4.9416424226093	-0.28117373756518904	4.12713438504509	-0.4374434890402328	3.68887945411394	-0.7168694931557544	1.94591014905531	-0.005029122698272159	2.30258509299405	-0.6850651096893627	4.07753744390572	-0.6457241769745279	2.63905732961526	-0.593718707779066	3.87120101090789	-0.6021533997245228	3.95124371858143	-1.054255551333147	3.2188758248682	-0.33946735625984936	2.89037175789616	-0.2875270020895868	2.70805020110221	-0.026676405994300323	3.09104245335832	-0.8082122617772989	2.56494935746154	-0.23499182401634222	2.39789527279837	-0.6679466171622368	2.89037175789616	0.03595115595673626	4.27666611901606	-1.0756383043614928	2.484906649788	-0.9598557764509721	2.07944154167984	0.3309293296505147	3.58351893845611	0.34676513933831443	3.78418963391826	0.20259611770815433	3.78418963391826	0.24908527592523377	3.68887945411394	0.8617634255148818	1.38629436111989	0.24311351760159972	3.40119738166216	0.17890452057259845	-0.029632264045609927	-0.029632264045609927	0.025231556132427738
40000	-89.52184246137473	0.9343514980105421	-90.45619395938527	0.9136006344886243	-0.5691576063852932	1.09861228866811	-0.4045163205401987	1.94591014905531	-0.7538284255826921	1.09861228866811	-0.6428751066250349	0.0	-0.3136317527350856	1.38629436111989	0.2417061502905744	2.77258872223978	0.20543920565457752	1.79175946922805	0.45268434895790044	4.27666611901606	0.3242379724861626	3.17805383034795	-0.4477220492560754	2.99573227355399	-0.3930422354334471	3.13549421592915	0.25726898931847964	2.484906649788	0.31389456261118664	2.484906649788	-0.24634884714203742	2.56494935746154	0.10599796986785792	2.63905732961526	0.023282372187201084	2.484906649788	-0.07555889188477716	2.484906649788	0.1435144956715284	2.19722457733622	-0.4987558729607935	2.07944154167984	-0.11729809371694455	3.13549421592915	0.03715705541401637	3.68887945411394	0.18240269616456395	2.70805020110221	0.01971267899164042	4.0943445622221	0.5481255173679833	2.19722457733622	0.023135769858714017	2.99573227355399	-0.03792690325912518	1.79175946922805	-0.2568568957109374	2.70805020110221	0.0812849135630973	3.40119738166216	-0.27622800897680144	3.85014760171006	-0.17492238104288682	3.2188758248682	0.2546288513685675	4.9416424226093	-0.25177064378841174	4.12713438504509	-0.08546132697193509	3.68887945411394	-0.7266198630533081	1.94591014905531	-0.24077077016304793	2.30258509299405	-0.34978591312571927	4.07753744390572	-0.5035973283101558	2.63905732961526	-0.31656434271262746	3.87120101090789	-0.2524376453248516	3.95124371858143	-0.07794993840578113	3.2188758248682	-0.49607540480134693	2.89037175789616	-0.44905344670318215	2.70805020110221	-0.7923951666541404	3.09104245335832	-0.8661231162512018	2.56494935746154	-0.23845799800145828	2.39789527279837	-0.26979215278684343	2.89037175789616	0.01483705345835884	4.27666611901606	-0.028691277517767455	2.484906649788	-0.0671941757157859	2.07944154167984	0.18258481413132754	3.58351893845611	0.45245711443568104	3.78418963391826	0.27016589534727653	3.78418963391826	0.0977947483713828	3.68887945411394	0.09687991963137588	1.38629436111989	0.5874209601945186	3.40119738166216	0.22140202205837212	-0.0389540258582	-0.0389540258582	0.028616093474829747
50000	-93.298459818836	0.8408001714623459	-94.13925999029834	0.9340673808970231	-0.24233354639867244	1.09861228866811	-0.039653464591398624	1.94591014905531	-0.22889089282064612	1.09861228866811	-0.3899872194070364	0.0	-0.046213494940815725	1.38629436111989	0.4358433368101744	2.77258872223978	0.14212994812703883	1.79175946922805	0.25683204543980653	4.27666611901606	0.4827724254658292	3.17805383034795	-0.25554579313727377	2.99573227355399	-0.46062246449507316	3.13549421592915	0.0898061502106231	2.484906649788	0.06042961224419008	2.484906649788	-0.2025362115741749	2.56494935746154	0.029237159948512836	2.63905732961526	0.49869198504967494	2.484906649788	-0.10923562429429912	2.484906649788	0.0382440423900674	2.19722457733622	-0.5386542972784374	2.07944154167984	-0.05266134449364701	3.13549421592915	0.19409843235004565	3.68887945411394	0.20086384464155937	2.70805020110221	0.10942205366838831	4.0943445622221	0.16214960651843824	2.19722457733622	0.003677053336695879	2.99573227355399	-0.27624575012381514	1.79175946922805	-0.6240503455451583	2.70805020110221	0.04833367472490169	3.40119738166216	-0.18044009799666294	3.85014760171006	-0.06461874614352392	3.2188758248682	0.9431003732291672	4.9416424226093	-0.03734994322419927	4.12713438504509	-0.44395967840366724	3.68887945411394	-0.0356566305298085	1.94591014905531	-0.4468284719854114	2.30258509299405	-0.6793851792973662	4.07753744390572	-0.7681216910222781	2.63905732961526	-0.7812358005830653	3.87120101090789	-0.3761132513193908	3.95124371858143	-0.505848927099597	3.2188758248682	-0.15521099416650763	2.89037175789616	-0.2722666226184405	2.70805020110221	-0.5207636338302319	3.09104245335832	-0.22642686211117224	2.56494935746154	-0.6863175094370799	2.39789527279837	-0.4683108955487394	2.89037175789616	0.20303881708134663	4.27666611901606	-0.6483236398660142	2.484906649788	-0.858960365631031	2.07944154167984	0.013593242143125295	3.58351893845611	0.4263591902211912	3.78418963391826	0.5171968983295845	3.78418963391826	0.06485664124148172	3.68887945411394	0.043156280367145694	1.38629436111989	1.0059844988241884	3.40119738166216	0.23752559727930353	-0.05849360357499053	-0.05849360357499053	0.03795941104159578
60000	-121.1761046886907	1.2646452665794774	-122.44074995527018	0.9459023674693565	-0.7415214442890055	1.09861228866811	-0.7232266732562014	1.94591014905531	-0.14309326192079563	1.09861228866811	-1.048811488003609	0.0	-0.7130695306370041	1.38629436111989	1.041402699838172	2.77258872223978	0.2731252118855523	1.79175946922805	0.8332256118115517	4.27666611901606	0.33039860145339883	3.17805383034795	-0.3742212682811785	2.99573227355399	-0.12035328592738148	3.13549421592915	0.06515816589448886	2.484906649788	0.5149723644501742	2.484906649788	-0.6499939646951043	2.56494935746154	0.08483875261476737	2.63905732961526	0.3146751985823424	2.484906649788	-0.11757022499157377	2.484906649788	0.1749247337313804	2.19722457733622	-0.4010009261629479	2.07944154167984	-0.01605241807305835	3.13549421592915	0.3235730386615907	3.68887945411394	0.06862613042486965	2.70805020110221	0.008759287809323224	4.0943445622221	0.4840726761111105	2.19722457733622	0.057835699739251734	2.99573227355399	-0.7938730047240148	1.79175946922805	-0.45519281868625217	2.70805020110221	0.3473413916917538	3.40119738166216	-0.2384808812249597	3.85014760171006	-0.04377318380495865	3.2188758248682	0.1497387571235369	4.9416424226093	-0.17652733272245746	4.12713438504509	-0.9415681134478875	3.68887945411394	-1.0971457598673096	1.94591014905531	-0.7610716135452609	2.30258509299405	-0.5829373317560653	4.07753744390572	-0.805979521333527	2.63905732961526	-0.4247702748956561	3.87120101090789	-0.8750266332631582	3.95124371858143	-1.2608131584019961	3.2188758248682	-0.3012547061958821	2.89037175789616	-0.21272847274265194	2.70805020110221	-0.44215318043410257	3.09104245335832	-0.17763747082671766	2.56494935746154	-0.14904327596193112	2.39789527279837	-0.48450858069117	2.89037175789616	0.16306370872423726	4.27666611901606	-0.5922115639385175	2.484906649788	-0.039824591842935186	2.07944154167984	0.15668381646169083	3.58351893845611	1.2352171995198578	3.78418963391826	1.3698763735193733	3.78418963391826	0.4700053733362548	3.68887945411394	0.4553765691028857	1.38629436111989	1.5852733902593323	3.40119738166216	0.07416926689734425	-0.01833240593666527	-0.01833240593666527	0.04209685089783536
70000	-115.54000493588778	0.7910610151660888	-116.33106595105387	1.0528922254854425	-0.5904393643467161	1.09861228866811	-0.34298447110221186	1.94591014905531	-0.33919360017080535	1.09861228866811	-1.5232537004119457	0.0	-0.9241703913662382	1.38629436111989	0.6124706966528752	2.77258872223978	0.15561031985062668	1.79175946922805	1.131999767449886	4.27666611901606	0.8210603712657372	3.17805383034795	-0.1936662087878931	2.99573227355399	-0.06163596149990003	3.13549421592915	0.2002290941430418	2.484906649788	0.2889984906742018	2.484906649788	-0.04282151207143392	2.56494935746154	0.16441989549395442	2.63905732961526	0.40452757888124924	2.484906649788	-0.2759287967614519	2.484906649788	0.06661619977223743	2.19722457733622	-0.8110406646932669	2.07944154167984	-0.09552496484599327	3.13549421592915	0.6214673517974987	3.68887945411394	0.11257005111825258	2.70805020110221	1.2114574581191264	4.0943445622221	0.18998460623768532	2.19722457733622	0.33592278789770025	2.99573227355399	-0.21908114821277813	1.79175946922805	-0.5458395994411749	2.70805020110221	0.5671380602143261	3.40119738166216	-0.424126584353379	3.85014760171006	-0.42371714083433343	3.2188758248682	0.1768737211893754	4.9416424226093	-0.7351201720812239	4.12713438504509	-0.04988978049737414	3.68887945411394	-1.4952107814915356	1.94591014905531	-0.9030711775247506	2.30258509299405	-0.5958546868569938	4.07753744390572	-1.3556419707352125	2.63905732961526	-0.48672101166593973	3.87120101090789	-0.14047452774325153	3.95124371858143	-0.822183128965364	3.2188758248682	-0.6753948865778023	2.89037175789616	-0.6212492568793997	2.70805020110221	-0.48172783402030794	3.09104245335832	-0.4399259119357102	2.56494935746154	-0.3365377004738863	2.39789527279837	-0.29918564134820946	2.89037175789616	1.0471944818807508	4.27666611901606	-0.749953828898136	2.484906649788	-1.5097374926566491	2.07944154167984	0.010764105010320879	3.58351893845611	0.24687410259817288	3.78418963391826	0.3214035409857181	3.78418963391826	0.33942967658998535	3.68887945411394	0.40391698741813276	1.38629436111989	0.9419487564846953	3.40119738166216	0.10508344417294563	-0.057280621403172374	-0.057280621403172374	0.055893327266915746
80000	-132.94179302989957	1.0749883531962863	-134.01678138309586	1.0220226945541273	-0.9866028334392942	1.09861228866811	-0.9077047831014837	1.94591014905531	-1.2658116805115087	1.09861228866811	-1.162269871589088	0.0	-1.2974279075179411	1.38629436111989	0.6170503682958361	2.77258872223978	0.4890182439055424	1.79175946922805	0.5113981163268675	4.27666611901606	0.5649453632056802	3.17805383034795	-1.1284172850228134	2.99573227355399	-0.005852518871814594	3.13549421592915	0.2622611432212547	2.484906649788	0.14764627322812873	2.484906649788	-0.4388262301042358	2.56494935746154	0.5048131949784742	2.63905732961526	0.1391907780934991	2.484906649788	-0.005053031118402718	2.484906649788	0.46346831411275113	2.19722457733622	-0.2272183022237786	2.07944154167984	-0.20299342080467664	3.13549421592915	0.07300810152544024	3.68887945411394	0.04584011874578531	2.70805020110221	0.9938831544249889	4.0943445622221	0.45604132682607723	2.19722457733622	0.486917777269227	2.99573227355399	-0.12873770735783552	1.79175946922805	-0.22352377559039738	2.70805020110221	0.2188346826023222	3.40119738166216	-0.36773218878591485	3.85014760171006	-0.6870828544849492	3.2188758248682	0.19258496255448398	4.9416424226093	-0.413695181625678	4.12713438504509	-0.8622249031449034	3.68887945411394	-0.6532444204038022	1.94591014905531	-0.6582158779523399	2.30258509299405	-0.43417627919794266	4.07753744390572	-1.168683026249453	2.63905732961526	-1.0763567567740409	3.87120101090789	-1.5060328284343991	3.95124371858143	-1.5914583848500836	3.2188758248682	-2.4668564699746893	2.89037175789616	-2.3652714329958764	2.70805020110221	-1.6731626936159933	3.09104245335832	-2.2577643493827653	2.56494935746154	-1.2934443534544087	2.39789527279837	-2.319687806539474	2.89037175789616	1.0850988790769351	4.27666611901606	-0.3671530022410412	2.484906649788	-1.1088531879313455	2.07944154167984	0.024448971787926377	3.58351893845611	0.1120125147166533	3.78418963391826	0.29902558541448254	3.78418963391826	0.04571658456167471	3.68887945411394	0.8323287122303742	1.38629436111989	2.617607664670195	3.40119738166216	0.0709920388743244	-0.021581763652581507	-0.021581763652581507	0.04169915004585206
90000	-91.06204193239786	0.7388509512475303	-91.80089288364539	0.9973529959082755	-0.4296570781857869	1.09861228866811	-0.43833483117036964	1.94591014905531	-0.3129837063490841	1.09861228866811	-0.473629109118624	0.0	-0.17371825029959198	1.38629436111989	0.034422453549979526	2.77258872223978	0.15113948896563745	1.79175946922805	0.18320016660093663	4.27666611901606	0.10322516851405816	3.17805383034795	-0.1440497958031941	2.99573227355399	-0.4572854783164193	3.13549421592915	0.06973168519064776	2.484906649788	0.34706589388953635	2.484906649788	-0.16496667703647838	2.56494935746154	0.10477402680495462	2.63905732961526	0.14673565171387315	2.484906649788	-0.15834048367033793	2.484906649788	0.03328788854033049	2.19722457733622	-0.10550861440722348	2.07944154167984	-0.020746745233503283	3.13549421592915	0.3969814691740581	3.68887945411394	0.15871259263359017	2.70805020110221	0.42690722705381345	4.0943445622221	0.5804009532225505	2.19722457733622	0.015430961375022534	2.99573227355399	-0.12831546953546402	1.79175946922805	-0.10954634198242386	2.70805020110221	0.18311277446962193	3.40119738166216	-0.18488451946343898	3.85014760171006	-0.07480656316757184	3.2188758248682	0.22815838794265408	4.9416424226093	-0.013192894385044784	4.12713438504509	-0.20020526968663277	3.68887945411394	-0.3049178266749548	1.94591014905531	-0.35327776449618886	2.30258509299405	-0.24795656958340562	4.07753744390572	-0.32560923387406215	2.63905732961526	-0.277869814091958	3.87120101090789	-0.07317882072250192	3.95124371858143	-0.30459405260110817	3.2188758248682	-0.09107945299282227	2.89037175789616	-0.02635964512304234	2.70805020110221	-0.5116396123901987	3.09104245335832	-0.07182294696992031	2.56494935746154	-0.14562280462240773	2.39789527279837	-0.6895932405478846	2.89037175789616	0.18340552569221136	4.27666611901606	-0.34506211015478505	2.484906649788	-0.4330065441035156	2.07944154167984	0.7907293960433648	3.58351893845611	0.20063167607151566	3.78418963391826	0.9535922371330301	3.78418963391826	0.7687738106186113	3.68887945411394	0.39990793297995064	1.38629436111989	0.11335419499876531	3.40119738166216	0.2736438002276841	-0.027192632079420145	-0.027192632079420145	0.03163405974389082
