state	type_with_type	type_with_flowers	flowers_with_type	flowers_with_flowers
0	1	0	0	1
10000	1	0.622847988525552	0.622847988525552	1
20000	1	0.469777463414755	0.469777463414755	1
30000	1	0.441044245114931	0.441044245114931	1
40000	1	0.489391456967979	0.489391456967979	1
50000	1	0.61601804664666	0.61601804664666	1
60000	1	0.328082199265898	0.328082199265898	1
70000	1	0.747412900684974	0.747412900684974	1
80000	1	0.396660090057869	0.396660090057869	1
90000	1	0.292267802948747	0.292267802948747	1
1e+05	1	0.648456718774221	0.648456718774221	1
110000	1	0.344338968209318	0.344338968209318	1
120000	1	0.657650531040226	0.657650531040226	1
130000	1	0.224283291634387	0.224283291634387	1
140000	1	0.376045106408915	0.376045106408915	1
150000	1	0.471322956707167	0.471322956707167	1
160000	1	0.467647949015008	0.467647949015008	1
170000	1	0.461023866465042	0.461023866465042	1
180000	1	0.416692633122318	0.416692633122318	1
190000	1	0.662581894193767	0.662581894193767	1
2e+05	1	0.247947684656325	0.247947684656325	1
210000	1	0.212954536109668	0.212954536109668	1
220000	1	0.525382791627551	0.525382791627551	1
230000	1	0.313339520859113	0.313339520859113	1
240000	1	0.464782256143419	0.464782256143419	1
250000	1	0.473651872347458	0.473651872347458	1
260000	1	0.427745233017049	0.427745233017049	1
270000	1	0.287899144941789	0.287899144941789	1
280000	1	0.614102057612859	0.614102057612859	1
290000	1	0.767348314152465	0.767348314152465	1
3e+05	1	0.275087583076341	0.275087583076341	1
310000	1	0.688154553347521	0.688154553347521	1
320000	1	0.354996484365575	0.354996484365575	1
330000	1	0.705647575977055	0.705647575977055	1
340000	1	0.293984635817623	0.293984635817623	1
350000	1	0.537772804761716	0.537772804761716	1
360000	1	0.606498760774111	0.606498760774111	1
370000	1	0.77478395318427	0.77478395318427	1
380000	1	0.434622147018132	0.434622147018132	1
390000	1	0.466766407431075	0.466766407431075	1
4e+05	1	0.488513474266249	0.488513474266249	1
410000	1	0.351296555608338	0.351296555608338	1
420000	1	0.599487700433045	0.599487700433045	1
430000	1	0.506687287176431	0.506687287176431	1
440000	1	0.558138175780271	0.558138175780271	1
450000	1	0.501000658659509	0.501000658659509	1
