state	precisionMatrix11	precisionMatrix12	precisionMatrix21	precisionMatrix22
0	0.05	0	0	0.05
10000	0.170325305069536	-0.046473758995394	-0.046473758995394	0.0326867916665742
20000	0.187296355262497	-0.0383560921158351	-0.0383560921158351	0.0355922155236457
30000	0.178904520572598	-0.0296322640456099	-0.0296322640456099	0.0252315561324277
40000	0.221402022058372	-0.0389540258582	-0.0389540258582	0.0286160934748297
50000	0.237525597279304	-0.0584936035749905	-0.0584936035749905	0.0379594110415958
60000	0.0741692668973443	-0.0183324059366653	-0.0183324059366653	0.0420968508978354
70000	0.105083444172946	-0.0572806214031724	-0.0572806214031724	0.0558933272669158
80000	0.0709920388743244	-0.0215817636525815	-0.0215817636525815	0.0416991500458521
90000	0.273643800227684	-0.0271926320794201	-0.0271926320794201	0.0316340597438908
100000	0.471911194277593	-0.0858381362390589	-0.0858381362390589	0.0371311406397045
110000	0.845873616517564	-0.057989086221881	-0.057989086221881	0.0335285447348734
120000	0.217861785110666	-0.0611292710776563	-0.0611292710776563	0.0396576546279865
130000	0.138667488037858	-0.014162083007013	-0.014162083007013	0.0287531731838499
140000	0.246299038523863	-0.0284873564709037	-0.0284873564709037	0.0233003100863271
150000	0.112360540641362	-0.0314432456802427	-0.0314432456802427	0.0396098986359536
160000	0.190142552484648	-0.0366010444614122	-0.0366010444614122	0.0322158481805776
170000	0.900641150929566	-0.0792627529692939	-0.0792627529692939	0.0328200849495319
180000	0.423326145481369	-0.0490205045856042	-0.0490205045856042	0.0326925515680504
190000	0.48516054240021	-0.0886209749883209	-0.0886209749883209	0.0368729977015254
200000	0.159020149060515	-0.0179570169204905	-0.0179570169204905	0.0329834525196502
210000	0.700237735414325	-0.0278377303576566	-0.0278377303576566	0.0244032880400815
220000	0.577174023415921	-0.0857585294244723	-0.0857585294244723	0.0461632297404222
230000	0.215717755877295	-0.0234933365328816	-0.0234933365328816	0.0260599246722834
240000	0.128942279703871	-0.0304244044017344	-0.0304244044017344	0.0332314848118313
250000	0.0281809166675908	-0.0130628709399389	-0.0130628709399389	0.0269900469245763
260000	0.0389199179174736	-0.0164672979687249	-0.0164672979687249	0.0380804801498204
270000	0.157445086573108	-0.0167242384443507	-0.0167242384443507	0.0214329938609785
280000	0.163404048096649	-0.0396163569400709	-0.0396163569400709	0.0254686048641772
290000	0.106654140910914	-0.0617505202270766	-0.0617505202270766	0.0607181363327195
300000	0.333965625475781	-0.0246536848499405	-0.0246536848499405	0.0240502689280767
310000	0.412753685609522	-0.0889673909377723	-0.0889673909377723	0.0404947548026281
320000	0.429432609688524	-0.0403160619968315	-0.0403160619968315	0.0300339936255808
330000	0.586675850456109	-0.108606245297575	-0.108606245297575	0.0403771517215363
340000	0.654928873011124	-0.0440224142787884	-0.0440224142787884	0.0342376783790283
350000	0.464275975573147	-0.0704252992120143	-0.0704252992120143	0.0369388625495206
360000	0.421596638291885	-0.0719371923842701	-0.0719371923842701	0.033369522547323
370000	0.360848268487197	-0.128480475200327	-0.128480475200327	0.0762058669424708
380000	0.272158534785768	-0.0385727064771947	-0.0385727064771947	0.0289410684905934
390000	0.240616017324876	-0.0422403266222492	-0.0422403266222492	0.0340353965953724
400000	0.301650425763577	-0.0469298384369689	-0.0469298384369689	0.0305943394902512
410000	0.241847176583399	-0.0281953904709868	-0.0281953904709868	0.0266359028302613
