state	type_with_type	type_with_flowers	flowers_with_type	flowers_with_flowers
0	20	0	0	20
10000	9.59238397055878	13.6383572112677	13.6383572112677	49.9842793626122
20000	6.85110946868945	7.38312527080939	7.38312527080939	36.0524854693979
30000	6.93943222012933	8.14975845303522	8.14975845303522	49.2040914112588
40000	5.93911154275124	8.08469209169168	8.08469209169168	45.9507621455016
50000	6.78472987056731	10.4549382754511	10.4549382754511	42.4544788937664
60000	15.1089718173807	6.57967992223619	6.57967992223619	26.6200758338763
70000	21.5605084405705	22.0956486513416	22.0956486513416	40.5352945662996
80000	16.716200571475	8.6516173472607	8.6516173472607	28.459025171886
90000	3.995700329618	3.43470328634956	3.43470328634956	34.5639678125359
1e+05	3.65664979961645	8.45328202340141	8.45328202340142	46.473497561955
110000	1.34123957806688	2.3197325786652	2.3197325786652	33.837411718496
120000	8.0882824079658	12.4674747537959	12.4674747537959	44.4334810116353
130000	7.59347002954325	3.74008643087991	3.74008643087991	36.6209116383355
140000	4.72880513716834	5.78151780490705	5.78151780490705	49.9864660313995
150000	11.4416251701458	9.08262438418839	9.08262438418839	32.4562100435794
160000	6.73131410755136	7.64757536580249	7.64757536580249	39.7291804583737
170000	1.41000732474979	3.40526425932153	3.40526425932153	38.6930936264953
180000	2.85858960989729	4.28628229854277	4.28628229854277	37.0150282871627
190000	3.67420257651119	8.83061955718214	8.83061955718214	48.3437264672048
2e+05	6.70044137164988	3.6478879527178	3.6478879527178	32.3042345265773
210000	1.49592612176206	1.70645807827985	1.70645807827986	42.924704168115
220000	2.3931553972111	4.44582167892281	4.44582167892281	29.9213711223149
230000	5.14037781912444	4.63411262808798	4.63411262808798	42.5508047873335
240000	9.89238664103797	9.05677171421786	9.05677171421786	38.3836862069258
250000	45.7485044945628	22.1417477182496	22.1417477182496	47.76704525305
260000	31.4476318323266	13.5990282096304	13.5990282096304	32.1408565437653
270000	6.92544246869975	5.40394645425796	5.40394645425796	50.8737554871736
280000	9.8250265945572	15.2828065216537	15.2828065216537	63.0363982153579
290000	22.803101706681	23.1908203746974	23.1908203746974	40.0546750859296
3e+05	3.23946041011544	3.32073775447931	3.32073775447931	44.9836309649428
310000	4.60211459300264	10.1108928830832	10.1108928830832	46.9082914347199
320000	2.66443254385702	3.57659487325132	3.57659487325132	38.0966392585569
330000	3.39503980433288	9.13195978575527	9.13195978575527	49.3295782296836
340000	1.67133147116761	2.14897884156728	2.14897884156728	31.9707202317289
350000	3.0302336654674	5.77725186547819	5.77725186547819	38.0863024507973
360000	3.75211690675922	8.08872093950484	8.08872093950484	47.4049298165561
370000	6.93314925767411	11.6890516045599	11.6890516045599	32.8296889094335
380000	4.53003668032234	6.03764077534982	6.03764077534982	42.59995258444
390000	5.31369973417328	6.59467597843579	6.59467597843579	37.5656344627659
4e+05	4.35420718020761	6.67908648766045	6.67908648766045	42.9310935178377
410000	4.71695903637163	4.99312911274961	4.99312911274961	42.8287800971391
420000	6.72573026676199	10.3177456578851	10.3177456578851	44.0422639465381
430000	2.50445883007157	5.13763327206097	5.13763327206097	41.0518079790949
440000	1.74321575940542	4.01398736371284	4.01398736371284	29.6699900912766
450000	2.04020041599795	4.29581766051197	4.29581766051197	36.0364708509924
460000	1.59359110857536	5.71759269794186	5.71759269794186	42.3280357880452
470000	2.31477738859601	5.23018340438072	5.23018340438072	45.9000092065941
480000	3.91298344632118	8.9678251160173	8.9678251160173	56.5615661558941
490000	2.19943631762938	5.2001332448823	5.2001332448823	45.21215493541
5e+05	4.16630446649115	7.56224857770017	7.56224857770017	30.8959168495273
510000	9.6464589077869	10.7514485834959	10.7514485834959	30.490580453624
520000	2.27003383917653	6.51927972933275	6.51927972933275	51.6445215442767
530000	5.51839720912501	8.82055590635592	8.82055590635592	42.4434188196734
540000	4.77093285694242	4.47453785654184	4.47453785654184	33.1500167759726
550000	6.13277098753847	5.04990395949645	5.04990395949645	27.6543323028237
560000	5.66873535496334	8.68602972295836	8.68602972295836	31.3194112892028
570000	3.73976294625425	7.80043407991833	7.80043407991833	50.8768870342619
580000	4.05488267912594	4.94340560627481	4.94340560627481	34.6393686021538
590000	3.46751527917856	5.73818661483504	5.73818661483504	37.077370766656
6e+05	1.67917057111566	4.34024398626078	4.34024398626077	48.5968083794679
610000	5.72050341671384	4.69445396703131	4.69445396703131	40.7045259611427
620000	14.2535182086088	14.4814382905572	14.4814382905572	37.5703430896234
630000	19.8101289984918	11.9435145455298	11.9435145455298	34.4869494750643
640000	5.73985025723654	6.79062224547492	6.79062224547492	39.8081715692915
650000	3.14265193669864	7.30508737727663	7.30508737727663	37.3892270087745
660000	2.80578104428482	4.48742066138977	4.48742066138977	44.2529301845492
670000	2.60502885825319	4.14822303610276	4.14822303610276	35.2610793206202
680000	4.15104442653654	5.63690575246502	5.63690575246502	43.7067704282826
690000	10.398544578256	10.8621517680335	10.8621517680335	45.8301501977744
7e+05	3.86147438656952	7.03220442392479	7.03220442392479	44.0758440899591
710000	4.95655923212534	3.67743591246239	3.67743591246239	64.7961980306201
720000	5.17568934427078	13.2086656933059	13.2086656933059	53.1850719912893
730000	3.10900460499671	6.69231089673584	6.69231089673584	35.0399991121161
740000	8.43924191532537	9.78827713346186	9.78827713346187	43.7475161551196
750000	4.71278844441102	9.75762371861314	9.75762371861314	51.8900254648567
760000	10.3675016091242	13.8701045925947	13.8701045925947	40.96171489737
770000	3.54646904399936	4.55186182628574	4.55186182628574	45.0341387632542
780000	6.57006226787276	14.0076810272306	14.0076810272306	59.2151165817969
790000	2.78040540527991	6.32885159101794	6.32885159101794	37.5741396815611
8e+05	0.864643462532381	0.51415609758968	0.51415609758968	32.5835997275352
810000	7.18808896512959	7.38605317908862	7.38605317908862	35.8289349056281
820000	10.385937013515	6.64142307449093	6.64142307449093	49.496120480688
830000	4.51819019841091	4.49759527323055	4.49759527323055	27.7396495070578
840000	7.66490502875834	10.9854144281848	10.9854144281848	50.2056512412939
850000	2.1694927763855	2.45068199738905	2.45068199738905	35.380255070908
860000	1.3460154642379	5.26147986446176	5.26147986446176	36.4800771058233
870000	5.67415981582788	4.55989096547137	4.55989096547137	40.5431170566708
880000	3.46976575824388	4.65116654606171	4.65116654606171	47.8840749214988
890000	10.2932237448166	11.3140682717855	11.3140682717855	41.9235550189254
9e+05	4.76230698632139	6.32888651595405	6.32888651595405	41.5011647375176
910000	9.69598850469521	5.43863916400764	5.43863916400764	36.2449576686317
920000	8.75799025040253	13.0489150523607	13.0489150523607	47.5005171447582
930000	17.7199228053661	14.8428976079615	14.8428976079615	37.6947777449631
940000	5.9366981476789	6.14687844096768	6.14687844096768	33.01861353834
950000	2.63984591705111	3.56761820003488	3.56761820003488	51.3984840490445
960000	2.99849654098987	5.30079590581786	5.30079590581785	40.2542057311667
970000	1.89527312637086	6.57261035602544	6.57261035602544	63.7202549028365
980000	2.03657329651962	4.53815420294225	4.53815420294225	47.5963090668831
990000	2.59759211288375	6.38029438616655	6.38029438616655	51.3886586596562
1e+06	3.33450375183896	7.17986663551624	7.17986663551624	58.0201460403738
1010000	3.11577240078086	4.55555175751839	4.55555175751839	38.2219716693051
1020000	5.27448449375517	6.71158659327645	6.71158659327645	29.348679787054
1030000	3.10118112531707	5.06697079546849	5.06697079546849	28.1104772325508
1040000	2.88207234876054	7.78865594273259	7.78865594273259	57.7782934277994
1050000	3.19300077331952	5.75341994889427	5.75341994889427	33.0720108508157
1060000	1.47086281116431	2.77147613687766	2.77147613687766	38.7652910479812
1070000	1.66616491725179	3.7529595829502	3.7529595829502	39.9825165709803
1080000	5.4402684268233	8.79574001463503	8.79574001463503	31.1380068367972
1090000	4.51533313177893	9.05314966318875	9.05314966318875	44.439767418878
1100000	2.11792041505764	6.6126583340943	6.6126583340943	52.9449525038664
1110000	2.66144564455093	0.848665607816182	0.848665607816182	58.228415149442
1120000	1.91903257672271	5.67115659909256	5.67115659909256	50.1607420439342
1130000	8.01409291047094	7.69329097485144	7.69329097485144	40.2478171466733
1140000	1.13550903039469	1.74548853089251	1.74548853089251	33.335439620466
1150000	5.46700524126528	7.85267851335113	7.85267851335112	39.8248274396624
1160000	1.8735633313789	1.82667816406518	1.82667816406518	38.3529809883817
1170000	1.67611160255739	4.68492880920056	4.68492880920056	39.3840388718894
1180000	3.79733576401998	5.41485451685334	5.41485451685334	42.5614071421518
1190000	21.8853083540465	8.69966617847429	8.69966617847429	34.4224047929962
1200000	24.9120193470259	11.9327274237122	11.9327274237122	31.7790382063814
1210000	2.56435269206892	3.81362041224427	3.81362041224427	42.9795107034846
1220000	1.04617265407495	2.35438158521024	2.35438158521024	40.9257363168506
1230000	3.7789248210495	7.52045543849123	7.52045543849123	37.318435559408
1240000	7.70177131859114	8.78694150430243	8.78694150430243	42.2894661422123
1250000	2.05907053122983	1.25109381026524	1.25109381026524	41.1730890486008
1260000	4.18308805162872	5.50369014359671	5.50369014359671	33.0338083507439
1270000	6.48181080153591	11.2128114738902	11.2128114738902	40.1832668731052
1280000	11.3185679676587	11.2503556258366	11.2503556258366	40.8035609851523
1290000	4.52523252192446	6.9913743883399	6.9913743883399	39.3880543163685
1300000	7.46720104048795	7.44377196868883	7.44377196868883	58.3069183265597
1310000	4.06521752133176	3.31298375884985	3.31298375884985	23.7215770133682
1320000	2.46477197334505	4.29088747584175	4.29088747584175	49.32514870992
1330000	3.69634663831639	6.45917256895379	6.45917256895379	36.1331780471055
1340000	1.70728507999308	2.37977773268966	2.37977773268966	47.4185187247981
1350000	4.05591682827831	5.30526930987011	5.30526930987011	56.3656091068249
1360000	6.99075370331346	13.4102792894847	13.4102792894847	58.0691273258982
1370000	3.91600416426026	2.23976854555642	2.23976854555642	30.0333256577017
1380000	13.2442798770349	22.6632501917296	22.6632501917296	53.945429636397
1390000	16.283077246048	16.8842890169525	16.8842890169525	41.1693903990888
1400000	6.6264320285171	10.5591060869935	10.5591060869935	45.1258071478274
1410000	1.64333477544418	1.95501375450258	1.95501375450258	37.2208677987629
1420000	3.58337277785616	6.3460423186785	6.3460423186785	35.1788395514905
1430000	1.6343923540177	2.69103435901633	2.69103435901633	45.3897904715858
1440000	1.41947205145067	1.08252945674502	1.08252945674502	26.0640036980525
1450000	2.26198051053546	4.42336706452408	4.42336706452408	35.5043203734267
1460000	10.4648717859897	9.99122328573876	9.99122328573876	36.3208762315582
1470000	3.86899232819727	3.5476200573706	3.5476200573706	44.410184390123
1480000	2.64006352002778	6.68715604043392	6.68715604043392	54.7709609027267
1490000	7.16562909813367	10.1835306832414	10.1835306832414	38.246923704676
1500000	5.25701819398441	8.62204436308742	8.62204436308742	41.7994204280359
