state	precisionMatrix11	precisionMatrix12	precisionMatrix13	precisionMatrix21	precisionMatrix22	precisionMatrix23	precisionMatrix31	precisionMatrix32	precisionMatrix33
0	0.05	0	0	0	0.05	0	0	0	0.05
10000	0.278513827403202	0.0106409759699807	0.0522702290928383	0.0106409759699807	0.0240862858393443	0.00157962101177838	0.0522702290928383	0.00157962101177838	0.0248879511743641
20000	0.286172801850855	0.0259256867301405	0.0351920852792752	0.0259256867301405	0.0133984896197292	-0.000256497508649788	0.0351920852792752	-0.000256497508649788	0.0199906516116299
30000	0.116101227872386	0.00442313407529289	0.0186741516270443	0.00442313407529289	0.0196511021526132	-0.00227272123450702	0.0186741516270443	-0.00227272123450702	0.0180115668453528
40000	0.402092337736629	0.0211659113988673	0.0906614964065903	0.0211659113988673	0.0168076363222666	0.00771234704585638	0.0906614964065903	0.00771234704585638	0.0401882343277557
50000	0.292061221940523	0.000532023776346672	0.0707887509998927	0.000532023776346672	0.0195715557198906	0.00300571658029117	0.0707887509998927	0.00300571658029117	0.0365150292722168
60000	0.715417466200749	0.02431337063221	0.0827264928285685	0.02431337063221	0.0177750251849602	0.00259938596042025	0.0827264928285685	0.00259938596042025	0.0314659558894691
70000	0.759087365522512	0.0424935953017088	0.094300438504672	0.0424935953017088	0.0169713955376537	0.0014586747871833	0.094300438504672	0.0014586747871833	0.0328661931529661
80000	0.551754857110941	0.0379741310316322	0.0678926503108841	0.0379741310316322	0.0174767240489752	0.00134559217076385	0.0678926503108841	0.00134559217076385	0.0245682940708939
90000	0.543302647098128	0.00306769705573369	0.0513402981784583	0.00306769705573369	0.0159744994313631	-0.00551672269435954	0.0513402981784583	-0.00551672269435954	0.0304881987708982
100000	0.363914056132583	0.00527911303243739	0.0799649581242739	0.00527911303243739	0.0198350231162838	-0.00225999377138937	0.0799649581242739	-0.00225999377138937	0.0297662476395866
110000	0.491583357525736	-0.00287073623115635	0.0410061457996532	-0.00287073623115635	0.0164379829539086	-0.00151183388364774	0.0410061457996532	-0.00151183388364774	0.0175859241506916
