state	type_with_type	type_with_size	type_with_flowers	size_with_type	size_with_size	size_with_flowers	flowers_with_type	flowers_with_size	flowers_with_flowers
0	1	0	0	0	1	0	0	0	1
10000	1	-0.115115174513914	-0.626039067649338	-0.115115174513914	1	0.022091314628341	-0.626039067649338	0.022091314628341	1
20000	1	-0.481302099528209	-0.519641927758881	-0.481302099528209	1	0.261842207406745	-0.519641927758881	0.261842207406745	1
30000	1	-0.156635665584474	-0.424468915209219	-0.156635665584474	1	0.174516815851603	-0.424468915209219	0.174516815851603	1
40000	1	-0.0684627989418206	-0.690098204573568	-0.0684627989418206	1	-0.167009258669715	-0.690098204573569	-0.167009258669715	1
50000	1	0.0968017593569526	-0.689069826972235	0.0968017593569526	1	-0.14780121434569	-0.689069826972236	-0.14780121434569	1
60000	1	-0.186930024233363	-0.543677436681824	-0.186930024233363	1	0.0110071525322504	-0.543677436681824	0.0110071525322504	1
70000	1	-0.421525574220754	-0.620098365924349	-0.421525574220754	1	0.21744826698757	-0.620098365924349	0.21744826698757	1
80000	1	-0.430315458492631	-0.606368492308893	-0.430315458492631	1	0.214317859476531	-0.606368492308893	0.214317859476531	1
90000	1	-0.149397582738438	-0.420716465133413	-0.149397582738438	1	0.287086950196058	-0.420716465133413	0.287086950196058	1
1e+05	1	-0.209629741518901	-0.778967782347713	-0.209629741518901	1	0.22032203428454	-0.778967782347713	0.22032203428454	1
110000	1	-0.00814474640437042	-0.440157123913473	-0.00814474640437041	1	0.0834250227420711	-0.440157123913473	0.0834250227420711	1
120000	1	-0.25613764571847	-0.709092179197732	-0.25613764571847	1	0.124775086893103	-0.709092179197732	0.124775086893103	1
130000	1	0.0485343001071471	-0.552161930925991	0.0485343001071471	1	-0.00700145873609201	-0.552161930925991	-0.00700145873609201	1
140000	1	0.0344566925330628	-0.640258993654928	0.0344566925330628	1	-0.0202183386178386	-0.640258993654928	-0.0202183386178387	1
150000	1	-0.290053773302489	-0.538043665945549	-0.290053773302489	1	0.0414186804302001	-0.538043665945549	0.0414186804302001	1
160000	1	-0.0598876670935223	-0.560703182141892	-0.0598876670935223	1	0.030755289741701	-0.560703182141892	0.030755289741701	1
170000	1	0.0334875049512164	-0.404421258733159	0.0334875049512164	1	0.0350785944926688	-0.404421258733159	0.0350785944926688	1
180000	1	-0.238766660691881	-0.64991888710096	-0.238766660691882	1	0.280841532235447	-0.64991888710096	0.280841532235447	1
190000	1	0.0875182583792051	-0.549854483672634	0.0875182583792051	1	0.180164657284681	-0.549854483672634	0.180164657284681	1
2e+05	1	-0.476646558705632	-0.765863828330551	-0.476646558705632	1	0.339306588613975	-0.765863828330551	0.339306588613975	1
210000	1	-0.204699300346993	-0.715709007266998	-0.204699300346993	1	0.299004749134099	-0.715709007266998	0.2990047491341	1
220000	1	-0.0263699894195086	-0.443341078292477	-0.0263699894195086	1	0.178051022529082	-0.443341078292477	0.178051022529082	1
230000	1	-0.0324174203503101	-0.53140791292044	-0.0324174203503101	1	-0.0583682746735386	-0.53140791292044	-0.0583682746735386	1
240000	1	-0.321816531520675	-0.577412367513678	-0.321816531520675	1	0.285078809440482	-0.577412367513678	0.285078809440482	1
250000	1	-0.0402629010473034	-0.495782525216031	-0.0402629010473034	1	-0.0108499728085735	-0.49578252521603	-0.0108499728085735	1
260000	1	-0.161240390368387	-0.713754980340277	-0.161240390368387	1	0.00934345131835024	-0.713754980340277	0.00934345131835027	1
270000	1	-0.214116652854231	-0.732588577115336	-0.214116652854231	1	0.180383841474745	-0.732588577115336	0.180383841474745	1
280000	1	-0.311961703771984	-0.514854983734749	-0.311961703771984	1	0.347997013775311	-0.514854983734749	0.347997013775311	1
290000	1	-0.219154888955732	-0.2256070560346	-0.219154888955732	1	0.114670628688478	-0.2256070560346	0.114670628688478	1
3e+05	1	-0.177831937031692	-0.522449366715351	-0.177831937031692	1	0.222041897421848	-0.522449366715351	0.222041897421848	1
310000	1	0.0241877479507452	-0.814029273450115	0.0241877479507452	1	0.0975753705897299	-0.814029273450114	0.0975753705897299	1
320000	1	-0.033686597574965	-0.705187995867398	-0.0336865975749649	1	0.221151026397975	-0.705187995867398	0.221151026397975	1
330000	1	-0.112090773464361	-0.392599238622988	-0.112090773464361	1	0.244841187698136	-0.392599238622988	0.244841187698136	1
340000	1	-0.301063560861249	-0.53706203953078	-0.301063560861249	1	-0.141565832435175	-0.53706203953078	-0.141565832435175	1
350000	1	-0.307768167019824	-0.704469682023509	-0.307768167019824	1	0.289232488303014	-0.704469682023509	0.289232488303014	1
360000	1	-0.00770940188185997	-0.53128855820701	-0.00770940188185994	1	0.156150988479419	-0.53128855820701	0.156150988479419	1
370000	1	0.113246818404569	-0.326656860608959	0.113246818404569	1	0.161169086947553	-0.326656860608959	0.161169086947553	1
380000	1	-0.0584238381242079	-0.543802611074525	-0.0584238381242079	1	0.225265599167197	-0.543802611074525	0.225265599167197	1
390000	1	-0.213133170555833	-0.556344767102262	-0.213133170555833	1	0.174848901343027	-0.556344767102262	0.174848901343027	1
