state	type_with_type	type_with_size	type_with_flowers	size_with_type	size_with_size	size_with_flowers	flowers_with_type	flowers_with_size	flowers_with_flowers
0	20	0	0	0	20	0	0	0	20
10000	6.00605146328013	-1.83376927767024	-12.497654920171	-1.83376927767024	42.2508240036925	1.16969254247153	-12.497654920171	1.16969254247153	66.3536987562159
20000	5.80454394463776	-11.4300509494061	-10.3651341199259	-11.4300509494061	97.1611657225465	21.3684342562797	-10.3651341199259	21.3684342562797	68.5446207882925
30000	10.5969669526274	-3.71000361255457	-11.4549263493822	-3.71000361255457	52.9402236099646	10.526543414215	-11.4549263493822	10.526543414215	68.72444473579
40000	5.08540677884902	-1.24997320617409	-11.2324009450415	-1.24997320617409	65.5490511346124	-9.75938844036132	-11.2324009450415	-9.75938844036132	52.0951990935744
50000	6.51984296533155	1.7864715388055	-12.7865478040549	1.7864715388055	52.2382436175503	-7.76325391340015	-12.7865478040549	-7.76325391340015	52.8132642391528
60000	2.08106099547492	-2.07147210447778	-5.30015114106238	-2.07147210447778	59.0085909608077	0.571395935693569	-5.30015114106238	0.571395935693569	45.6676937397368
70000	2.48931728747592	-5.64047623513018	-6.89206961877501	-5.64047623513018	71.9289026959021	12.9914195881597	-6.89206961877501	12.9914195881597	49.6246986519353
80000	3.37028822513211	-6.63399198498719	-8.9502002705341	-6.63399198498719	70.5194548437188	14.4702302346207	-8.9502002705341	14.4702302346207	64.6435517290726
90000	2.23887964871972	-1.84739036419666	-4.10441725464947	-1.84739036419666	68.296658879818	15.468913191135	-4.10441725464947	15.468913191135	42.5102092747522
1e+05	7.01548217387951	-4.04958443978503	-19.154069426885	-4.04958443978503	53.1933809824729	14.9176196215311	-19.154069426885	14.9176196215311	86.1837917268144
110000	2.52563124197306	-0.101362291011013	-5.89787861029197	-0.101362291011014	61.3236168678044	5.50824613493817	-5.89787861029197	5.50824613493817	71.0896289916838
120000	14.1134609878471	-7.98180021114421	-24.0234903842144	-7.98180021114421	68.8052143230127	9.33372937107919	-24.0234903842144	9.33372937107919	81.326727108922
130000	10.8928276275814	1.23025961874185	-13.8679716988993	1.23025961874185	58.9868717409957	-0.409206370693643	-13.8679716988993	-0.409206370693643	57.9098367677431
140000	11.6250993896154	0.847496468212388	-16.8130318610582	0.847496468212388	52.0393597013472	-1.12331989062893	-16.8130318610582	-1.12331989062893	59.3176615861051
150000	3.67088868042406	-4.65252289518487	-9.63568390146761	-4.65252289518487	70.0888257670717	3.24115697049081	-9.63568390146761	3.24115697049081	87.3692943653558
160000	3.13122636962632	-0.816205085093826	-7.31097099850595	-0.816205085093826	59.3211190937529	1.74545757737032	-7.31097099850595	1.74545757737032	54.2962223687438
170000	2.23066865707255	0.379694453094342	-4.08661909163405	0.379694453094342	57.6325530259066	1.80172607474901	-4.08661909163405	1.80172607474901	45.7746783156478
180000	2.34990364445898	-2.52027514301165	-7.45877714071011	-2.52027514301165	47.4131146942535	14.4775149683908	-7.45877714071011	14.4775149683908	56.0488738927121
190000	9.21653120915746	1.9430702503563	-11.7406113385463	1.9430702503563	53.4825583674906	9.26690857508268	-11.7406113385463	9.26690857508267	49.4673201213557
2e+05	3.70831652009664	-6.84779959365593	-11.6867029893357	-6.84779959365594	55.6586110223949	20.0590576007487	-11.6867029893357	20.0590576007486	62.791968926216
210000	2.77638963777779	-2.99767822126468	-9.96935912888125	-2.99767822126468	77.2426018205205	21.9683320376836	-9.96935912888125	21.9683320376836	69.8845384721445
220000	2.79459201998128	-0.333320798540884	-5.30909314029483	-0.333320798540884	57.1724102677451	9.64408183296451	-5.30909314029483	9.64408183296451	51.3152356830589
230000	2.37189026645632	-0.349340752155867	-6.82219303529593	-0.349340752155867	48.9606307572763	-3.40446636938688	-6.82219303529593	-3.40446636938688	69.4860109684219
240000	1.7772823103247	-3.18311202131082	-5.98812640801483	-3.18311202131082	55.0466289097619	16.4534497428177	-5.98812640801483	16.4534497428177	60.5136483907004
