state	precisionMatrix11	precisionMatrix12	precisionMatrix13	precisionMatrix21	precisionMatrix22	precisionMatrix23	precisionMatrix31	precisionMatrix32	precisionMatrix33
0	0.05	0	0	0	0.05	0	0	0	0.05
10000	0.468208343189517	-0.0206603427289082	-0.148113514391313	-0.0206603427289082	0.0147697006007526	0.00791390407810541	-0.148113514391313	0.00791390407810541	0.0788061153895107
20000	0.752809323270064	0.00838281330531734	-0.132528965068327	0.00838281330531734	0.014777152856175	-0.0010381753511255	-0.132528965068327	-0.0010381753511255	0.0484805271172489
30000	0.966212139046715	0.0333887013718999	-0.211716710222725	0.0333887013718999	0.0201053267051545	-0.00704332597185943	-0.211716710222725	-0.00704332597185943	0.0628356369954069
40000	0.560771143907688	-0.00424125378983687	-0.167091257709789	-0.00424125378983687	0.0174826859465751	0.000340709505141747	-0.167091257709789	0.000340709505141747	0.0681624313038627
50000	1.44609490196581	0.031211677317013	-0.126054583782823	0.031211677317013	0.0147697774832476	-0.00273316589398212	-0.126054583782823	-0.00273316589398212	0.030307632566614
60000	0.444350882441138	-0.00702992488982811	-0.135412002013417	-0.00702992488982811	0.0165255521938488	0.00236705792683221	-0.135412002013417	0.00236705792683221	0.0636133105265182
70000	0.544953281395267	-0.00781017062806856	-0.093917537464186	-0.00781017062806856	0.0162585822608207	0.00187679706382509	-0.093917537464186	0.00187679706382509	0.0351433213922922
80000	0.308722463393595	-0.0114215921372861	-0.0928713053462505	-0.0114215921372861	0.0179553661922502	0.00765712636868855	-0.0928713053462505	0.00765712636868855	0.0452303242818439
90000	0.241247309877496	0.0123710646832731	-0.0690493065255296	0.0123710646832731	0.0220005558962828	0.00308736823667848	-0.0690493065255296	0.00308736823667848	0.0403076444988784
100000	0.199290649318175	-0.00210493098666924	-0.145499756009665	-0.00210493098666924	0.0202086739735301	0.00482869410454843	-0.145499756009665	0.00482869410454843	0.127058855088468
110000	0.513019720908268	-0.0189165899633249	-0.133092509976422	-0.0189165899633249	0.0257778897179473	0.00835708015250311	-0.133092509976422	0.00835708015250311	0.0541691878609388
120000	0.759845703635835	0.067782021557128	-0.245108249475309	0.067782021557128	0.0306399172200269	-0.0198140824914397	-0.245108249475309	-0.0198140824914397	0.103311613375918
130000	0.393765466294633	0.00518546551882348	-0.0944242474766976	0.00518546551882348	0.0179116355027198	0.0040199963682938	-0.0944242474766976	0.0040199963682938	0.0472673532345689
140000	0.222867215410164	0.0141130848620228	-0.0524246876667269	0.0141130848620228	0.0183552430950754	0.00531404591485762	-0.0524246876667269	0.00531404591485762	0.0361968717374363
150000	0.148465233720224	0.00249810434570919	-0.0364528395964357	0.00249810434570919	0.0222583015202198	0.00843162655944182	-0.0364528395964357	0.00843162655944182	0.0324916052668807
160000	0.435720074004976	-0.00839030934817841	-0.0656239809908779	-0.00839030934817841	0.0201533490872811	0.00353756615754106	-0.0656239809908779	0.00353756615754106	0.0313524677451343
170000	0.291053114574185	0.0209872685051245	-0.0738157666856232	0.0209872685051245	0.017501963106095	-0.004788538543867	-0.0738157666856232	-0.004788538543867	0.033724617339319
180000	0.639749100583271	0.0239680372113907	-0.161781902185229	0.0239680372113907	0.0213835669484978	-0.00289892437271226	-0.161781902185229	-0.00289892437271226	0.0573517466699896
190000	0.550528181241227	-0.0174352471633327	-0.127172084329551	-0.0174352471633327	0.019846451375373	0.00614241588866882	-0.127172084329551	0.00614241588866882	0.0475685188301452
200000	0.323216665785232	0.0580572384506677	-0.0630044838734644	0.0580572384506677	0.0252615715288827	-0.0111162332505781	-0.0630044838734644	-0.0111162332505781	0.0357581888586596
210000	0.50994190932081	0.000802073199183315	-0.078379988850868	0.000802073199183315	0.01318030010291	0.00391130236154312	-0.078379988850868	0.00391130236154312	0.0361338619355162
220000	0.907993805362156	0.0506581298330018	-0.220309159312393	0.0506581298330018	0.0187415767926309	-0.00966998404407653	-0.220309159312393	-0.00966998404407653	0.0853536412429205
230000	1.48044320459303	0.0504674387687538	-0.435803894134102	0.0504674387687538	0.0239490116682887	-0.0108887360042387	-0.435803894134102	-0.0108887360042387	0.153777959091062
240000	0.537239560964034	-0.00176899905924519	-0.127669890528757	-0.00176899905924519	0.0184936624196617	0.0054190502255125	-0.127669890528757	0.0054190502255125	0.052895593268837
250000	0.284519581275448	-0.00170200577599562	-0.0987276645873655	-0.00170200577599562	0.0148959571122896	0.00482912472690481	-0.0987276645873655	0.00482912472690481	0.0542711006115314
260000	0.497285759108796	0.0340050969209292	-0.258394081150606	0.0340050969209292	0.0254376091274497	-0.0171026167476928	-0.258394081150606	-0.0171026167476928	0.149817629330553
270000	0.433055421589793	0.0027087083341421	-0.165631103753286	0.0027087083341421	0.0199672111886778	0.00169503039340403	-0.165631103753286	0.00169503039340403	0.0837016653338711
280000	0.130860030911953	0.0114940013663366	-0.0527543428753816	0.0114940013663366	0.0237607275627264	-0.0056638401484485	-0.0527543428753816	-0.0056638401484485	0.0434431465482226
290000	0.502441481848065	0.0327262173248557	-0.0519125732631697	0.0327262173248557	0.0186811152171469	0.000516837044239704	-0.0519125732631697	0.000516837044239704	0.0207343054721573
300000	0.297045825318742	-0.0113652314534019	-0.0701734678909236	-0.0113652314534019	0.0188328625071439	0.00534477076719951	-0.0701734678909236	0.00534477076719951	0.0363631316645072
310000	0.200908581341001	-0.00759763208837648	-0.0424768363207295	-0.00759763208837648	0.0192543672149906	0.0105554124603647	-0.0424768363207295	0.0105554124603647	0.0266142408248055
320000	0.248072711962853	0.0167783386592547	-0.0794510324055948	0.0167783386592547	0.0164220252794816	-0.00192363277616513	-0.0794510324055948	-0.00192363277616513	0.0466889326863499
330000	0.149604176635685	0.00449013136115666	-0.0865555732539765	0.00449013136115666	0.0164490595642323	0.000763685958965551	-0.0865555732539765	0.000763685958965551	0.0667944228020721
340000	0.127896999707799	0.0171940197088457	-0.0768357594375053	0.0171940197088457	0.0168554760476245	-0.00701508972626644	-0.0768357594375053	-0.00701508972626644	0.0636166529455426
350000	0.095594624594348	-0.00694509244501482	-0.0232352552493628	-0.00694509244501482	0.0235458578642857	0.00650261879868274	-0.0232352552493628	0.00650261879868274	0.0266130906585744
360000	0.092438307194153	0.00350883293741769	-0.0357675407119463	0.00350883293741769	0.0151674543105517	-0.000781002857938103	-0.0357675407119463	-0.000781002857938103	0.03308008301249
370000	0.276453192808084	0.0114489258890463	-0.0685107409602056	0.0114489258890463	0.0160542843053152	0.00286451954377322	-0.0685107409602056	0.00286451954377322	0.0409205607189838
380000	0.265415679369356	0.00308356761104599	-0.0857410548131703	0.00308356761104599	0.0205252060824856	-0.000341346457308171	-0.0857410548131703	-0.000341346457308171	0.0518141586421122
390000	0.239298209750967	0.0160981200573111	-0.0747049478469687	0.0160981200573111	0.0169779787887029	-0.00210564065779085	-0.0747049478469687	-0.00210564065779085	0.0439437516052406
400000	0.268691933648764	0.0211184736866044	-0.0520459949618047	0.0211184736866044	0.0204596254105659	0.00204368915878557	-0.0520459949618047	0.00204368915878557	0.0294619114027152
