state	type_with_type	type_with_size	type_with_density	size_with_type	size_with_size	size_with_density	density_with_type	density_with_size	density_with_density
0	1	0	0	0	1	0	0	0	1
10000	1	-0.102746864184881	-0.550250177557478	-0.102746864184881	1	0.178674131850456	-0.550250177557478	0.178674131850456	1
20000	1	-0.0989937475541779	-0.561346988217242	-0.0989937475541779	1	0.333726079487996	-0.561346988217242	0.333726079487996	1
30000	1	0.0859944689435925	-0.5438016615002	0.0859944689435925	1	0.182725606562948	-0.5438016615002	0.182725606562948	1
40000	1	-0.267705361889854	-0.562614837043303	-0.267705361889854	1	0.336237977446001	-0.562614837043303	0.336237977446001	1
50000	1	-0.0436260000233025	-0.487622466851569	-0.0436260000233025	1	0.0197339455872949	-0.487622466851569	0.0197339455872949	1
60000	1	-0.108257527379035	-0.645125487877581	-0.108257527379035	1	0.156374424875463	-0.645125487877581	0.156374424875463	1
70000	1	0.112966677812996	-0.557248079366119	0.112966677812996	1	-0.158639685687062	-0.557248079366119	-0.158639685687062	1
80000	1	-0.217572103741554	-0.581944969117594	-0.217572103741554	1	-0.0304516695355722	-0.581944969117594	-0.0304516695355722	1
90000	1	-0.228199756314155	-0.696232075231615	-0.228199756314155	1	-0.0133428525275216	-0.696232075231615	-0.0133428525275216	1
1e+05	1	-0.420038812537916	-0.760534780169441	-0.420038812537916	1	0.400458736282709	-0.760534780169441	0.400458736282709	1
110000	1	-0.304475283770677	-0.661929510525962	-0.304475283770677	1	0.290233162315457	-0.661929510525962	0.290233162315457	1
120000	1	-0.250154252373918	-0.535522585168046	-0.250154252373918	1	0.119602104768054	-0.535522585168046	0.119602104768054	1
130000	1	-0.0532270847729658	-0.659759117186019	-0.0532270847729658	1	0.201427276907097	-0.659759117186019	0.201427276907097	1
140000	1	-0.146769680793488	-0.753419304974599	-0.146769680793488	1	0.187156041640921	-0.753419304974599	0.187156041640921	1
150000	1	-0.321345069495814	-0.44266877028149	-0.321345069495814	1	0.111936064227596	-0.44266877028149	0.111936064227596	1
160000	1	0.000817344362313355	-0.717668805220992	0.000817344362313372	1	0.122998604677702	-0.717668805220991	0.122998604677702	1
170000	1	-0.20071748652549	-0.592360462718985	-0.20071748652549	1	0.286436332002871	-0.592360462718985	0.286436332002871	1
180000	1	0.0654952810427144	-0.33817079204899	0.0654952810427144	1	0.0835277943321606	-0.33817079204899	0.0835277943321606	1
190000	1	-0.0741220128016431	-0.735388105025105	-0.0741220128016431	1	-0.0342546735785827	-0.735388105025105	-0.0342546735785827	1
2e+05	1	-0.202935170778132	-0.764040954617992	-0.202935170778132	1	0.0873842130372875	-0.764040954617991	0.0873842130372875	1
210000	1	0.285108766725863	-0.598767147140334	0.285108766725863	1	-0.0187701909592316	-0.598767147140334	-0.0187701909592316	1
220000	1	-0.0566768853246396	-0.688529685308742	-0.0566768853246396	1	0.20498395863746	-0.688529685308742	0.20498395863746	1
230000	1	0.119565822661127	-0.613734056264022	0.119565822661127	1	0.0999886516078127	-0.613734056264022	0.0999886516078127	1
240000	1	-0.226460801497139	-0.708260169101554	-0.226460801497139	1	-0.0656290291142881	-0.708260169101554	-0.0656290291142882	1
250000	1	-0.0774111802248071	-0.625219826158595	-0.077411180224807	1	0.117038785318753	-0.625219826158595	0.117038785318753	1
260000	1	-0.246913319834812	-0.593262071022731	-0.246913319834812	1	0.0543096330005231	-0.593262071022731	0.0543096330005231	1
270000	1	0.0149983627104912	-0.68688813903603	0.0149983627104912	1	0.00146259732626968	-0.68688813903603	0.00146259732626968	1
280000	1	0.35985818091915	-0.513995999527495	0.35985818091915	1	0.046291963311878	-0.513995999527495	0.046291963311878	1
290000	1	-0.316472095132159	-0.564833078109391	-0.31647209513216	1	0.205782973485638	-0.564833078109391	0.205782973485638	1
3e+05	1	0.203925519659277	-0.641816972414719	0.203925519659277	1	0.124586820808049	-0.641816972414719	0.124586820808049	1
310000	1	-0.354408278621393	-0.28143175196633	-0.354408278621393	1	-0.0119516246958388	-0.28143175196633	-0.0119516246958388	1
320000	1	-0.13573562910187	-0.600157690857161	-0.13573562910187	1	0.000210543488443849	-0.600157690857161	0.000210543488443844	1
330000	1	-0.183027622237552	-0.586933380670611	-0.183027622237552	1	0.185516662965039	-0.586933380670611	0.185516662965039	1
340000	1	-0.139588311436473	-0.544049587059796	-0.139588311436473	1	0.262173928541473	-0.544049587059796	0.262173928541473	1
350000	1	-0.224041255007185	-0.556119436650418	-0.224041255007185	1	0.178588370957006	-0.556119436650418	0.178588370957006	1
360000	1	-0.0873902956592516	-0.595326314395457	-0.0873902956592516	1	0.373988253750978	-0.595326314395457	0.373988253750978	1
370000	1	-0.0588819249145813	-0.58185718079303	-0.0588819249145813	1	0.136365138013415	-0.58185718079303	0.136365138013415	1
380000	1	-0.297604034091577	-0.482244300215297	-0.297604034091577	1	0.0770225845210185	-0.482244300215297	0.0770225845210185	1
390000	1	-0.444646281369351	-0.420339160631062	-0.444646281369351	1	0.00973588679709305	-0.420339160631062	0.00973588679709305	1
4e+05	1	-0.345660316990544	-0.67259332365215	-0.345660316990544	1	0.107718196499676	-0.67259332365215	0.107718196499676	1
410000	1	-0.325199399405216	-0.55611098405121	-0.325199399405216	1	0.385781925572893	-0.55611098405121	0.385781925572893	1
420000	1	-0.147984766395468	-0.601711414653167	-0.147984766395468	1	0.141230000064992	-0.601711414653168	0.141230000064992	1
430000	1	0.0773347279255708	-0.557876030499945	0.0773347279255708	1	0.155628819315337	-0.557876030499945	0.155628819315337	1
440000	1	-0.160581064053481	-0.823094119067317	-0.160581064053481	1	0.142719547992526	-0.823094119067317	0.142719547992526	1
450000	1	-0.17009511374982	-0.777039182137271	-0.17009511374982	1	0.110503552476349	-0.777039182137271	0.110503552476349	1
