state	type_with_type	type_with_size	type_with_density	size_with_type	size_with_size	size_with_density	density_with_type	density_with_size	density_with_density
0	20	0	0	0	20	0	0	0	20
10000	4.11822587231939	-1.84653339872879	-11.8464757993585	-1.84653339872879	68.182593857987	-10.0588336232115	-11.8464757993585	-10.0588336232115	85.8949926083645
20000	2.84768627238305	0.360652891675329	-6.30673240003889	0.360652891675328	50.0934434930538	10.699657906003	-6.30673240003889	10.699657906003	50.9890417517021
30000	4.92126968030666	1.29468404486847	-9.98636004096918	1.29468404486847	63.2314319245388	0.472782790970843	-9.98636004096918	0.472782790970844	53.0991854593815
40000	2.27312510903721	1.50433057117357	-0.790134288407343	1.50433057117357	60.846616946692	9.18716368349531	-0.790134288407343	9.18716368349531	57.9177850217516
50000	3.15558103852096	-6.37116498417498	-6.89263930870468	-6.37116498417498	54.3966412098457	-0.447508404574053	-6.89263930870468	-0.447508404574054	63.6030758563139
60000	9.71606085005635	-6.49457543184174	-11.8832553859844	-6.49457543184174	54.0458061756116	7.8837698425181	-11.8832553859844	7.8837698425181	68.6789524707544
70000	18.0156637463466	-3.09522823550162	-24.2977037542821	-3.09522823550162	52.7924701454314	7.37244956333188	-24.2977037542821	7.37244956333188	67.3577934823593
80000	32.095672853709	-12.2380465779551	-25.8612077790537	-12.2380465779551	51.1603817600336	0.201912215979845	-25.8612077790537	0.201912215979846	81.5192189790806
90000	22.3382739473838	-13.8292936585779	-27.6140766233531	-13.8292936585779	80.2135402276241	26.7769795042503	-27.6140766233531	26.7769795042503	71.0716417044834
1e+05	4.7418872450419	-5.3520604945893	-14.4475532466422	-5.3520604945893	54.4153601201535	-2.51794620092539	-14.4475532466422	-2.51794620092539	77.5684224511215
110000	2.60688167256407	-0.326646046089442	-7.95238275500551	-0.326646046089442	62.3480845653997	-0.317207489056142	-7.95238275500551	-0.317207489056142	65.295026485438
120000	2.12277699719487	0.389366066134826	-4.61207769889374	0.389366066134825	77.9888644128502	12.3825415349195	-4.61207769889374	12.3825415349195	42.8486464310039
130000	3.94109058584916	-0.273399217204319	-10.4688407362351	-0.273399217204319	49.9117804869293	11.1459514437383	-10.4688407362351	11.1459514437383	71.0626841416705
140000	3.69998199042641	-1.68620387065772	-10.9628306501459	-1.68620387065772	47.9401200559966	-1.64816308314125	-10.9628306501459	-1.64816308314125	74.4625272125165
150000	4.44616344192265	-3.13018419336581	-12.0846160248239	-3.13018419336581	67.3213755424597	9.13508940009449	-12.0846160248239	9.13508940009449	55.5625210570711
160000	2.37969834047987	-4.23637796662292	-7.25695833219519	-4.23637796662292	56.1286021942057	14.9120387425781	-7.25695833219519	14.9120387425781	62.118815098039
170000	3.04147435984512	-1.49200075732223	-7.35624578365028	-1.49200075732223	43.9510267881201	15.49946112108	-7.35624578365028	15.49946112108	69.3305842286472
180000	4.03795293071232	-3.91800491722037	-12.5630480407781	-3.91800491722037	73.127510301546	9.31281174385704	-12.5630480407781	9.31281174385704	78.8638389037879
190000	3.19107285185071	-3.18360992460526	-7.61305401214473	-3.18360992460526	49.4043878918732	6.95798235077227	-7.61305401214473	6.95798235077227	59.6435056127162
