# BEAST v10.5.0
# Generated Wed May 13 09:31:20 PDT 2026 [seed=1778689850145]
# -window -working -options
state	posterior	prior	likelihood	precisionMatrix11	precisionMatrix12	precisionMatrix21	precisionMatrix22
0	-164.87787258674732	1.183583851483633	-166.06145643823095	0.05	0.0	0.0	0.05
10000	-69.52719298555432	-3.405087434540022	-66.1221055510143	1.2043357223675828	0.08672245835081242	0.08672245835081242	0.026014127466688332
20000	-71.28612178847067	-1.16274764685119	-70.12337414161948	0.652819122971459	0.10650455671195191	0.10650455671195191	0.03274334982454557
30000	-62.30646340977842	-3.1008115005964028	-59.205651909182016	1.0844363666146064	0.15034018038836652	0.15034018038836652	0.03973036113610302
40000	-114.12025752208896	0.687314161655868	-114.80757168374483	0.15912486607564952	0.03592640366690096	0.03592640366690096	0.02673420198496762
50000	-108.86067895005519	0.7197015284762305	-109.58038047853142	0.17058505354201095	0.03393044825824093	0.03393044825824093	0.031478155066861066
60000	-76.13873455429462	-2.6463736868846217	-73.49236086741	0.9672671042768181	0.11902923155845878	0.11902923155845878	0.029118507991462744
70000	-81.23880935501722	-0.45228530295030556	-80.78652405206692	0.5116651354901528	0.05658164987691759	0.05658164987691759	0.021989781107298177
80000	-82.56723105275034	-0.8691078339459763	-81.69812321880437	0.5796884103971811	0.08819625239213862	0.08819625239213862	0.029243914838234512
90000	-80.37286539647765	0.0036514210309377404	-80.37651681750859	0.39228632504567684	0.016638932912666427	0.016638932912666427	0.014008478904140542
100000	-115.26447416113787	0.6940281807059101	-115.95850234184378	0.17610192558404103	0.06377630120495031	0.06377630120495031	0.042506416542712096
110000	-66.35677695382755	-2.4057719554047843	-63.95100499842276	0.9257139691515567	0.09341974457357025	0.09341974457357025	0.023154531488332117
120000	-112.27797269650586	0.8141102994387848	-113.09208299594464	0.1195581108310654	0.015770357692696406	0.015770357692696406	0.01754570762186382
130000	-81.51731404135764	0.2288688132104948	-81.74618285456813	0.3396410357106206	0.057182189273469075	0.057182189273469075	0.02548015428821021
140000	-75.46562019749597	-1.7070821712591062	-73.75853802623686	0.8545003584430295	0.1086650854142547	0.1086650854142547	0.037108567595655825
150000	-76.4491435274989	-0.7611260773852271	-75.68801745011368	0.6243129665005093	0.03949027118384547	0.03949027118384547	0.021809157010322572
160000	-78.26564205992626	-1.116457168213798	-77.14918489171247	0.6667230133076625	0.05788858481551549	0.05788858481551549	0.02233842835341656
170000	-115.37150907117552	0.5960145620996804	-115.9675236332752	0.18472450315135036	0.025440597313867486	0.025440597313867486	0.023665431925181862
180000	-121.60532226305367	0.37172823159089985	-121.97705049464456	0.10771911444236662	0.03154200302630996	0.03154200302630996	0.02353329350660107
190000	-115.56951701820606	0.4722671906878917	-116.04178420889394	0.12143407644342058	0.02746532723944837	0.02746532723944837	0.025671316725620827
200000	-92.11466490234417	-0.027280173357972615	-92.08738472898621	0.2881357325605813	0.05768334975155407	0.05768334975155407	0.030966558530169434
210000	-97.65818737219223	-0.32939849973978363	-97.32878887245245	0.3822828042484877	0.08484653427772794	0.08484653427772794	0.036735432841591364
220000	-95.78168971952869	0.1485574549570634	-95.93024717448574	0.3130007235503746	0.057480604078157305	0.057480604078157305	0.026295393071425817
230000	-79.1199956550452	-1.7055329158472952	-77.4144627391979	0.7564811461723455	0.12465036983483825	0.12465036983483825	0.035568100944174647
240000	-72.30315390704648	-0.46500236409803497	-71.83815154294844	0.529286711190623	0.058779137151640536	0.058779137151640536	0.024181178513738192
250000	-64.48579095484509	-3.076368335193708	-61.40942261965138	1.1191419713822321	0.10588689732592443	0.10588689732592443	0.026523876573399108
260000	-68.54010277234069	-3.1443882064299724	-65.39571456591072	1.0851345219556623	0.09580757786845705	0.09580757786845705	0.02643243430235188
270000	-78.89227804742352	-0.45036892180530685	-78.44190912561821	0.49762793499584657	0.03159211415899679	0.03159211415899679	0.022837739772277404
280000	-113.32544640396557	0.16957980732529876	-113.49502621129086	0.21630592602959536	0.042328794947975146	0.042328794947975146	0.020539820971522817
290000	-99.12562771390273	0.158351468133338	-99.28397918203606	0.23938714739246475	0.06029661312234006	0.06029661312234006	0.03058503790896266
300000	-90.14762696047366	0.1723990740033705	-90.32002603447702	0.296987734073293	0.01986077649058904	0.01986077649058904	0.021383352525452717
310000	-82.97272720510463	-0.030521957531191912	-82.94220524757344	0.4100459818950154	0.043361916890899854	0.043361916890899854	0.02507330891670914
320000	-89.28810781182585	0.25492265355456567	-89.54303046538041	0.30638218312222343	0.06099249666113646	0.06099249666113646	0.029404560011209935
330000	-92.65146282851202	0.47217237736463247	-93.12363520587665	0.2603385443151901	0.04545191880130311	0.04545191880130311	0.023406428217669112
340000	-83.05089520506665	-0.07279256899884512	-82.9781026360678	0.434500105212335	0.04472801626345272	0.04472801626345272	0.02351775251323123
350000	-73.35574705191017	-0.802876250150566	-72.55287080175961	0.6524553978291172	0.06137975973006151	0.06137975973006151	0.02931918428161026
360000	-69.71190342567573	-1.3423949686682146	-68.36950845700751	0.7303518737920488	0.08312869238054905	0.08312869238054905	0.02190524818777958
370000	-68.98893918869057	-2.6173915114027473	-66.37154767728782	1.1219562227364794	0.1553107471442234	0.1553107471442234	0.043156591210482556
380000	-56.091731212411695	-5.393684051597549	-50.69804716081415	1.7488697183959516	0.12407792969285852	0.12407792969285852	0.02316338868418536
390000	-82.348413231376	0.1767391328171265	-82.52515236419313	0.47262753304835153	0.05991298584302352	0.05991298584302352	0.018808157927117312
