# BEAST v10.5.0
# Generated Thu May 21 12:08:59 PDT 2026 [seed=1779390495138]
# -window -working -options
state	posterior	prior	likelihood	precisionMatrix11	precisionMatrix12	precisionMatrix21	precisionMatrix22
0	-164.87787258674732	1.183583851483633	-166.06145643823095	0.05	0.0	0.0	0.05
10000	-87.55736997923111	0.04810262137951549	-87.60547260061063	0.3851366177433427	0.05366169799382391	0.05366169799382391	0.02614193365360414
20000	-106.38626021816506	0.3442094221270575	-106.73046964029211	0.3405317771164331	0.07445147305372653	0.07445147305372653	0.03201523300468194
30000	-126.39326657566355	0.9311029427547375	-127.32436951841828	0.10361513251857492	0.029347097572338433	0.029347097572338433	0.022025281565503492
40000	-123.35310152936522	0.9198319227799234	-124.27293345214514	0.1188542398348197	0.03883734448088908	0.03883734448088908	0.02495000119115217
50000	-103.2893553476878	0.9122126852341452	-104.20156803292194	0.227610350148617	0.03436625347017873	0.03436625347017873	0.024216554467088914
60000	-138.54415838924947	0.9291396572287383	-139.47329804647822	0.06528369217143447	0.03412615407058459	0.03412615407058459	0.03533733377957605
70000	-150.06170213868825	0.620277541956856	-150.6819796806451	0.033953229637723084	0.016924831720500598	0.016924831720500598	0.022657262388155623
80000	-118.77082462324726	1.0117026434197824	-119.78252726666705	0.1498829925692771	0.025704213685042297	0.025704213685042297	0.020514185288710955
90000	-87.79122564764464	-0.2310709560960147	-87.56015469154862	0.4709348173537315	0.07776331759909696	0.07776331759909696	0.03139699945627446
100000	-95.3002952010385	0.4130131056386901	-95.71330830667718	0.30437436545544777	0.04730272386489286	0.04730272386489286	0.02486206647268016
110000	-131.79930705201943	0.9188525447356319	-132.71815959675507	0.10590436984605311	0.05735975938935123	0.05735975938935123	0.0511767277516367
120000	-107.59963541711497	0.9009618552367828	-108.50059727235175	0.18604937383921896	0.027780403064351613	0.027780403064351613	0.022465736716787442
130000	-111.86203232925202	0.7935209582966927	-112.65555328754871	0.1574653724572273	0.052041931792316434	0.052041931792316434	0.038775181014463006
140000	-105.02089357118642	0.18382178192452825	-105.20471535311094	0.30258805646038084	0.03679819764689594	0.03679819764689594	0.017878526125663603
150000	-130.25786664761029	0.5792482637682586	-130.83711491137853	0.0750545858390486	0.017265296146646965	0.017265296146646965	0.020563325202169476
160000	-112.76641612240633	0.2615994578887255	-113.02801558029505	0.17620485416992843	0.03663220315357745	0.03663220315357745	0.01813907892574854
170000	-123.02207862100403	0.31256226649161256	-123.33464088749564	0.131539662306594	0.06425706049335597	0.06425706049335597	0.05101043254594073
180000	-122.38208710685268	0.36345055935812765	-122.74553766621081	0.11433206505226708	0.03828857187563103	0.03828857187563103	0.030931667340482978
190000	-128.81866935504763	0.5291042840579503	-129.34777363910558	0.08204726097412815	0.02710901426881213	0.02710901426881213	0.027908813657676237
200000	-143.23378423135324	0.6136979502171851	-143.84748218157043	0.06092625718601756	0.035720760620222704	0.035720760620222704	0.03915081572963319
210000	-150.61238714538155	0.6049482590659458	-151.21733540444748	0.054718764477760605	0.03665640198702116	0.03665640198702116	0.04092854167099909
220000	-181.9966926540272	0.2420720872634594	-182.23876474129068	0.019291634979586827	0.012559552717489233	0.012559552717489233	0.026572556628278787
230000	-205.61391081781352	-0.3315412592293452	-205.28236955858418	0.00618543270532545	0.008270543875707585	0.008270543875707585	0.02979749560525244
240000	-209.8743580819576	-0.26019455940167235	-209.61416352255594	0.007031053001230457	0.010484200171870541	0.010484200171870541	0.03357977301324794
250000	-161.29225129120633	0.21544722920936588	-161.5076985204157	0.027928231678929365	0.02048100842190447	0.02048100842190447	0.03705077752477673
260000	-112.97640710134792	0.3953028011959887	-113.37170990254391	0.18434017109606562	0.052437946647455706	0.052437946647455706	0.03418376564243694
270000	-109.77054914627209	0.2543023520754857	-110.02485149834757	0.21223495245738297	0.054999707512146744	0.054999707512146744	0.034192541313005934
280000	-100.47728367491843	0.35143244318201816	-100.82871611810044	0.25061268488969435	0.05183488641424281	0.05183488641424281	0.0301059125669425
290000	-129.79183201245075	0.4949523871849846	-130.28678439963574	0.13228018735897423	0.03805567537169912	0.03805567537169912	0.026295675158888157
300000	-107.0319144866323	0.4685665220569586	-107.50048100868926	0.20929951036206493	0.0655528730977762	0.0655528730977762	0.03915020128124247
310000	-111.24638466582755	0.6079063891260978	-111.85429105495365	0.13717753031993712	0.035333527571628734	0.035333527571628734	0.02768392129067747
320000	-99.9079834709895	0.3992781314629701	-100.30726160245247	0.23536883321857147	0.04502140147407747	0.04502140147407747	0.025122463318321474
330000	-107.8150886077853	0.2786432232432423	-108.09373183102853	0.21160273023103315	0.0378326161682229	0.0378326161682229	0.018865272931432583
340000	-81.03985816780676	-1.4884898511676279	-79.55136831663913	0.6688431371330826	0.12943871202174667	0.12943871202174667	0.03956124680738759
350000	-70.82678235931773	-1.012422431595891	-69.81435992772184	0.6744282944926762	0.04466049873835277	0.04466049873835277	0.02183340158795133
360000	-103.60345757274261	0.7654806525426334	-104.36893822528525	0.1959149866812874	0.05211386059111842	0.05211386059111842	0.03286005671969233
370000	-103.39534432988242	0.7187645486430503	-104.11410887852547	0.19399446627477865	0.02333107433016804	0.02333107433016804	0.016497105166558123
380000	-120.246916992456	1.3038580267218793	-121.55077501917788	0.11009862284331771	0.022981671223357758	0.022981671223357758	0.026538086820074747
390000	-114.55425179928157	1.261456262985702	-115.81570806226728	0.1595532514649692	0.03714325430391486	0.03714325430391486	0.025922774696238278
400000	-119.70291820783629	1.2970765207132287	-120.99999472854952	0.12402689310615056	0.04168121083295542	0.04168121083295542	0.029370783171365048
410000	-75.13359174815152	-1.339999353997963	-73.79359239415355	0.8275546487683139	0.1291248425540121	0.1291248425540121	0.03694832583643424
420000	-72.5875029000259	-0.22878588708127656	-72.35871701294462	0.5695488482568187	0.0544820937707582	0.0544820937707582	0.021321639084296337
430000	-103.09822701563282	0.9940254155754419	-104.09225243120825	0.18025840026061116	0.042042306011457906	0.042042306011457906	0.024017266083266486
440000	-115.51658931601183	1.1609095615077978	-116.67749887751962	0.15902161398743545	0.054155176279852515	0.054155176279852515	0.03827640944567855
450000	-115.6839894229543	1.003860905515788	-116.68785032847009	0.1617833436877821	0.048677856487385235	0.048677856487385235	0.02932607809101371
460000	-101.22816090971752	0.97763902780811	-102.20579993752563	0.16883918247641388	0.024752820453358918	0.024752820453358918	0.017378993743238286
