state	precisionMatrix11	precisionMatrix12	precisionMatrix21	precisionMatrix22
0	0.05	0	0	0.05
10000	1.20433572236758	0.0867224583508124	0.0867224583508124	0.0260141274666883
20000	0.652819122971459	0.106504556711952	0.106504556711952	0.0327433498245456
30000	1.08443636661461	0.150340180388367	0.150340180388367	0.039730361136103
40000	0.15912486607565	0.035926403666901	0.035926403666901	0.0267342019849676
50000	0.170585053542011	0.0339304482582409	0.0339304482582409	0.0314781550668611
60000	0.967267104276818	0.119029231558459	0.119029231558459	0.0291185079914627
70000	0.511665135490153	0.0565816498769176	0.0565816498769176	0.0219897811072982
80000	0.579688410397181	0.0881962523921386	0.0881962523921386	0.0292439148382345
90000	0.392286325045677	0.0166389329126664	0.0166389329126664	0.0140084789041405
100000	0.176101925584041	0.0637763012049503	0.0637763012049503	0.0425064165427121
110000	0.925713969151557	0.0934197445735702	0.0934197445735702	0.0231545314883321
120000	0.119558110831065	0.0157703576926964	0.0157703576926964	0.0175457076218638
130000	0.339641035710621	0.0571821892734691	0.0571821892734691	0.0254801542882102
140000	0.85450035844303	0.108665085414255	0.108665085414255	0.0371085675956558
150000	0.624312966500509	0.0394902711838455	0.0394902711838455	0.0218091570103226
160000	0.666723013307662	0.0578885848155155	0.0578885848155155	0.0223384283534166
170000	0.18472450315135	0.0254405973138675	0.0254405973138675	0.0236654319251819
180000	0.107719114442367	0.03154200302631	0.03154200302631	0.0235332935066011
190000	0.121434076443421	0.0274653272394484	0.0274653272394484	0.0256713167256208
200000	0.288135732560581	0.0576833497515541	0.0576833497515541	0.0309665585301694
210000	0.382282804248488	0.0848465342777279	0.0848465342777279	0.0367354328415914
220000	0.313000723550375	0.0574806040781573	0.0574806040781573	0.0262953930714258
230000	0.756481146172346	0.124650369834838	0.124650369834838	0.0355681009441746
240000	0.529286711190623	0.0587791371516405	0.0587791371516405	0.0241811785137382
250000	1.11914197138223	0.105886897325924	0.105886897325924	0.0265238765733991
260000	1.08513452195566	0.095807577868457	0.095807577868457	0.0264324343023519
270000	0.497627934995847	0.0315921141589968	0.0315921141589968	0.0228377397722774
280000	0.216305926029595	0.0423287949479751	0.0423287949479751	0.0205398209715228
290000	0.239387147392465	0.0602966131223401	0.0602966131223401	0.0305850379089627
300000	0.296987734073293	0.019860776490589	0.019860776490589	0.0213833525254527
310000	0.410045981895015	0.0433619168908999	0.0433619168908999	0.0250733089167091
320000	0.306382183122223	0.0609924966611365	0.0609924966611365	0.0294045600112099
330000	0.26033854431519	0.0454519188013031	0.0454519188013031	0.0234064282176691
340000	0.434500105212335	0.0447280162634527	0.0447280162634527	0.0235177525132312
350000	0.652455397829117	0.0613797597300615	0.0613797597300615	0.0293191842816103
360000	0.730351873792049	0.083128692380549	0.083128692380549	0.0219052481877796
370000	1.12195622273648	0.155310747144223	0.155310747144223	0.0431565912104826
380000	1.74886971839595	0.124077929692859	0.124077929692859	0.0231633886841854
390000	0.472627533048352	0.0599129858430235	0.0599129858430235	0.0188081579271173
400000	0.503168253518124	0.0644506129274392	0.0644506129274392	0.0236676770609942
410000	0.187336661774209	0.0314589944079191	0.0314589944079191	0.0244362207682347
420000	0.126025666694195	0.0422671930596958	0.0422671930596958	0.0279407183533733
430000	0.0844457954872835	0.0396288030607999	0.0396288030607999	0.0315103375790448
440000	0.342706834819446	0.0480839879545438	0.0480839879545438	0.0239318026936291
450000	0.4843139563146	0.082408159971077	0.082408159971077	0.02837956915234
460000	1.42567715142681	0.145487788578034	0.145487788578034	0.039833515377084
470000	0.612499462818133	0.0819073829667829	0.0819073829667829	0.0239678959924718
480000	0.416232243431309	0.0286858867304113	0.0286858867304113	0.0197605541497955
490000	0.8333043479771	0.0913144090317679	0.0913144090317679	0.027212702769359
500000	0.396211252577227	0.062853336428438	0.062853336428438	0.030336314605412
510000	0.0690028797073319	0.0209476364146876	0.0209476364146876	0.0228652246454145
520000	0.200992546167121	0.0586673705868476	0.0586673705868476	0.0349298005522718
530000	0.157836890212656	0.0311728637858053	0.0311728637858053	0.0245535135581226
540000	0.221198888766406	0.0363503057716673	0.0363503057716673	0.0225683614148654
550000	0.344672846261758	0.0688391642274579	0.0688391642274579	0.0269607253843574
560000	0.250443664346641	0.0566642379610382	0.0566642379610382	0.0264295777878178
570000	0.218480130724982	0.0628265318695715	0.0628265318695715	0.0344237775603268
580000	0.291779433509455	0.0496159743542721	0.0496159743542721	0.0304541677507705
590000	0.158229740845072	0.0457731087309876	0.0457731087309876	0.027625666546647
600000	0.153214219101305	0.0272255249683622	0.0272255249683622	0.018936947083215
610000	0.265022696840384	0.04359131375458	0.04359131375458	0.0211332197830587
620000	0.26962363366155	0.0679980597775481	0.0679980597775481	0.0311833185138161
630000	0.136773129028623	0.0192527078839368	0.0192527078839368	0.016776376186901
640000	0.0843359448008449	0.0275223170031537	0.0275223170031537	0.0237008327064434
650000	0.752614883050623	0.0640124371916681	0.0640124371916681	0.0215402629909975
660000	0.184978566955166	0.0329890832311754	0.0329890832311754	0.0232963927607069
670000	0.0981658409592268	0.0353435301737566	0.0353435301737566	0.0332596337856399
680000	0.0343321671980869	0.0224036318677717	0.0224036318677717	0.0266255121347843
690000	0.0215249030449888	0.0264491986643576	0.0264491986643576	0.0520260778159617
700000	0.0544946365720375	0.0231791160358412	0.0231791160358412	0.021530465368851
710000	0.0290580222960965	0.0124073370915442	0.0124073370915442	0.0202622495334188
720000	0.0210914815781755	0.0170209459951454	0.0170209459951454	0.0297337028098671
730000	0.0723219769447653	0.0269095545345729	0.0269095545345729	0.0274567036967455
740000	0.148433311772584	0.0331814145252259	0.0331814145252259	0.0216462678647694
750000	0.346981194554479	0.0288536152803667	0.0288536152803667	0.0217584863181797
760000	0.411756985228408	0.0456106642482695	0.0456106642482695	0.0250150936047576
770000	0.264987946501005	0.0715633053215109	0.0715633053215109	0.0323504425449691
780000	0.258778940288464	0.0264109575319216	0.0264109575319216	0.0187228066633118
790000	0.746060884771796	0.11961325312902	0.11961325312902	0.0373188156678721
800000	0.566724359800477	0.0172842313708939	0.0172842313708939	0.0142073431588783
810000	0.197844102329907	0.0595685304703078	0.0595685304703078	0.0358081013293624
820000	0.192557032601911	0.0436890883433986	0.0436890883433986	0.0336108493759845
830000	0.107177037240507	0.0279060856514783	0.0279060856514783	0.0243672363833076
840000	0.0815498123797535	0.0328993282488431	0.0328993282488431	0.0319275370664829
850000	0.129224816544745	0.0396897627494738	0.0396897627494738	0.0264038442011307
860000	0.125882379854412	0.0691819067752675	0.0691819067752675	0.0569684288471024
870000	0.25242499263526	0.0293365381332378	0.0293365381332378	0.0241589320836703
880000	0.345081169279521	0.0679913886532861	0.0679913886532861	0.0306213228997359
890000	0.692671399667292	0.120991744867759	0.120991744867759	0.0395207657859358
900000	0.530547316258456	0.0638955617589887	0.0638955617589887	0.0224249665530268
910000	0.377911560623314	0.0427650187065708	0.0427650187065708	0.0241880272196473
920000	0.512221667433932	0.0544373773483086	0.0544373773483086	0.0223612743421228
930000	0.458333270479876	0.0608408277455526	0.0608408277455526	0.0274238685192115
940000	0.263210907302272	0.0407549846870501	0.0407549846870501	0.0288733697558146
950000	0.370662350702301	0.0810589633756433	0.0810589633756433	0.0442425683555065
960000	0.573613772261303	0.0838776293945006	0.0838776293945006	0.037177348901342
970000	0.664914321536968	0.0310099194615333	0.0310099194615333	0.0208493261394441
980000	0.78603070907164	0.093588716292702	0.093588716292702	0.0317968352103591
990000	0.136499251064275	0.0390711003331856	0.0390711003331856	0.0271672921826683
1000000	0.242969789915652	0.0523006328119269	0.0523006328119269	0.0271027810696141
1010000	0.14420297774165	0.0283045504195182	0.0283045504195182	0.0285525979619388
1020000	0.323653542188419	0.0460482670559101	0.0460482670559101	0.0262477238049883
1030000	0.307656540885981	0.0853849318689578	0.0853849318689578	0.0425922574333867
1040000	0.180255841499022	0.0235233987022501	0.0235233987022501	0.0173996442122041
1050000	0.247026913614614	0.0606171051611842	0.0606171051611842	0.0289224880845143
1060000	0.0580817646315697	0.016358585757787	0.016358585757787	0.0152751863549682
1070000	0.0756630573398909	0.0489064073386249	0.0489064073386249	0.0492823088888704
1080000	0.0600711050200724	0.0224722072673583	0.0224722072673583	0.030444122127526
1090000	0.0418323575247699	0.0245039863959024	0.0245039863959024	0.0302983658348256
1100000	0.051755437993668	0.0216740010096238	0.0216740010096238	0.0271940691293824
1110000	0.0953208356268405	0.0331781977447306	0.0331781977447306	0.026688223182768
1120000	0.086198219656123	0.0279331312897285	0.0279331312897285	0.0299617751675949
1130000	0.141331262953127	0.0350835176729413	0.0350835176729413	0.0296675338620929
1140000	0.0942381512800343	0.0313273906842809	0.0313273906842809	0.0284915868073489
1150000	0.154490136057046	0.0398306014562038	0.0398306014562038	0.0274198326788082
1160000	0.0184939654115651	0.0134025674494835	0.0134025674494835	0.0225513524107983
1170000	0.120769526396807	0.0266859581350593	0.0266859581350593	0.0238862175288368
1180000	0.0305524970790131	0.0232563778124021	0.0232563778124021	0.0388685830430755
1190000	0.0174469712402297	0.00861307718022123	0.00861307718022123	0.0213136702298224
1200000	0.0633812463468764	0.0185129567144046	0.0185129567144046	0.0183508885916076
1210000	0.0507844124478576	0.019722176835822	0.019722176835822	0.0229872711079716
1220000	0.173885278797786	0.0541081730831108	0.0541081730831108	0.0344310512166436
1230000	0.251882263891593	0.0379256252824016	0.0379256252824016	0.0246504367779725
1240000	0.278006882325991	0.0316437861042578	0.0316437861042578	0.0219721713520714
1250000	0.357507294393747	0.0487371741906613	0.0487371741906613	0.0195076678676805
1260000	0.603918869790142	0.093644600206486	0.093644600206486	0.0328419334578091
1270000	0.822856551212751	0.135985439381683	0.135985439381683	0.0401853927043483
1280000	0.690952219490292	0.0872142407506024	0.0872142407506024	0.0259264359390841
1290000	0.298027101178211	0.0796156450118909	0.0796156450118909	0.0425374222601199
1300000	0.334023298416522	0.0334173207414336	0.0334173207414336	0.0202910826910969
1310000	0.281882921243371	0.0353092185513546	0.0353092185513546	0.0248199978707055
1320000	1.18567301246661	0.0658038896259361	0.0658038896259361	0.0249833981181204
1330000	0.859883031178462	0.0253800112862407	0.0253800112862407	0.0199800318946413
1340000	0.439996294438598	0.0341100767709457	0.0341100767709457	0.0153958322057568
1350000	0.410693266278418	0.076887048356556	0.076887048356556	0.0325194827066558
1360000	0.113198863395436	0.0404930288226494	0.0404930288226494	0.0331011469598088
1370000	0.26796630738756	0.0584967124355647	0.0584967124355647	0.0302631006087184
1380000	0.165569664328193	0.0325215187053627	0.0325215187053627	0.0221869601938272
1390000	0.874911689774165	0.10787999107614	0.10787999107614	0.0296354271212156
1400000	0.373799045667531	0.0628303791190647	0.0628303791190647	0.0367412642634082
1410000	0.232107684066267	0.0387754302471244	0.0387754302471244	0.0231301462822304
1420000	0.467457486231326	0.0643475339597306	0.0643475339597306	0.0298500570420442
1430000	0.307457768805854	0.0300235774064615	0.0300235774064615	0.0203105549797654
1440000	0.957361667814064	0.144555453247729	0.144555453247729	0.0394832417359096
1450000	0.653640479190135	0.0812358960122705	0.0812358960122705	0.027596481922821
1460000	0.487708981561598	0.06123255029941	0.06123255029941	0.025412009458605
1470000	0.246927856458308	0.0348004955936703	0.0348004955936703	0.0208440249786358
1480000	0.170802252284347	0.0341142236894556	0.0341142236894556	0.0302304241091717
1490000	0.277062490191475	0.0410800700325366	0.0410800700325366	0.0227504024982545
1500000	0.173961959932388	0.0513813522972541	0.0513813522972541	0.0406905233532022
1510000	0.0607384238315548	0.00901760213715256	0.00901760213715256	0.0192938471249015
1520000	0.115664140826927	0.0389161434810857	0.0389161434810857	0.0311180594685513
1530000	0.0830765341559781	0.0154102919376763	0.0154102919376763	0.0197828338105501
1540000	0.334558194453361	0.0584741479042646	0.0584741479042646	0.0339658282205934
1550000	0.449911915881285	0.0810695246523616	0.0810695246523616	0.0257564234916984
1560000	0.401372182595388	0.0695514550730039	0.0695514550730039	0.0337408787714048
1570000	1.13644123958328	0.0885831868005227	0.0885831868005227	0.0253197491570069
1580000	0.594352792307464	0.0417990560306938	0.0417990560306938	0.0209801653551666
1590000	0.39850164091625	0.0300818758901792	0.0300818758901792	0.0152108784111279
1600000	0.404759414693852	0.0905500170377298	0.0905500170377298	0.0361018881482501
