state	type_with_type	type_with_density	density_with_type	density_with_density
0	20	0	0	20
10000	10.7749426356903	-21.708039761002	-21.708039761002	87.7824103132951
20000	15.4290249765326	-19.0946182326877	-19.0946182326877	63.7163222863801
30000	6.39397950764392	-11.5699963640514	-11.5699963640514	59.9889934811615
40000	2.18757665808867	-4.48615192222281	-4.48615192222281	64.133749781867
50000	1.22497376366626	-4.66935160996077	-4.66935160996077	61.8078703886874
60000	0.921790017146543	-2.36965629079335	-2.36965629079335	56.6739349451183
70000	3.57324839573766	-7.46668831219007	-7.46668831219007	52.4682284604752
80000	1.60629143029891	-5.43167325809471	-5.43167325809471	55.4932218615519
90000	12.3148538402313	-23.4628503039564	-23.4628503039564	74.4340139362588
1e+05	9.6180095332615	-15.3370329687398	-15.3370329687398	55.5673477744062
110000	4.90168158932792	-8.46800669155835	-8.46800669155835	64.7325198235402
120000	16.4801004554441	-20.7684175886697	-20.7684175886697	57.6743744059077
130000	3.49965906216483	-3.89344864728286	-3.89344864728286	57.5138067082898
140000	7.82155472011982	-11.286165686736	-11.286165686736	53.3097446761195
150000	16.7139443719175	-22.5436432854481	-22.5436432854481	72.4430045293196
160000	7.24659970319411	-7.81831608638314	-7.81831608638314	67.2866136854988
170000	3.73240533971341	-10.1065684735359	-10.1065684735359	80.5775981041891
180000	1.06825758432163	-4.07563906523885	-4.07563906523885	55.0132876277163
190000	3.22332924391576	-9.06626555879191	-9.06626555879191	63.1253837907249
2e+05	4.88418045951225	-13.662396729526	-13.662396729526	83.327307531713
210000	4.00640958803236	-9.98036895699854	-9.98036895699854	66.7363401941071
220000	3.92262480340293	-8.39322279725533	-8.39322279725533	44.2951667930032
230000	5.00881533888558	-8.38172112312408	-8.38172112312408	74.0639784943593
240000	5.06597487568881	-10.4235486112695	-10.4235486112695	63.3993933034316
250000	6.75957326510273	-8.25857854415363	-8.25857854415363	57.5198375540925
260000	3.27671365119188	-6.39309538447012	-6.39309538447012	44.0842961982741
270000	3.67852346904633	-10.9771866283211	-10.9771866283211	63.4715460062576
280000	2.69615012130888	-6.21772905348415	-6.21772905348415	62.665996826848
290000	19.4707507360194	-23.1390263051171	-23.1390263051171	60.178788851865
3e+05	33.1441009858409	-33.5287919185006	-33.5287919185006	69.8030182897674
310000	17.8581097662182	-27.9215910742749	-27.9215910742749	71.0026593087533
320000	5.3603898584149	-15.5445584643632	-15.5445584643633	74.1017285282286
330000	12.2808234348117	-18.7780525499708	-18.7780525499708	67.5589628342678
340000	31.3150226746837	-22.5191143253166	-22.5191143253166	53.528205889295
350000	124.596741720897	-69.9626473461984	-69.9626473461984	70.4817378027742
360000	112.776329277721	-41.8214793914322	-41.8214793914322	43.7921424343563
370000	238.095287655829	-66.4075906440402	-66.4075906440402	49.7674587983914
380000	148.357913585988	-46.3419421223037	-46.3419421223037	50.9059857412086
390000	336.932364939816	-85.526023897538	-85.526023897538	65.0684702539013
4e+05	456.568559258947	-130.243084608851	-130.243084608851	70.1428361004905
410000	189.062287497204	-64.9602545328035	-64.9602545328035	55.1799052470695
420000	161.376790034181	-73.39567360017	-73.39567360017	65.7405669010552
430000	48.9136667501721	-18.3929990842659	-18.3929990842659	67.6995175272009
440000	21.5037665537805	-20.9273098539115	-20.9273098539115	74.5441003423573
450000	4.73567391272873	-7.50720302347235	-7.50720302347235	44.9925326104197
460000	1.61531383291974	-7.33862782824167	-7.33862782824167	70.6561853827883
470000	5.79434515190573	-14.8447447412373	-14.8447447412373	72.4022692233173
480000	3.52955545296719	-10.4723728839125	-10.4723728839125	74.3742309528489
490000	3.57065039630755	-4.03093451424169	-4.03093451424169	48.1482762848008
5e+05	5.54506784778769	-12.5813721787401	-12.5813721787401	71.744500098188
510000	8.38771954945102	-14.4769180214179	-14.4769180214179	54.5660743743426
520000	8.46222004163991	-13.9170340443814	-13.9170340443814	59.8531565714728
530000	6.90072778207214	-14.132468438521	-14.132468438521	78.9578060446972
540000	1.81693906161793	-6.04503151123169	-6.04503151123169	63.699222130503
550000	4.10833181466655	-12.3631132419271	-12.3631132419271	67.6497404440116
560000	2.52471565454492	-3.28214780720177	-3.28214780720177	65.0545435715035
570000	2.66216358180721	-9.72470771059643	-9.72470771059643	111.989181922295
580000	9.64981438703097	-16.7842140384025	-16.7842140384025	57.498272104072
590000	3.74373030343911	-8.59045685395653	-8.59045685395653	48.9507461295196
6e+05	3.05444186097747	-8.57719099451526	-8.57719099451526	59.9709540732103
610000	2.00079077585264	-6.06218895015632	-6.06218895015632	46.0435445326151
620000	5.10947174841413	-9.40712826488539	-9.40712826488539	49.0554108701865
630000	1.00144215613207	-3.60060049502967	-3.60060049502967	43.6980937050487
640000	2.28859813200355	-8.94263907172934	-8.94263907172934	76.2388599904026
650000	4.1474950572267	-9.52178486971113	-9.52178486971113	60.710349325007
660000	6.92697928495784	-9.92114567768811	-9.92114567768811	62.4398639516565
670000	6.66220565701335	-12.1908786589337	-12.1908786589337	63.9406304659118
680000	6.70823724723689	-11.5501592831039	-11.5501592831039	52.0102963184808
690000	4.13041736147116	-9.79504586945219	-9.79504586945219	60.467952300169
7e+05	8.10575028556137	-15.1345089680129	-15.1345089680129	56.0236918109805
710000	2.2294236513346	-3.55924465023676	-3.55924465023676	44.8515662453191
720000	3.04149988335429	-8.00046014081146	-8.00046014081146	62.1123603191728
730000	8.49751293863794	-15.5074941639458	-15.5074941639458	56.7178309367263
740000	6.57322286157292	-10.862837284666	-10.862837284666	50.3436531911718
750000	6.92138440628553	-13.4225307291045	-13.4225307291045	59.6422347211654
760000	24.055397048681	-10.4214251001372	-10.4214251001372	59.7802892519825
770000	13.0522429739737	-23.7998557349864	-23.7998557349864	87.9217510042163
780000	7.07837421582012	-11.2605935526635	-11.2605935526635	55.9944042617074
790000	13.2976381458601	-15.4681558321411	-15.4681558321411	69.8922126937821
8e+05	43.4727915974301	-39.2784166004502	-39.2784166004502	71.8659810891076
810000	17.1932828739784	-25.4304168649647	-25.4304168649647	68.253636003671
820000	4.33892293460739	-9.8605328051217	-9.8605328051217	69.1248660987567
830000	1.62235820883335	-4.83958261185927	-4.83958261185927	65.5755074953233
840000	2.22758994931783	-4.77132315592738	-4.77132315592738	47.2518189445386
850000	4.77767429597977	-10.7617642331761	-10.7617642331761	59.4828963288636
860000	3.23108006445796	-8.34645364284381	-8.34645364284381	49.72031000935
870000	3.44431167553968	-4.12117422673351	-4.12117422673351	63.9969295733927
880000	2.03601647093845	-6.36573367932513	-6.36573367932514	53.5150645916439
890000	1.25983754640948	-3.67559068462343	-3.67559068462343	70.6817778135828
9e+05	6.20190570045427	-11.6382908158528	-11.6382908158528	63.8078722739275
910000	2.03287126292364	-3.54170414941925	-3.54170414941925	35.6691486192371
920000	17.0194743604435	-17.9806853957245	-17.9806853957245	47.1809083120452
930000	6.77377012985387	-12.0180119059508	-12.0180119059508	54.5098192285978
940000	18.9697769152366	-28.3167399805583	-28.3167399805583	88.8710848756299
950000	2.14483883488048	-3.14058363713809	-3.14058363713809	52.5605062240673
960000	7.33039160462326	-9.24623911924732	-9.24623911924732	45.6467853990757
970000	4.61074347109986	-9.6981839285384	-9.6981839285384	64.3352553407787
980000	3.23519089464998	-5.59366994299511	-5.59366994299511	53.2759173456453
990000	4.94763379920103	-12.2707113925872	-12.2707113925872	63.9591890327441
1e+06	1.48183735070501	-5.15118859122266	-5.15118859122266	64.2984515548505
1010000	6.63845103102365	-9.64956645913906	-9.64956645913906	68.4356598923996
1020000	4.01252940208747	-12.2804071610274	-12.2804071610274	86.7376754822241
1030000	11.8505994021037	-21.1443123669272	-21.1443123669272	74.5817583198652
1040000	11.1362882617672	-12.880949015382	-12.880949015382	50.367464903985
