Iteration	Posterior	Likelihood	Prior	q_down	q_up	rf[1]	rf[2]	rf[3]	rf[4]	rf[5]	rf[6]	rf[7]	rf[8]
0	-78.6854	-83.71783	5.032425	1.64276	0.7967555	0.0788364	0.03485	0.114323	0.16011	0.0521346	0.105195	0.0181831	0.436368
10	-78.58938	-84.249	5.659617	1.441855	0.6840644	0.052481	0.0231995	0.225518	0.267792	0.0347057	0.093711	0.0121044	0.290488
20	-78.75999	-84.15281	5.392826	1.471744	0.7875705	0.192843	0.0207901	0.0629557	0.182503	0.0141646	0.433816	0.0122187	0.0807089
30	-78.93005	-85.18889	6.258839	1.123921	0.7023877	0.216948	0.00917901	0.00130738	0.224315	0.259218	0.0555546	0.150803	0.0826751
40	-78.66873	-85.41547	6.746742	1.109611	0.4727464	0.0648642	0.0172323	0.228246	0.138173	0.0721537	0.163717	0.160404	0.155211
50	-79.65989	-85.27708	5.617188	1.65643	0.4907036	0.0701687	0.0749398	0.123324	0.152311	0.0780543	0.154169	0.179129	0.167904
60	-78.89283	-85.2524	6.359578	1.109975	0.6659637	0.0826823	0.0428315	0.164595	0.145825	0.126319	0.0098542	0.179578	0.248315
70	-78.75347	-84.96381	6.210347	1.301131	0.5494228	0.196631	0.190512	0.181498	0.0613724	0.0743312	0.0151115	0.117277	0.163268
80	-79.02508	-85.23772	6.212634	1.27301	0.5764013	0.177891	0.257727	0.0605268	0.136845	0.0986866	0.20368	0.0344696	0.0301733
90	-78.9366	-83.97365	5.037057	1.516514	0.920686	0.0646566	0.0296086	0.187657	0.0695156	0.0573176	0.40511	0.00957898	0.176556
100	-79.39967	-86.52065	7.120972	1.156717	0.2385246	0.0932433	0.0515832	0.0494819	0.121495	0.153881	0.0547843	0.135811	0.33972
110	-78.89703	-85.69462	6.797587	1.026016	0.530918	0.128517	0.071097	0.0763943	0.138098	0.0374747	0.11525	0.161473	0.271696
120	-79.03749	-83.68119	4.643702	1.754486	0.8793907	0.0663383	0.133891	0.0398768	0.0703525	0.184474	0.127663	0.106044	0.271361
130	-78.71418	-84.93348	6.219297	1.209288	0.6367908	0.0242439	0.330801	0.0107549	0.163449	0.0674174	0.164327	0.0651704	0.173837
140	-80.41014	-87.87899	7.468848	0.8159481	0.4053555	0.0109044	0.355708	0.053677	0.0227307	0.0811256	0.0520861	0.0209856	0.402783
150	-79.2643	-85.95101	6.686707	0.9808788	0.6314958	0.0254584	0.153763	0.312248	0.24346	0.0777616	0.122734	0.0140338	0.0505418
160	-78.90111	-85.38427	6.483165	1.279561	0.4345839	0.0961789	0.191223	0.242988	0.0998736	0.0921174	0.0441645	0.0223264	0.211128
170	-79.73904	-85.98554	6.2465	1.379513	0.4529649	0.103211	0.259659	0.260753	0.127607	0.112838	0.0473934	0.0100431	0.078496
180	-78.83314	-84.67225	5.839113	1.314924	0.7212476	0.0743284	0.170914	0.336574	0.00828742	0.134623	0.0270289	0.10675	0.141494
190	-78.93889	-84.15439	5.2155	1.465237	0.8827413	0.324559	0.058673	0.00898418	0.0284531	0.132299	0.09809	0.167224	0.181719
200	-79.39481	-85.3604	5.965588	1.132798	0.8401358	0.242884	0.108762	0.00902791	0.135865	0.191573	0.142037	0.0946145	0.0752363
210	-81.76388	-85.73303	3.969151	2.215202	0.7559506	0.104555	0.0992946	0.00863709	0.102904	0.140061	0.286976	0.170342	0.0872298
220	-80.76125	-83.17598	2.414734	2.344614	1.403747	0.0886675	0.0110964	0.00732464	0.0872673	0.143827	0.179121	0.401582	0.081115
230	-79.04391	-84.22275	5.178841	1.602528	0.7637791	0.269226	0.00263437	0.00239159	0.175154	0.172767	0.252194	0.0938108	0.0318224
240	-78.9521	-83.73432	4.782219	1.634008	0.9306105	0.0267185	0.155124	0.00450142	0.206634	0.0799879	0.183281	0.0691137	0.27464
250	-83.72573	-85.37689	1.651162	2.908122	1.222025	0.0642698	0.243421	0.00597226	0.105883	0.230458	0.0575294	0.144045	0.148421
260	-78.77399	-84.36743	5.593444	1.572845	0.5861604	0.0161871	0.102299	0.0675623	0.0182249	0.120093	0.424403	0.0685624	0.182669
270	-79.19601	-84.14774	4.951736	1.714183	0.7656768	0.0662576	0.199819	0.166286	0.0492876	0.0799853	0.143204	0.185421	0.109739
280	-81.22915	-83.98617	2.757027	2.108463	1.468752	0.0849624	0.076725	0.294699	0.0873495	0.202966	0.107135	0.0569966	0.0891672
290	-78.70893	-84.3222	5.613268	1.496843	0.652251	0.110831	0.0683448	0.126486	0.136518	0.112234	0.226375	0.0507712	0.16844
300	-79.32965	-83.90367	4.574016	1.643548	1.025172	0.337799	0.145924	0.0142197	0.0408295	0.106664	0.266375	0.0414952	0.0466944
310	-79.78976	-83.72222	3.932469	1.825173	1.164321	0.289981	0.269771	0.0214867	0.106146	0.14618	0.0421855	0.0912878	0.0329625
320	-81.32927	-84.29171	2.96244	2.027601	1.446907	0.0364905	0.0588844	0.0325492	0.123419	0.158917	0.114491	0.218241	0.257007
330	-80.61481	-85.62187	5.007059	1.343693	1.108506	0.0193535	0.113861	0.447306	0.0767335	0.0842852	0.0607227	0.0277266	0.170012
340	-79.16616	-84.68109	5.514928	1.309797	0.8884667	0.00951429	0.278227	0.141984	0.0788909	0.0652755	0.0567169	0.152457	0.216934
350	-78.64456	-84.65769	6.01313	1.358312	0.5908504	0.0274585	0.167543	0.0537722	0.304778	0.111456	0.0624913	0.164752	0.107749
360	-81.00317	-84.80559	3.802424	1.73881	1.315706	0.0338812	0.206866	0.212855	0.014479	0.0325026	0.237005	0.242808	0.0196025
370	-78.70306	-84.41464	5.711581	1.354033	0.745905	0.299888	0.100344	0.0379009	0.0203912	0.0457741	0.0809162	0.341952	0.0728333
380	-78.79197	-84.35042	5.558449	1.507233	0.6692709	0.0439164	0.00610018	0.0993019	0.205186	0.363524	0.120475	0.0287519	0.132745
390	-78.77745	-85.54988	6.772431	1.02979	0.5397225	0.145658	0.0191334	0.0101328	0.0523126	0.18569	0.0808651	0.144731	0.361476
400	-79.25007	-83.933	4.682938	1.791132	0.823127	0.293808	0.0651491	0.0141822	0.0678763	0.106536	0.0522519	0.187791	0.212406
410	-79.17329	-84.94825	5.774958	1.509616	0.5586327	0.06203	0.12841	0.0922727	0.0140921	0.427433	0.155774	0.0459662	0.074023
420	-78.59771	-84.37287	5.775162	1.44188	0.6262668	0.0700127	0.188455	0.0825181	0.0206817	0.187902	0.228615	0.0340885	0.187727
