Iteration	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
0	-84021.32	-84020.91	-0.4036105	0.0182765	0.918021	0.0819788	1.83604	0.163958	0.9981471
10	-84021.56	-84021.15	-0.4036105	0.0193502	0.918021	0.0819788	1.83604	0.163958	0.9981471
20	-84021.35	-84020.95	-0.4036105	0.0164766	0.918021	0.0819788	1.83604	0.163958	0.9981471
30	-84021.36	-84020.96	-0.4036105	0.0164209	0.918021	0.0819788	1.83604	0.163958	0.9981471
40	-84021.31	-84020.91	-0.4036105	0.0182379	0.918021	0.0819788	1.83604	0.163958	0.9981471
50	-84021.7	-84021.29	-0.4036105	0.0152314	0.918021	0.0819788	1.83604	0.163958	0.9981471
60	-83904.92	-83904.52	-0.4050049	0.0199213	0.918021	0.0819788	1.83604	0.163958	0.9995399
70	-83904.54	-83904.13	-0.4050049	0.0163476	0.918021	0.0819788	1.83604	0.163958	0.9995399
80	-83904.54	-83904.13	-0.4050049	0.0163476	0.918021	0.0819788	1.83604	0.163958	0.9995399
90	-83904.46	-83904.05	-0.4050049	0.0169039	0.918021	0.0819788	1.83604	0.163958	0.9995399
100	-83904.84	-83904.44	-0.4050049	0.0197147	0.918021	0.0819788	1.83604	0.163958	0.9995399
110	-83905.49	-83905.09	-0.4050049	0.0139262	0.918021	0.0819788	1.83604	0.163958	0.9995399
120	-83906.36	-83905.96	-0.4050049	0.0202103	0.917359	0.0826407	1.83472	0.165281	0.9995399
130	-83905.8	-83905.4	-0.4050049	0.0164241	0.917359	0.0826407	1.83472	0.165281	0.9995399
140	-83905.83	-83905.43	-0.4050049	0.018602	0.917359	0.0826407	1.83472	0.165281	0.9995399
150	-83905.83	-83905.43	-0.4050049	0.018602	0.917359	0.0826407	1.83472	0.165281	0.9995399
160	-83905.13	-83904.72	-0.4050049	0.0168157	0.919502	0.0804975	1.839	0.160995	0.9995399
170	-83904.5	-83904.1	-0.4050049	0.019648	0.918784	0.0812157	1.83757	0.162431	0.9995399
180	-83904.3	-83903.9	-0.4050049	0.0161827	0.918784	0.0812157	1.83757	0.162431	0.9995399
190	-83905.18	-83904.77	-0.4050049	0.0210889	0.918784	0.0812157	1.83757	0.162431	0.9995399
200	-83904.21	-83903.81	-0.4050049	0.0181538	0.918286	0.0817143	1.83657	0.163429	0.9995399
210	-83904.78	-83904.37	-0.4050049	0.0201857	0.918286	0.0817143	1.83657	0.163429	0.9995399
220	-83904.93	-83904.53	-0.4050049	0.0205113	0.918286	0.0817143	1.83657	0.163429	0.9995399
230	-83904.29	-83903.88	-0.4050049	0.0186558	0.918286	0.0817143	1.83657	0.163429	0.9995399
240	-83904.29	-83903.88	-0.4050049	0.0186558	0.918286	0.0817143	1.83657	0.163429	0.9995399
250	-83904.29	-83903.88	-0.4050049	0.0186558	0.918286	0.0817143	1.83657	0.163429	0.9995399
260	-83904.18	-83903.78	-0.4050049	0.0173218	0.918286	0.0817143	1.83657	0.163429	0.9995399
270	-83904.18	-83903.78	-0.4050049	0.0172815	0.918286	0.0817143	1.83657	0.163429	0.9995399
280	-83905.26	-83904.86	-0.4050049	0.0139214	0.918286	0.0817143	1.83657	0.163429	0.9995399
290	-83905.29	-83904.89	-0.4050049	0.0138789	0.918286	0.0817143	1.83657	0.163429	0.9995399
300	-83905.37	-83904.97	-0.4050049	0.0212938	0.918286	0.0817143	1.83657	0.163429	0.9995399
310	-83904.14	-83903.73	-0.4050049	0.0178871	0.91876	0.0812396	1.83752	0.162479	0.9995399
320	-83905.8	-83905.4	-0.4050049	0.0130935	0.91876	0.0812396	1.83752	0.162479	0.9995399
330	-83904.35	-83903.94	-0.4050049	0.0191772	0.91876	0.0812396	1.83752	0.162479	0.9995399
340	-83904.4	-83904	-0.4050049	0.0157511	0.91876	0.0812396	1.83752	0.162479	0.9995399
350	-83905.97	-83905.56	-0.4050049	0.0210321	0.917717	0.082283	1.83543	0.164566	0.9995399
360	-83904.98	-83904.57	-0.4050049	0.016497	0.917717	0.082283	1.83543	0.164566	0.9995399
370	-83905.41	-83905.01	-0.4050049	0.0199398	0.917717	0.082283	1.83543	0.164566	0.9995399
380	-83905.54	-83905.14	-0.4050049	0.0146999	0.917717	0.082283	1.83543	0.164566	0.9995399
390	-83905.13	-83904.73	-0.4050049	0.0191265	0.917717	0.082283	1.83543	0.164566	0.9995399
400	-83904.9	-83904.49	-0.4050049	0.0191265	0.91785	0.0821495	1.8357	0.164299	0.9995399
410	-83906.14	-83905.73	-0.4050049	0.013286	0.91785	0.0821495	1.8357	0.164299	0.9995399
420	-83905.4	-83904.99	-0.4050049	0.0145203	0.91785	0.0821495	1.8357	0.164299	0.9995399
430	-83906.69	-83906.29	-0.4050049	0.0223934	0.91785	0.0821495	1.8357	0.164299	0.9995399
440	-83904.67	-83904.26	-0.4050049	0.0173726	0.91785	0.0821495	1.8357	0.164299	0.9995399
450	-83905.11	-83904.71	-0.4050049	0.0197766	0.91785	0.0821495	1.8357	0.164299	0.9995399
460	-83905.11	-83904.71	-0.4050049	0.0197766	0.91785	0.0821495	1.8357	0.164299	0.9995399
470	-83904.67	-83904.27	-0.4050049	0.0177263	0.91785	0.0821495	1.8357	0.164299	0.9995399
480	-83904.67	-83904.27	-0.4050049	0.0177263	0.91785	0.0821495	1.8357	0.164299	0.9995399
490	-83904.85	-83904.44	-0.4050049	0.0160207	0.91785	0.0821495	1.8357	0.164299	0.9995399
500	-83904.69	-83904.29	-0.4050049	0.0180372	0.91785	0.0821495	1.8357	0.164299	0.9995399
510	-83904.94	-83904.53	-0.4050049	0.0189227	0.919362	0.0806382	1.83872	0.161276	0.9995399
520	-83904.8	-83904.4	-0.4050049	0.0178673	0.919362	0.0806382	1.83872	0.161276	0.9995399
530	-83904.88	-83904.48	-0.4050049	0.018653	0.919362	0.0806382	1.83872	0.161276	0.9995399
540	-83905.61	-83905.21	-0.4050049	0.0207442	0.919362	0.0806382	1.83872	0.161276	0.9995399
550	-83906.76	-83906.35	-0.4050049	0.022463	0.919362	0.0806382	1.83872	0.161276	0.9995399
560	-83904.9	-83904.5	-0.4050049	0.0164829	0.919362	0.0806382	1.83872	0.161276	0.9995399
570	-83904.99	-83904.58	-0.4050049	0.0161082	0.919362	0.0806382	1.83872	0.161276	0.9995399
580	-83905.86	-83905.46	-0.4050049	0.0211957	0.919362	0.0806382	1.83872	0.161276	0.9995399
590	-83905.33	-83904.92	-0.4050049	0.02015	0.919362	0.0806382	1.83872	0.161276	0.9995399
600	-83904.23	-83903.83	-0.4050049	0.0169665	0.918888	0.0811119	1.83778	0.162224	0.9995399
610	-83904.23	-83903.83	-0.4050049	0.0181811	0.918888	0.0811119	1.83778	0.162224	0.9995399
620	-83904.25	-83903.84	-0.4050049	0.018303	0.918888	0.0811119	1.83778	0.162224	0.9995399
630	-83904.29	-83903.88	-0.4050049	0.0165648	0.918888	0.0811119	1.83778	0.162224	0.9995399
640	-83904.2	-83903.8	-0.4050049	0.0177077	0.918888	0.0811119	1.83778	0.162224	0.9995399
650	-83904.26	-83903.85	-0.4050049	0.0167464	0.918888	0.0811119	1.83778	0.162224	0.9995399
660	-83904.21	-83903.8	-0.4050049	0.0172891	0.918888	0.0811119	1.83778	0.162224	0.9995399
670	-83904.21	-83903.8	-0.4050049	0.0178479	0.918888	0.0811119	1.83778	0.162224	0.9995399
680	-83905.63	-83905.23	-0.4050049	0.0134433	0.918888	0.0811119	1.83778	0.162224	0.9995399
690	-83904.21	-83903.8	-0.4050049	0.0173631	0.918888	0.0811119	1.83778	0.162224	0.9995399
700	-83904.92	-83904.52	-0.4050049	0.0205123	0.918888	0.0811119	1.83778	0.162224	0.9995399
710	-83905.3	-83904.89	-0.4050049	0.0211973	0.918888	0.0811119	1.83778	0.162224	0.9995399
720	-83905.3	-83904.89	-0.4050049	0.0211973	0.918888	0.0811119	1.83778	0.162224	0.9995399
730	-83904.26	-83903.86	-0.4050049	0.0167094	0.918888	0.0811119	1.83778	0.162224	0.9995399
740	-83904.54	-83904.13	-0.4050049	0.0195792	0.918888	0.0811119	1.83778	0.162224	0.9995399
750	-83870.21	-83869.81	-0.4054095	0.0176444	0.918521	0.0814792	1.83704	0.162958	0.9999444
760	-83871.36	-83870.96	-0.4054095	0.0151788	0.919332	0.0806678	1.83866	0.161336	0.9999444
770	-83872.26	-83871.86	-0.4054095	0.0135321	0.919332	0.0806678	1.83866	0.161336	0.9999444
780	-83872.11	-83871.71	-0.4054095	0.0137626	0.919332	0.0806678	1.83866	0.161336	0.9999444
790	-83871.75	-83871.34	-0.4054095	0.0208701	0.919332	0.0806678	1.83866	0.161336	0.9999444
800	-83870.97	-83870.56	-0.4054095	0.0165014	0.919332	0.0806678	1.83866	0.161336	0.9999444
810	-83871.02	-83870.61	-0.4054095	0.0162784	0.919332	0.0806678	1.83866	0.161336	0.9999444
820	-83871.19	-83870.78	-0.4054095	0.01565	0.919332	0.0806678	1.83866	0.161336	0.9999444
830	-83870.87	-83870.46	-0.4054095	0.017846	0.919332	0.0806678	1.83866	0.161336	0.9999444
840	-83870.87	-83870.47	-0.4054095	0.0172969	0.919332	0.0806678	1.83866	0.161336	0.9999444
850	-83870.27	-83869.87	-0.4054095	0.017363	0.918342	0.0816582	1.83668	0.163316	0.9999444
