Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]
0	-38.52875	-37.2007	-1.328047	0.283311	0.25344
10	-38.39323	-40.81436	2.421128	0.0982364	0.115596
20	-37.83986	-37.47899	-0.3608715	0.246402	0.207045
30	-38.15566	-40.67834	2.522683	0.0388633	0.166222
40	-37.89851	-37.49494	-0.4035636	0.253363	0.203762
50	-37.83486	-40.10584	2.270977	0.064428	0.162337
60	-37.71181	-39.55893	1.847127	0.167679	0.0955929
70	-37.48075	-38.83523	1.354482	0.181777	0.123927
80	-38.1909	-39.87935	1.688448	0.0584561	0.218482
90	-38.01348	-37.28787	-0.725606	0.230905	0.253957
100	-38.14162	-40.16086	2.019243	0.0487615	0.199685
110	-37.90802	-37.33496	-0.5730582	0.23087	0.240853
120	-37.81739	-37.47555	-0.341844	0.243472	0.208336
130	-39.6671	-36.98833	-2.678777	0.306057	0.347032
140	-39.37442	-37.38605	-1.988367	0.233167	0.360458
150	-40.62682	-37.49934	-3.127486	0.26097	0.430768
160	-39.4853	-41.19109	1.705795	0.253815	0.021629
170	-37.74852	-38.58096	0.8324389	0.119364	0.231303
180	-37.77128	-39.57527	1.803992	0.0729827	0.194004
190	-38.36797	-37.98318	-0.3847965	0.291933	0.163575
200	-38.03442	-38.12417	0.08975772	0.271829	0.142805
210	-39.67993	-38.7299	-0.9500259	0.147246	0.356945
220	-37.9472	-39.0844	1.137193	0.0919661	0.232452
230	-38.08008	-37.63402	-0.4460645	0.185921	0.274864
240	-37.75794	-37.46087	-0.2970679	0.213788	0.234164
250	-38.56153	-37.94752	-0.6140053	0.168695	0.306554
260	-37.55835	-39.18144	1.62309	0.182364	0.100204
270	-37.60315	-39.38996	1.786804	0.0989419	0.169525
280	-38.40994	-37.32493	-1.085011	0.283603	0.232215
290	-38.76953	-37.0659	-1.703626	0.279991	0.289108
300	-38.37634	-38.23749	-0.1388512	0.145741	0.288584
310	-37.84286	-37.765	-0.07785294	0.174982	0.254089
320	-41.55018	-45.37642	3.826238	0.0158683	0.0769412
330	-37.44252	-38.62924	1.186724	0.195002	0.12515
340	-38.06696	-38.47542	0.4084542	0.126406	0.260779
350	-39.31301	-38.52596	-0.7870512	0.149427	0.340728
360	-37.79301	-39.1637	1.370685	0.231824	0.0724832
370	-38.02822	-37.67936	-0.3488639	0.268957	0.183456
380	-37.43114	-38.53424	1.103101	0.195113	0.132242
390	-37.47573	-38.07704	0.6013126	0.216948	0.153626
400	-37.41645	-38.31529	0.8988418	0.196962	0.147986
410	-38.36547	-37.62314	-0.7423235	0.189812	0.29649
420	-37.61818	-39.22049	1.602308	0.0927181	0.19164
430	-37.5297	-37.97724	0.4475413	0.167904	0.215914
