Iteration	Posterior	Likelihood	Prior	q_down	q_up	rf[1]	rf[2]	rf[3]	rf[4]	rf[5]	rf[6]	rf[7]	rf[8]
420	-78.9834	-84.56927	5.585862	1.589452	0.5733453	0.0222978	0.0888859	0.231115	0.00889097	0.0983609	0.16304	0.322097	0.0653125
430	-79.82347	-86.14585	6.32238	1.009191	0.7853468	0.018967	0.0866402	0.159846	0.023724	0.135744	0.271603	0.0152526	0.288223
440	-81.32157	-86.0347	4.713132	2.015681	0.5834807	0.210012	0.014465	0.0468069	0.108731	0.145635	0.147927	0.0384858	0.287939
450	-79.57931	-84.10737	4.528061	1.602326	1.089371	0.189768	0.00499736	0.00311417	0.249367	0.181516	0.204541	0.0477544	0.118942
460	-79.06342	-86.04405	6.980623	0.9693117	0.4961045	0.200127	0.0109145	0.00339711	0.065354	0.152078	0.141575	0.0592045	0.36735
470	-78.84798	-85.90709	7.059117	1.132742	0.2934269	0.0481107	0.0934431	0.00168955	0.0888952	0.154242	0.0204779	0.292478	0.300664
480	-79.48087	-86.57176	7.090892	0.8980319	0.5122502	0.053351	0.0407628	0.0385119	0.164396	0.116589	0.00790779	0.25807	0.320411
490	-78.57682	-84.57641	5.999589	1.306771	0.6491626	0.188129	0.0341582	0.032272	0.0474507	0.442822	0.0170744	0.0755638	0.162531
500	-78.76394	-84.44753	5.683592	1.413029	0.7009034	0.145078	0.0942336	0.150813	0.0353936	0.302922	0.0583042	0.175229	0.0380271
510	-79.03952	-85.6774	6.637881	1.011366	0.625422	0.0380953	0.133589	0.0482218	0.0136779	0.0636139	0.464143	0.186332	0.0523282
520	-79.98708	-85.47941	5.492328	1.654184	0.5553795	0.191296	0.00638988	0.146473	0.121266	0.278476	0.135563	0.0863284	0.034207
530	-78.77364	-84.69799	5.92435	1.373111	0.6204424	0.0997604	0.00552079	0.194736	0.190802	0.290042	0.0532111	0.0646049	0.101324
540	-81.08696	-83.79852	2.711557	2.143234	1.456715	0.0303843	0.264677	0.200025	0.0868896	0.0462988	0.168641	0.0637807	0.139304
550	-78.74659	-84.96209	6.215501	1.256541	0.5914357	0.153495	0.196495	0.0809745	0.0939477	0.147321	0.133306	0.119258	0.0752014
560	-79.40225	-86.62921	7.22696	0.9310097	0.4112382	0.15855	0.189755	0.083347	0.0223852	0.0100926	0.0096074	0.373232	0.153031
570	-79.18596	-83.41804	4.232075	1.819929	1.019761	0.129724	0.00796711	0.080882	0.0687341	0.0132394	0.0102735	0.432102	0.257078
580	-78.58673	-84.35925	5.772516	1.529137	0.5403328	0.199103	0.00320725	0.0665662	0.161829	0.0194957	0.0151282	0.246222	0.288449
590	-79.42302	-84.65745	5.234429	1.669789	0.6687242	0.12256	0.0114921	0.376764	0.127638	0.0696941	0.0675538	0.10485	0.119448
600	-80.17058	-86.30698	6.136395	1.029262	0.8582681	0.127033	0.00316451	0.0990684	0.114458	0.239907	0.140486	0.101971	0.173912
610	-78.296	-84.17656	5.880552	1.349574	0.665878	0.13444	0.00771468	0.0681859	0.106619	0.0601489	0.103299	0.260212	0.25938
620	-79.30087	-85.58279	6.281924	1.072377	0.7423891	0.188043	0.00796871	0.129116	0.0326293	0.0739509	0.249399	0.0270031	0.29189
630	-79.16623	-86.44065	7.27442	1.008783	0.3097347	0.0877989	0.0121946	0.141266	0.0190918	0.0629091	0.250512	0.183358	0.24287
