Iteration	Posterior	Likelihood	Prior	q_down	q_up	rf[1]	rf[2]	rf[3]	rf[4]	rf[5]	rf[6]	rf[7]	rf[8]
420	-78.86391	-83.91908	5.055169	1.634814	0.7933297	0.0575703	0.193233	0.11144	0.0242962	0.136427	0.0064584	0.453225	0.0173499
430	-78.56673	-85.33232	6.765589	1.189275	0.3836585	0.105963	0.0997543	0.0768889	0.0130777	0.104836	0.0322951	0.508035	0.0591495
440	-79.15977	-83.83072	4.67095	1.617562	1.002691	0.0161605	0.132968	0.14923	0.033971	0.139742	0.0579837	0.296515	0.17343
450	-80.0416	-87.12625	7.084653	0.8367333	0.5766679	0.0365308	0.318473	0.0556044	0.173334	0.0029805	0.0606476	0.172817	0.179612
460	-78.95856	-84.69254	5.733982	1.522843	0.5658935	0.0696436	0.322744	0.11039	0.0339601	0.00553983	0.143745	0.221848	0.0921285
470	-79.20463	-86.20948	7.004852	0.986976	0.466326	0.0387142	0.138378	0.149515	0.259777	0.0335554	0.0426558	0.197147	0.140258
480	-79.84247	-86.48419	6.641717	0.9159763	0.718893	0.217674	0.0611309	0.204921	0.0867635	0.033195	0.00972329	0.264024	0.122568
490	-78.42456	-85.11371	6.689152	1.213284	0.3978676	0.16939	0.0990168	0.0585353	0.0511408	0.111515	0.00393831	0.199614	0.30685
500	-79.34821	-86.13837	6.790163	0.9761383	0.5845082	0.231317	0.0119856	0.235927	0.0722418	0.0595921	0.0133035	0.328926	0.0467065
510	-79.85777	-86.4432	6.585433	1.327221	0.335791	0.0813154	0.0295857	0.0429596	0.150848	0.359953	0.13218	0.189694	0.0134646
520	-79.88055	-84.51047	4.629914	1.824047	0.8167241	0.190067	0.0265505	0.363587	0.108577	0.109426	0.0263355	0.0866736	0.0887819
530	-79.06992	-84.60399	5.534077	1.597415	0.5912743	0.338037	0.114024	0.0440206	0.00956882	0.0750589	0.0448371	0.246771	0.127682
540	-79.73665	-83.5662	3.829555	1.883747	1.157204	0.029775	0.295323	0.104073	0.114858	0.0836625	0.0500167	0.225969	0.0963226
550	-79.41358	-84.01154	4.597963	1.813964	0.8427821	0.0592667	0.165413	0.0724931	0.227964	0.0151805	0.251466	0.0191897	0.189027
560	-79.46033	-83.49203	4.031702	1.859969	1.079907	0.0961561	0.107964	0.116209	0.0384118	0.0243348	0.340201	0.0435825	0.233141
570	-80.20485	-84.5779	4.373045	1.996707	0.7724983	0.0843798	0.1859	0.103304	0.0203704	0.0162364	0.167066	0.364694	0.0580489
580	-78.3625	-85.18719	6.824693	1.162101	0.3812799	0.190692	0.0932928	0.0855522	0.0569479	0.0041252	0.019821	0.0879183	0.46165
590	-78.49138	-84.90515	6.413765	1.225801	0.5230446	0.285623	0.0683024	0.0626353	0.0418366	0.0903524	0.0265504	0.293014	0.131686
600	-79.81682	-84.41955	4.602739	1.855316	0.7990426	0.116842	0.345692	0.101928	0.0110879	0.106749	0.017279	0.219528	0.0808936
610	-78.62854	-85.3776	6.749054	1.145567	0.4356339	0.294619	0.118291	0.0276641	0.0119796	0.0594976	0.112831	0.180649	0.194469
620	-79.03943	-85.77006	6.730629	1.187388	0.4030259	0.0759759	0.373272	0.0548055	0.0217618	0.139257	0.10694	0.125045	0.102944
630	-79.21351	-85.98804	6.774527	1.276303	0.2921618	0.0295856	0.354657	0.0520724	0.0590057	0.0370865	0.0550646	0.126366	0.286161
640	-78.20481	-84.46706	6.262249	1.247079	0.5775242	0.055904	0.0447243	0.172818	0.0102586	0.159839	0.0391439	0.0520302	0.465282
650	-79.57362	-86.96394	7.390315	0.8861559	0.3744145	0.0810044	0.00541499	0.0730053	0.0938785	0.140127	0.224954	0.291607	0.0900091
660	-81.06697	-88.28759	7.22062	0.6711621	0.6742555	0.323406	0.00194323	0.27814	0.0617564	0.0865875	0.061746	0.184764	0.00165635
670	-81.20709	-85.11327	3.906183	2.158117	0.8445194	0.374657	0.00383574	0.0692392	0.196207	0.0568916	0.0384781	0.153459	0.107233
680	-78.93317	-84.50225	5.569085	1.584491	0.5866944	0.111123	0.0511765	0.0848445	0.164346	0.0172971	0.295302	0.118382	0.157529
690	-79.50598	-84.0296	4.523619	1.616637	1.077281	0.0158836	0.0358158	0.0493636	0.157295	0.175362	0.1309	0.126298	0.309081
700	-80.56926	-83.58271	3.013449	2.086517	1.362486	0.166688	0.00693289	0.106961	0.176262	0.0304685	0.209302	0.034247	0.269139
710	-81.31727	-84.93232	3.615049	1.785717	1.362486	0.0239834	0.0388838	0.196682	0.208746	0.0611328	0.310029	0.0477698	0.112774
720	-78.78059	-84.24589	5.465293	1.475125	0.7479563	0.167309	0.0899395	0.313512	0.0112757	0.0575024	0.0400509	0.0325194	0.287892
730	-81.39356	-83.42732	2.033754	2.572048	1.366803	0.0852225	0.110292	0.112853	0.0192899	0.281774	0.31745	0.0398784	0.0332399
740	-79.48733	-84.64076	5.153428	1.686345	0.6926688	0.144133	0.158074	0.0364158	0.211669	0.0114764	0.32312	0.112871	0.00224103
750	-79.20902	-84.46941	5.26039	1.38979	0.9357428	0.515706	0.0426602	0.0482702	0.124876	0.00682222	0.128084	0.127622	0.00595951
760	-78.93711	-84.63653	5.699413	1.464124	0.6418969	0.280639	0.0377417	0.0890875	0.126857	0.232385	0.0528102	0.0580829	0.122398
770	-79.51459	-84.20216	4.687567	1.786502	0.8254423	0.163731	0.0590764	0.0453105	0.350667	0.0168532	0.187862	0.107895	0.0686056
780	-81.21936	-83.65099	2.431628	2.244953	1.494961	0.132883	0.0565834	0.0390552	0.264902	0.0152246	0.161927	0.28193	0.0474943
790	-78.60283	-84.33062	5.727792	1.325779	0.7660533	0.0756583	0.119878	0.0344956	0.0439187	0.103401	0.150642	0.176159	0.295847
800	-79.90321	-84.3187	4.415489	1.838405	0.9095782	0.498462	0.0409444	0.161823	0.0305574	0.0458289	0.117647	0.0223166	0.0824204
810	-78.94007	-85.59208	6.652011	1.220042	0.4096807	0.325237	0.0640539	0.0221602	0.0478043	0.0484428	0.334224	0.0502904	0.107788
820	-79.10003	-84.73334	5.63331	1.279264	0.8598091	0.247594	0.117133	0.0116057	0.119194	0.117423	0.17882	0.0652948	0.142936
830	-79.792	-84.83012	5.038115	1.396562	1.040109	0.0475475	0.151616	0.0664488	0.339867	0.0303007	0.11549	0.0822387	0.166491
840	-80.04547	-84.9554	4.909933	1.74922	0.7515414	0.0527729	0.402388	0.302506	0.0633159	0.0220743	0.0452118	0.0238007	0.0879302
850	-78.86233	-85.31281	6.450474	1.225207	0.5052834	0.015919	0.213773	0.169033	0.265434	0.00806549	0.0902496	0.211398	0.0261273
860	-80.31563	-85.79636	5.480725	1.612183	0.603182	0.0956868	0.461395	0.0784475	0.240184	0.00351905	0.0661252	0.0264125	0.0282299
870	-79.22251	-85.44022	6.217707	1.098719	0.7481556	0.194019	0.0485412	0.115178	0.181894	0.0195609	0.10303	0.0292064	0.30857
880	-78.85721	-84.75629	5.899074	1.416537	0.5896535	0.141311	0.405975	0.0534672	0.0409506	0.000864199	0.0796093	0.180327	0.0974945
890	-79.29433	-86.08219	6.787859	1.058834	0.5029643	0.0490122	0.487809	0.0479988	0.128203	0.026443	0.0425523	0.124439	0.0935427
900	-78.86217	-84.41685	5.554682	1.387816	0.7905707	0.10518	0.218832	0.0661608	0.277999	0.026105	0.0398333	0.133698	0.132192
910	-78.78669	-84.27484	5.48815	1.415901	0.7957517	0.156197	0.0578135	0.166495	0.127485	0.150561	0.052682	0.109891	0.178876
920	-80.30306	-83.63679	3.333726	2.129287	1.159578	0.0841654	0.207102	0.239787	0.218716	0.0108647	0.135708	0.0425716	0.0610846
930	-79.84218	-86.74094	6.898766	1.253065	0.2532797	0.0728431	0.0833718	0.20753	0.189294	0.00574983	0.0618575	0.2363	0.143055
940	-78.74379	-85.01565	6.271854	1.168966	0.6508342	0.127129	0.187852	0.0880287	0.0506909	0.0134241	0.152263	0.0407392	0.339872
950	-79.29811	-84.43453	5.136422	1.419237	0.96828	0.0398364	0.0733872	0.149421	0.0712993	0.176463	0.1451	0.0634476	0.281046
960	-78.48323	-85.19812	6.714885	1.162985	0.4353005	0.00592127	0.0511645	0.0644538	0.18644	0.00142769	0.424842	0.101541	0.16421
970	-78.52898	-84.47147	5.942493	1.387184	0.5972975	0.00241264	0.0531309	0.125848	0.289015	0.00171945	0.337308	0.0381279	0.152439
980	-79.09605	-86.11883	7.022777	0.9738708	0.4704688	0.230903	0.0772773	0.0486064	0.0207148	0.00160488	0.242947	0.0147262	0.36322
990	-78.5936	-84.75812	6.164524	1.188052	0.6854141	0.0744269	0.0626586	0.0288507	0.0738547	0.0409075	0.343251	0.142037	0.234014
1000	-83.38564	-83.26313	-0.1225138	3.290886	1.726099	0.0568261	0.0933436	0.0143766	0.0585546	0.0422666	0.0826922	0.269546	0.382394
1010	-82.37018	-83.34657	0.9763875	2.905392	1.562142	0.0508983	0.19795	0.224404	0.126966	0.15275	0.106425	0.0903037	0.0503039
1020	-86.01706	-83.23916	-2.777899	4.144701	2.199977	0.112107	0.0116618	0.281428	0.153319	0.191565	0.135361	0.113251	0.00130832
1030	-80.29368	-85.54185	5.248161	1.735751	0.5958958	0.116433	0.0181615	0.332768	0.23877	0.0538978	0.0577639	0.176371	0.00583537
1040	-80.04224	-83.42774	3.385506	2.017299	1.245676	0.103846	0.118055	0.0364565	0.0796643	0.175259	0.113487	0.312128	0.0611049
1050	-80.27233	-85.31692	5.044596	1.355404	1.078026	0.195967	0.0876052	0.0811947	0.183852	0.06573	0.252535	0.0392271	0.0938896
1060	-79.33151	-85.04399	5.71248	1.538193	0.5612943	0.301572	0.21413	0.0275286	0.138728	0.0190913	0.140938	0.0111165	0.146895
1070	-79.87491	-84.15971	4.284801	1.95476	0.8585671	0.240529	0.244332	0.0507132	0.0365829	0.000412108	0.107386	0.00847003	0.311575
1080	-80.3495	-83.46612	3.116619	2.11531	1.282109	0.249129	0.224519	0.0525265	0.376969	0.00314484	0.00710503	0.0632907	0.0233159
1090	-84.74795	-86.2579	1.509945	3.016075	1.18468	0.11248	0.169221	0.152736	0.118063	0.00775728	0.0977217	0.173925	0.168095
1100	-80.48555	-86.10246	5.616919	1.676345	0.4709236	0.11404	0.19349	0.180141	0.148709	0.0191099	0.11968	0.185583	0.0392474
1110	-78.90534	-83.98885	5.083508	1.556008	0.8579656	0.120199	0.125358	0.0445853	0.31812	0.00832738	0.0273742	0.18914	0.166896
