Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	q_01A	q_01B	q_10A	q_10B	root_frequencies[1]	root_frequencies[2]	root_frequencies[3]	root_frequencies[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
0	319.0814	396.9622	-77.88081	0.103334	0.00962445	0.0218166	0.00203198	-2.26979	-4.64345	-1.5553	0.240367	1.513145	0.03711461	0.6118402	0.02627844	0.6858384	6.051442e-06	0.16845	0.325417	0.328417	0.177716	0.831352	1.25169	165805	249638	-0.184702	0.224498	12.2033	2.83018
1	317.9284	396.8134	-78.88507	0.103334	0.00962445	0.0218166	0.00203198	-2.26979	-4.64345	-1.5553	1.43746	1.513145	0.03711461	0.6118402	0.02627844	0.6858384	6.051442e-06	0.449737	0.0621548	0.347449	0.14066	0.831352	1.25169	165805	249638	-0.184702	0.224498	12.2033	2.83018
2	317.7222	397.1306	-79.40848	0.103334	0.00940066	0.0218166	0.00198473	-2.26979	-4.66698	-1.5553	1.43746	1.513145	0.03711461	0.6118402	0.03726075	0.6858384	6.051442e-06	0.459613	0.0584869	0.326945	0.154955	0.831352	1.25169	165805	249638	-0.184702	0.224498	12.2033	2.83018
3	318.7093	396.3445	-77.63522	0.103334	0.0100079	0.0218166	0.00211293	-2.26979	-4.60438	-1.5553	1.02582	1.513145	0.03711461	0.6118402	0.03726075	0.6858384	6.051442e-06	0.154955	0.459613	0.0584869	0.326945	0.831352	1.25169	165805	249638	-0.184702	0.224498	12.2033	1.81223
4	318.4278	397.2028	-78.77495	0.103334	0.00944058	0.0218166	0.00199316	-2.26979	-4.66274	-1.5553	-1.69381	1.513145	0.03711461	0.6118402	0.03726075	0.6858384	6.051442e-06	0.154955	0.326945	0.0584869	0.459613	0.831352	1.25169	165805	249638	-0.184702	0.224498	12.2033	1.81223
5	321.8305	397.6629	-75.83237	0.103334	0.00944058	0.0218166	0.00199316	-2.26979	-4.66274	-1.5553	-0.0112291	1.513145	0.03711461	0.6118402	0.007328379	0.6858384	6.051442e-06	0.326945	0.459613	0.0584869	0.154955	0.831352	1.25169	165805	249638	-0.184702	0.224498	12.2033	1.81223
6	324.6017	397.6629	-73.06119	0.103334	0.00944058	0.0218166	0.00199316	-2.26979	-4.66274	-1.5553	-0.353957	1.513145	0.03711461	0.6118402	0.0008719223	0.6858384	6.051442e-06	0.326945	0.459613	0.0584869	0.154955	0.831352	1.25169	165805	249638	-0.184702	0.224498	12.2033	0.192803
7	322.0357	394.9398	-72.90417	0.103334	0.0098112	0.0218166	0.00207141	-2.26979	-4.62423	-1.5553	-0.0551169	1.513145	0.03711461	0.6118402	0.0009721767	0.6858384	6.056527e-06	0.459613	0.154955	0.326945	0.0584869	0.831352	1.25169	165805	249638	-0.184702	0.224498	12.2033	0.192803
8	317.5405	394.4995	-76.95898	0.103334	0.0098112	0.0218166	0.00207141	-2.26979	-4.62423	-1.5553	-0.0551169	1.513145	0.03711461	0.6118402	0.0009721767	0.6858384	6.056527e-06	0.0807408	0.253999	0.213914	0.451345	0.831352	1.25169	165805	249638	-0.184702	0.224498	12.2033	4.24761
9	312.6149	396.4757	-83.86085	0.103334	0.00964016	0.0218166	0.00203529	-2.26979	-4.64182	-1.5553	-0.0551169	1.513145	0.03711461	0.6120207	0.1823129	0.6858384	6.056527e-06	0.0463577	0.684987	0.145835	0.12282	0.831352	1.25169	165805	249638	-0.184702	0.224498	12.2033	4.24761
