Iteration	Posterior	Likelihood	Prior	q_down	q_up	rf[1]	rf[2]	rf[3]	rf[4]	rf[5]	rf[6]	rf[7]	rf[8]
0	-78.83383	-84.13167	5.297841	1.440753	0.8660541	0.115943	0.0620206	0.0479221	0.0484488	0.313903	0.272214	0.00964363	0.129905
10	-78.73639	-85.10935	6.372952	1.157324	0.6119279	0.0499638	0.136549	0.136674	0.126616	0.253132	0.0424748	0.144705	0.109884
20	-79.42874	-84.18669	4.757955	1.693822	0.8829283	0.189248	0.00427245	0.399298	0.144922	0.0900994	0.0170437	0.119116	0.0359998
30	-78.31955	-84.06246	5.74291	1.410318	0.6739553	0.0258012	0.00237648	0.172436	0.100896	0.0627278	0.229103	0.160467	0.246193
40	-81.03898	-83.21018	2.171202	2.470212	1.399915	0.0305622	0.00351296	0.0849898	0.28174	0.257233	0.17188	0.0514912	0.118591
50	-78.85098	-83.84785	4.99687	1.592828	0.8644649	0.0475809	0.0106637	0.134465	0.289387	0.066447	0.0691143	0.294199	0.0881427
60	-78.89681	-84.15158	5.254767	1.440435	0.8879097	0.0414351	0.012215	0.293877	0.0580707	0.0340666	0.302198	0.25273	0.00540806
70	-79.30233	-85.91794	6.61561	0.9654055	0.6825172	0.00830772	0.00469597	0.279838	0.478176	0.0148124	0.109763	0.0435252	0.0608818
80	-78.42959	-84.86146	6.431872	1.221052	0.5187402	0.0149368	0.0827953	0.109677	0.054621	0.250952	0.197347	0.18021	0.109462
90	-79.80979	-83.68823	3.878441	2.011019	1.005488	0.110403	0.0394202	0.100272	0.21298	0.0800681	0.180424	0.0455765	0.230857
100	-78.88722	-85.46207	6.574851	1.22102	0.4472822	0.0183845	0.023292	0.265838	0.221045	0.0872359	0.21698	0.0824359	0.0847879
110	-79.00013	-86.07021	7.070075	1.139691	0.2809997	0.118139	0.0027696	0.000621833	0.0205961	0.400188	0.0332105	0.0215986	0.402876
120	-78.5871	-84.62125	6.034156	1.241659	0.696991	0.106683	0.00463796	0.000797255	0.152798	0.412617	0.0582973	0.056322	0.207847
130	-79.81026	-85.50776	5.6975	1.630151	0.4768267	0.0252945	0.0118307	0.00203367	0.181648	0.396743	0.188913	0.0469699	0.146567
140	-80.02059	-83.36274	3.342149	2.184761	1.099893	0.0385438	0.0399683	0.00226803	0.0924961	0.16462	0.0980922	0.0997957	0.464216
150	-78.9552	-84.60873	5.653535	1.556689	0.5722718	0.117614	0.00986698	0.0156422	0.0137166	0.508945	0.0571169	0.156156	0.120943
160	-78.74468	-84.39963	5.654941	1.328252	0.8000056	0.0205442	0.00208054	0.229832	0.0989798	0.301197	0.0269685	0.184016	0.136382
170	-79.37664	-84.23034	4.853702	1.705449	0.8234271	0.0550121	0.265147	0.150485	0.103648	0.068089	0.240108	0.102023	0.0154883
180	-79.28943	-84.06271	4.77328	1.745661	0.8234271	0.086915	0.195847	0.113937	0.0601192	0.0759355	0.229222	0.224513	0.013511
190	-81.00298	-88.61019	7.607216	0.6678603	0.4842596	0.01719	0.0633999	0.0438653	0.235601	0.33776	0.202715	0.0785446	0.0209245
200	-82.2777	-89.73684	7.459141	1.069141	0.1570166	0.00489033	0.0851591	0.0177044	0.317521	0.413514	0.0194995	0.119871	0.0218406
210	-80.11507	-87.64216	7.527085	0.8163846	0.3758006	0.00986322	0.0244499	0.0913669	0.143465	0.275073	0.0683106	0.299821	0.0876505
220	-82.95138	-89.37791	6.42653	0.8163846	0.9260781	0.033276	0.0106877	0.345086	0.196745	0.079044	0.0119993	0.277232	0.0459301
230	-82.77526	-87.70943	4.93417	2.011449	0.4771936	0.269385	0.0231985	0.0223366	0.253018	0.063581	0.0229444	0.285577	0.059959
240	-78.89204	-84.37723	5.485197	1.361223	0.8519066	0.0582192	0.0350584	0.193963	0.154976	0.195407	0.0676291	0.0419986	0.252749
250	-79.93414	-86.30306	6.368918	1.46171	0.309559	0.0748029	0.255623	0.163864	0.0225379	0.0689046	0.0651252	0.098662	0.250481
260	-78.67611	-85.22192	6.545818	1.240994	0.4418249	0.0286767	0.192848	0.172505	0.099535	0.0436819	0.0798346	0.334065	0.048854
270	-78.60871	-85.24691	6.6382	1.260729	0.3758985	0.0795869	0.108138	0.0336477	0.102249	0.0171119	0.048969	0.555924	0.0543733
280	-78.74669	-85.65143	6.904747	1.129363	0.3739918	0.155437	0.175773	0.0338884	0.140152	0.0278147	0.079597	0.116563	0.270776
290	-79.24134	-85.20756	5.96622	1.151978	0.82064	0.308006	0.25836	0.0932149	0.0494156	0.00804086	0.125025	0.142836	0.0151024
300	-79.70358	-84.17198	4.468396	1.8438	0.8777299	0.27082	0.140152	0.194546	0.0103428	0.0181295	0.129584	0.186208	0.0502174
