Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
48	0	-83903	-83902.6	-0.4050278	0.0157525	0.917843	0.0821567	1.83569	0.164313	0.9995628
49	1	-83882.88	-83882.48	-0.4052838	0.0189684	0.917245	0.0827552	1.83449	0.16551	0.9998187
50	0	-83902.78	-83902.38	-0.4050278	0.0202522	0.918668	0.0813324	1.83734	0.162665	0.9995628
51	1	-83881.33	-83880.93	-0.4052838	0.0148966	0.918657	0.0813426	1.83731	0.162685	0.9998187
52	0	-83903.23	-83902.82	-0.4050278	0.0140109	0.918668	0.0813324	1.83734	0.162665	0.9995628
53	1	-83881.42	-83881.02	-0.4052838	0.0204031	0.918657	0.0813426	1.83731	0.162685	0.9998187
54	0	-83902.23	-83901.83	-0.4050278	0.0167463	0.918668	0.0813324	1.83734	0.162665	0.9995628
55	1	-83880.75	-83880.34	-0.4052838	0.017854	0.918657	0.0813426	1.83731	0.162685	0.9998187
56	0	-83902.81	-83902.4	-0.4050278	0.0182251	0.917842	0.0821583	1.83568	0.164317	0.9995628
57	1	-83880.87	-83880.47	-0.4052838	0.0162997	0.918657	0.0813426	1.83731	0.162685	0.9998187
58	0	-83902.73	-83902.32	-0.4050278	0.0191864	0.918033	0.0819668	1.83607	0.163934	0.9995628
59	1	-83880.77	-83880.37	-0.4052838	0.0181407	0.918657	0.0813426	1.83731	0.162685	0.9998187
60	0	-83903.15	-83902.75	-0.4050278	0.0203038	0.918033	0.0819668	1.83607	0.163934	0.9995628
61	1	-83881.2	-83880.8	-0.4052838	0.0198952	0.918657	0.0813426	1.83731	0.162685	0.9998187
62	0	-83902.67	-83902.26	-0.4050278	0.0189481	0.918033	0.0819668	1.83607	0.163934	0.9995628
63	1	-83881.2	-83880.8	-0.4052838	0.0198952	0.918657	0.0813426	1.83731	0.162685	0.9998187
64	0	-83902.67	-83902.26	-0.4050278	0.0189481	0.918033	0.0819668	1.83607	0.163934	0.9995628
65	1	-83880.74	-83880.34	-0.4052838	0.0174284	0.918657	0.0813426	1.83731	0.162685	0.9998187
66	0	-83902.67	-83902.26	-0.4050278	0.0189481	0.918033	0.0819668	1.83607	0.163934	0.9995628
67	1	-83881.17	-83880.76	-0.4052838	0.0152961	0.918657	0.0813426	1.83731	0.162685	0.9998187
68	0	-83902.77	-83902.37	-0.4050278	0.0156508	0.918033	0.0819668	1.83607	0.163934	0.9995628
69	1	-83881.86	-83881.45	-0.4052838	0.0152007	0.91932	0.0806804	1.83864	0.161361	0.9998187
70	0	-83903.4	-83903	-0.4050278	0.0141906	0.918033	0.0819668	1.83607	0.163934	0.9995628
71	1	-83881.86	-83881.45	-0.4052838	0.0152007	0.91932	0.0806804	1.83864	0.161361	0.9998187
72	0	-83902.91	-83902.5	-0.4050278	0.0152546	0.918033	0.0819668	1.83607	0.163934	0.9995628
73	1	-83882.17	-83881.76	-0.4052838	0.020718	0.91932	0.0806804	1.83864	0.161361	0.9998187
74	0	-83902.6	-83902.19	-0.4050278	0.0163524	0.918033	0.0819668	1.83607	0.163934	0.9995628
75	1	-83882.17	-83881.76	-0.4052838	0.020718	0.91932	0.0806804	1.83864	0.161361	0.9998187
76	0	-83902.6	-83902.19	-0.4050278	0.0163524	0.918033	0.0819668	1.83607	0.163934	0.9995628
77	1	-83881.63	-83881.22	-0.4052838	0.0158492	0.91932	0.0806804	1.83864	0.161361	0.9998187
78	0	-83902.45	-83902.04	-0.4050278	0.0163524	0.918945	0.0810553	1.83789	0.162111	0.9995628
79	1	-83884.45	-83884.04	-0.4052838	0.0236832	0.91932	0.0806804	1.83864	0.161361	0.9998187
80	0	-83903.11	-83902.71	-0.4050278	0.0206514	0.918945	0.0810553	1.83789	0.162111	0.9995628
81	1	-83881.66	-83881.26	-0.4052838	0.0194946	0.91932	0.0806804	1.83864	0.161361	0.9998187
82	0	-83902.54	-83902.13	-0.4050278	0.0159902	0.918945	0.0810553	1.83789	0.162111	0.9995628
83	1	-83881.49	-83881.09	-0.4052838	0.0188398	0.91932	0.0806804	1.83864	0.161361	0.9998187
84	0	-83902.88	-83902.48	-0.4050278	0.0201651	0.918945	0.0810553	1.83789	0.162111	0.9995628
85	1	-83882.52	-83882.11	-0.4052838	0.0139095	0.91932	0.0806804	1.83864	0.161361	0.9998187
86	0	-83902.59	-83902.19	-0.4050278	0.0193848	0.918945	0.0810553	1.83789	0.162111	0.9995628
87	1	-83882.34	-83881.93	-0.4052838	0.0207234	0.917769	0.0822308	1.83554	0.164462	0.9998187
88	0	-83902.37	-83901.97	-0.4050278	0.018343	0.918945	0.0810553	1.83789	0.162111	0.9995628
89	1	-83882.66	-83882.26	-0.4052838	0.0134754	0.919234	0.0807663	1.83847	0.161533	0.9998187
90	0	-83902.95	-83902.54	-0.4050278	0.018343	0.919381	0.0806195	1.83876	0.161239	0.9995628
91	1	-83882.66	-83882.26	-0.4052838	0.0134754	0.919234	0.0807663	1.83847	0.161533	0.9998187
92	0	-83905.99	-83905.59	-0.4050278	0.0224074	0.917316	0.0826843	1.83463	0.165369	0.9995628
93	1	-83881.95	-83881.54	-0.4052838	0.0205463	0.919234	0.0807663	1.83847	0.161533	0.9998187
94	0	-83903.91	-83903.51	-0.4050278	0.0176156	0.917316	0.0826843	1.83463	0.165369	0.9995628
95	1	-83881.74	-83881.33	-0.4052838	0.0151532	0.919234	0.0807663	1.83847	0.161533	0.9998187
96	0	-83903.91	-83903.51	-0.4050278	0.0172686	0.917316	0.0826843	1.83463	0.165369	0.9995628
97	1	-83881.37	-83880.96	-0.4052838	0.0163213	0.919234	0.0807663	1.83847	0.161533	0.9998187
98	0	-83904.14	-83903.74	-0.4050278	0.0157547	0.917316	0.0826843	1.83463	0.165369	0.9995628
99	1	-83882.17	-83881.76	-0.4052838	0.020961	0.919234	0.0807663	1.83847	0.161533	0.9998187
100	0	-83904.2	-83903.8	-0.4050278	0.0155581	0.917316	0.0826843	1.83463	0.165369	0.9995628
101	1	-83882.17	-83881.76	-0.4052838	0.020961	0.919234	0.0807663	1.83847	0.161533	0.9998187
102	0	-83904.06	-83903.66	-0.4050278	0.0187709	0.917316	0.0826843	1.83463	0.165369	0.9995628
103	1	-83880.83	-83880.43	-0.4052838	0.0177759	0.918862	0.0811383	1.83772	0.162277	0.9998187
104	0	-83905.55	-83905.14	-0.4050278	0.0187709	0.916862	0.0831383	1.83372	0.166277	0.9995628
105	1	-83880.83	-83880.43	-0.4052838	0.0177759	0.918862	0.0811383	1.83772	0.162277	0.9998187
106	0	-83902.5	-83902.09	-0.4050278	0.0195438	0.918578	0.0814219	1.83716	0.162844	0.9995628
107	1	-83880.83	-83880.43	-0.4052838	0.0177759	0.918862	0.0811383	1.83772	0.162277	0.9998187
108	0	-83902.5	-83902.09	-0.4050278	0.0195438	0.918578	0.0814219	1.83716	0.162844	0.9995628
109	1	-83881.63	-83881.23	-0.4052838	0.0206778	0.918862	0.0811383	1.83772	0.162277	0.9998187
110	0	-83902.51	-83902.11	-0.4050278	0.0195846	0.918578	0.0814219	1.83716	0.162844	0.9995628
111	1	-83880.83	-83880.42	-0.4052838	0.0176916	0.918862	0.0811383	1.83772	0.162277	0.9998187
112	0	-83904.84	-83904.44	-0.4050278	0.013257	0.917529	0.0824709	1.83506	0.164942	0.9995628
113	1	-83880.83	-83880.42	-0.4052838	0.0176916	0.918862	0.0811383	1.83772	0.162277	0.9998187
114	0	-83903.99	-83903.58	-0.4050278	0.0201546	0.917529	0.0824709	1.83506	0.164942	0.9995628
115	1	-83880.83	-83880.42	-0.4052838	0.0176916	0.918862	0.0811383	1.83772	0.162277	0.9998187
116	0	-83903.99	-83903.58	-0.4050278	0.0201546	0.917529	0.0824709	1.83506	0.164942	0.9995628
117	1	-83880.83	-83880.42	-0.4052838	0.0176916	0.918862	0.0811383	1.83772	0.162277	0.9998187
118	0	-83903.59	-83903.19	-0.4050278	0.0141791	0.917894	0.0821062	1.83579	0.164212	0.9995628
119	1	-83880.97	-83880.57	-0.4052838	0.0188871	0.918862	0.0811383	1.83772	0.162277	0.9998187
120	0	-83903.17	-83902.76	-0.4050278	0.0150557	0.917894	0.0821062	1.83579	0.164212	0.9995628
121	1	-83880.97	-83880.57	-0.4052838	0.0188871	0.918862	0.0811383	1.83772	0.162277	0.9998187
122	0	-83903.33	-83902.92	-0.4050278	0.0202701	0.917894	0.0821062	1.83579	0.164212	0.9995628
123	1	-83880.97	-83880.57	-0.4052838	0.0188871	0.918862	0.0811383	1.83772	0.162277	0.9998187
124	0	-83902.78	-83902.38	-0.4050278	0.01861	0.917894	0.0821062	1.83579	0.164212	0.9995628
125	1	-83880.97	-83880.57	-0.4052838	0.0188871	0.918862	0.0811383	1.83772	0.162277	0.9998187
126	0	-83902.72	-83902.31	-0.4050278	0.0167791	0.917894	0.0821062	1.83579	0.164212	0.9995628
127	1	-83880.97	-83880.57	-0.4052838	0.0188871	0.918862	0.0811383	1.83772	0.162277	0.9998187
128	0	-83902.72	-83902.31	-0.4050278	0.0167791	0.917894	0.0821062	1.83579	0.164212	0.9995628
129	1	-83881.22	-83880.81	-0.4052838	0.0154139	0.918862	0.0811383	1.83772	0.162277	0.9998187
130	0	-83902.72	-83902.31	-0.4050278	0.0167791	0.917894	0.0821062	1.83579	0.164212	0.9995628
131	1	-83880.83	-83880.43	-0.4052838	0.0173552	0.918862	0.0811383	1.83772	0.162277	0.9998187
132	0	-83902.7	-83902.3	-0.4050278	0.0169182	0.917894	0.0821062	1.83579	0.164212	0.9995628
133	1	-83881.79	-83881.38	-0.4052838	0.0141871	0.918862	0.0811383	1.83772	0.162277	0.9998187
134	0	-83902.71	-83902.3	-0.4050278	0.0180612	0.917894	0.0821062	1.83579	0.164212	0.9995628
135	1	-83881.75	-83881.35	-0.4052838	0.0142573	0.918862	0.0811383	1.83772	0.162277	0.9998187
136	0	-83902.71	-83902.31	-0.4050278	0.0181247	0.917894	0.0821062	1.83579	0.164212	0.9995628
137	1	-83881.76	-83881.35	-0.4052838	0.0209103	0.918862	0.0811383	1.83772	0.162277	0.9998187
138	0	-83902.84	-83902.44	-0.4050278	0.0160811	0.917894	0.0821062	1.83579	0.164212	0.9995628
139	1	-83881.76	-83881.35	-0.4052838	0.0209103	0.918862	0.0811383	1.83772	0.162277	0.9998187
140	0	-83903.07	-83902.66	-0.4050278	0.0153176	0.917894	0.0821062	1.83579	0.164212	0.9995628
141	1	-83880.83	-83880.43	-0.4052838	0.0173146	0.918862	0.0811383	1.83772	0.162277	0.9998187
142	0	-83902.56	-83902.16	-0.4050278	0.0162751	0.919045	0.0809549	1.83809	0.16191	0.9995628
143	1	-83880.87	-83880.47	-0.4052838	0.0165737	0.918798	0.0812018	1.8376	0.162404	0.9998187
144	0	-83902.34	-83901.93	-0.4050278	0.0167511	0.918892	0.0811077	1.83778	0.162215	0.9995628
145	1	-83880.82	-83880.41	-0.4052838	0.0170157	0.918798	0.0812018	1.8376	0.162404	0.9998187
146	0	-83902.28	-83901.88	-0.4050278	0.0174513	0.918892	0.0811077	1.83778	0.162215	0.9995628
147	1	-83882.3	-83881.89	-0.4052838	0.0132326	0.918459	0.0815415	1.83692	0.163083	0.9998187
148	0	-83903.88	-83903.48	-0.4050278	0.0149959	0.917526	0.082474	1.83505	0.164948	0.9995628
149	1	-83881.9	-83881.5	-0.4052838	0.0209974	0.918205	0.0817952	1.83641	0.16359	0.9998187
