Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]
1050	-38.57346	-38.39516	-0.1782986	0.30123	0.136493
1060	-38.16682	-37.21541	-0.9514075	0.251851	0.25246
1070	-38.92077	-40.35741	1.436639	0.0495386	0.249088
1080	-38.71621	-40.46785	1.751638	0.0423535	0.229142
1090	-37.53321	-39.07347	1.540258	0.112707	0.176995
1100	-39.31513	-39.34248	0.02735488	0.32404	0.095969
1110	-39.03049	-38.46701	-0.5634797	0.145784	0.325114
1120	-38.25124	-37.88105	-0.3701891	0.168052	0.286197
1130	-37.55656	-39.14212	1.585562	0.103822	0.181978
1140	-38.21446	-37.53034	-0.6841226	0.196153	0.285136
1150	-37.41781	-38.4058	0.9879892	0.168267	0.169002
1160	-37.49882	-37.90479	0.4059703	0.217663	0.169736
1170	-37.56132	-37.66398	0.1026532	0.206194	0.20733
1180	-37.79103	-39.02451	1.233487	0.0952627	0.220862
1190	-38.03403	-39.65269	1.618665	0.0667557	0.216193
1200	-37.53472	-38.30754	0.7728276	0.14293	0.212872
1210	-37.77306	-39.72428	1.951224	0.192344	0.0619615
1220	-37.83033	-39.03561	1.205281	0.240409	0.0781449
1230	-38.36522	-37.19672	-1.168501	0.237225	0.285783
1240	-37.46021	-38.06955	0.6093491	0.168925	0.200956
1250	-37.43656	-38.42628	0.9897231	0.152415	0.184705
1260	-39.79821	-39.02627	-0.7719376	0.133771	0.355082
1270	-37.48841	-38.58392	1.095518	0.215017	0.112991
1280	-39.84767	-39.81227	-0.03539994	0.094548	0.330866
1290	-37.86301	-37.89773	0.03471745	0.259373	0.160002
1300	-38.42736	-37.12717	-1.300192	0.259109	0.275242
1310	-37.41663	-38.09283	0.6762006	0.193193	0.170931
1320	-39.2991	-37.08363	-2.215466	0.267822	0.345362
1330	-38.59124	-38.09069	-0.5005506	0.30378	0.161698
1340	-37.79371	-37.54811	-0.2456042	0.19731	0.24621
1350	-37.57755	-38.1004	0.5228475	0.154818	0.222514
1360	-40.35398	-37.53535	-2.818634	0.377195	0.287941
1370	-41.36881	-42.68196	1.313145	0.298091	0.0111728
1380	-38.67739	-39.55282	0.8754285	0.282299	0.0646649
1390	-37.41206	-38.26552	0.8534525	0.172397	0.17646
1400	-40.7164	-37.39085	-3.325548	0.386654	0.322143
1410	-38.27453	-37.39129	-0.8832365	0.210529	0.28791
1420	-38.32679	-37.17588	-1.150902	0.242901	0.278592
1430	-39.67114	-37.78918	-1.881962	0.20789	0.376569
1440	-38.17832	-40.33345	2.155128	0.125454	0.111289
1450	-38.7127	-37.36215	-1.350549	0.302154	0.236535
1460	-37.59672	-37.85532	0.2586015	0.232867	0.167225
1470	-38.05087	-37.74875	-0.3021158	0.271486	0.176901
1480	-38.32795	-37.85108	-0.4768683	0.171397	0.292041
1490	-37.55277	-39.15102	1.598256	0.105585	0.179122
1500	-37.42345	-38.1826	0.7591488	0.170066	0.186914
1510	-37.903	-39.83076	1.927758	0.14276	0.113566
1520	-37.68619	-38.48393	0.79774	0.242152	0.111503
1530	-39.02195	-39.279	0.2570523	0.100367	0.299859
