Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]
98	0	-37.59102	-39.30886	1.717832	0.110087	0.16432
99	1	-38.28528	-40.66723	2.381955	0.177251	0.039955
100	0	-37.42735	-38.01172	0.5843652	0.193286	0.178747
101	1	-38.26234	-39.83488	1.572535	0.239414	0.047508
102	0	-39.08099	-39.58756	0.5065658	0.305265	0.0734694
103	1	-39.48998	-40.20775	0.7177698	0.0674843	0.293059
104	0	-41.24227	-44.6433	3.401033	0.101702	0.0277304
105	1	-37.71233	-38.28831	0.5759807	0.137811	0.234945
106	0	-37.85327	-38.38813	0.53486	0.130506	0.245792
107	1	-41.60929	-40.35939	-1.249899	0.407918	0.122102
108	0	-37.71439	-39.4481	1.733717	0.154837	0.118202
109	1	-37.8479	-37.81613	-0.0317688	0.170693	0.254409
110	0	-37.75703	-38.93734	1.180309	0.237302	0.0834022
111	1	-38.95368	-39.44122	0.4875363	0.0906217	0.289752
112	0	-37.42717	-38.01788	0.5907179	0.188063	0.183423
113	1	-37.58986	-37.99572	0.4058515	0.162275	0.225135
114	0	-37.86497	-39.76868	1.903708	0.14784	0.110558
115	1	-37.97776	-40.32031	2.342553	0.0495144	0.171086
116	0	-37.93977	-38.56108	0.6213095	0.120277	0.248575
117	1	-37.47665	-38.61542	1.138774	0.211362	0.11292
118	0	-37.48709	-38.61723	1.130141	0.130763	0.194263
119	1	-38.00951	-39.2373	1.227794	0.247566	0.0690486
120	0	-37.92476	-37.55917	-0.3655893	0.258274	0.195579
121	1	-37.6155	-38.69375	1.078249	0.115932	0.213563
122	0	-37.72649	-39.38763	1.661136	0.212646	0.0666453
123	1	-37.71235	-37.75609	0.04373569	0.17817	0.240429
124	0	-37.43072	-38.06509	0.6343711	0.17787	0.189857
125	1	-38.53247	-37.15215	-1.380315	0.244762	0.29649
126	0	-39.83693	-39.4701	-0.3668241	0.111279	0.342681
127	1	-37.9524	-37.39562	-0.556786	0.252481	0.217841
128	0	-39.88348	-39.94097	0.05749877	0.337941	0.0794721
129	1	-37.53052	-39.09883	1.56831	0.19053	0.0967558
130	0	-37.84917	-38.62135	0.7721792	0.11654	0.239317
131	1	-37.60237	-38.4365	0.834132	0.234328	0.116193
132	0	-37.92415	-37.33305	-0.5911049	0.239789	0.233488
133	1	-38.30024	-40.16503	1.864786	0.222342	0.0394079
134	0	-38.07883	-37.30348	-0.7753496	0.25696	0.232187
135	1	-38.05136	-37.25823	-0.7931209	0.240825	0.249852
136	0	-37.4795	-37.94096	0.4614583	0.214372	0.168248
137	1	-37.89295	-37.51799	-0.3749622	0.253915	0.200746
138	0	-37.96429	-38.68753	0.723241	0.260688	0.0993846
139	1	-37.67048	-37.52906	-0.1414266	0.22256	0.211987
140	0	-38.73997	-37.6536	-1.086371	0.309553	0.206382
141	1	-38.1483	-38.25634	0.1080387	0.140998	0.272062
142	0	-38.26077	-37.84793	-0.4128358	0.17063	0.287293
143	1	-37.98223	-37.85412	-0.1281088	0.167528	0.265871
144	0	-38.08933	-38.93168	0.8423547	0.263633	0.0861798
145	1	-37.61322	-37.78212	0.1688956	0.18007	0.227748
146	0	-37.87923	-37.46522	-0.4140157	0.204868	0.253157
147	1	-37.78582	-39.82983	2.044015	0.0993866	0.146927
148	0	-37.80809	-38.24852	0.4404243	0.255129	0.129302
149	1	-39.16918	-37.62585	-1.543327	0.329555	0.225737
150	0	-37.92518	-37.40608	-0.5191005	0.211661	0.255415
151	1	-38.55078	-37.43653	-1.114257	0.295762	0.222575
152	0	-37.42143	-38.08951	0.6680796	0.197958	0.166866
153	1	-37.48138	-38.78615	1.304772	0.170376	0.139609
154	0	-38.55945	-38.61616	0.05671362	0.298084	0.119397
155	1	-38.12448	-39.23101	1.106535	0.256601	0.0704582
156	0	-37.64317	-37.64348	0.0003165318	0.19392	0.228418
157	1	-37.45698	-38.66626	1.209277	0.152665	0.165545
158	0	-37.90667	-38.52916	0.6224948	0.259415	0.109334
159	1	-37.46831	-38.72699	1.258681	0.146776	0.167178
160	0	-37.55928	-37.71377	0.1544924	0.19402	0.215039
161	1	-37.64769	-39.30374	1.656046	0.135654	0.144075
162	0	-37.49477	-38.89744	1.402668	0.200781	0.100771
163	1	-37.48297	-38.7775	1.294526	0.160947	0.14992
164	0	-37.44015	-38.04149	0.6013359	0.176785	0.193787
165	1	-37.68057	-38.14653	0.4659592	0.147961	0.234271
166	0	-37.64095	-38.79605	1.155105	0.230337	0.0925385
167	1	-37.41992	-38.36106	0.9411392	0.163729	0.177575
168	0	-39.41928	-37.596	-1.823276	0.215913	0.363492
169	1	-37.78965	-37.42774	-0.3619126	0.217943	0.235594
170	0	-37.5583	-37.67304	0.1147404	0.212955	0.199528
171	1	-38.15713	-37.87856	-0.278566	0.167042	0.279316
172	0	-37.82823	-38.84706	1.018829	0.104093	0.230521
173	1	-37.78933	-38.54444	0.7551115	0.121192	0.236135
174	0	-38.27619	-37.5164	-0.759791	0.198034	0.289772
175	1	-38.78216	-41.87448	3.092322	0.0238991	0.132123
176	0	-39.28175	-40.04475	0.7629962	0.301152	0.0554964
177	1	-37.43674	-38.38011	0.9433785	0.153832	0.18728
178	0	-37.46423	-38.63272	1.16849	0.207156	0.114567
179	1	-37.7792	-37.47048	-0.3087182	0.209324	0.239631
180	0	-38.73363	-37.32819	-1.405442	0.302038	0.241379
181	1	-37.45827	-38.40284	0.9445681	0.212315	0.128694
182	0	-37.46003	-38.53786	1.077827	0.140274	0.189258
183	1	-38.40983	-37.23626	-1.173567	0.278217	0.245228
184	0	-38.57119	-40.82895	2.257754	0.19859	0.0293136
185	1	-39.26332	-39.26922	0.005905197	0.106737	0.31512
186	0	-37.50619	-38.03924	0.5330504	0.164905	0.211548
187	1	-38.44443	-39.02206	0.5776344	0.284056	0.0885573
188	0	-37.96833	-38.10941	0.1410817	0.267446	0.142768
189	1	-37.4206	-38.05165	0.6310509	0.190419	0.177593
190	0	-37.86415	-37.70569	-0.1584614	0.257017	0.178996
191	1	-37.42026	-38.35442	0.9341574	0.198476	0.14343
192	0	-37.64068	-37.96662	0.3259348	0.162439	0.231854
193	1	-38.38549	-40.86222	2.47673	0.146012	0.0630316
194	0	-38.02465	-40.48809	2.463443	0.0470337	0.163154
195	1	-37.99147	-37.91947	-0.07199924	0.16264	0.265926
196	0	-37.89168	-37.41024	-0.4814377	0.212418	0.251414
197	1	-38.44493	-37.9474	-0.497526	0.296103	0.169115
198	0	-38.90068	-41.82208	2.921396	0.0620251	0.108719
199	1	-37.46433	-37.93018	0.4658442	0.20913	0.173112
200	0	-38.13106	-40.66539	2.534339	0.0697652	0.134316
201	1	-37.84716	-39.65475	1.807584	0.209899	0.0567785
202	0	-37.56223	-39.21711	1.65488	0.188009	0.0918204
203	1	-39.21002	-39.67301	0.462987	0.309908	0.0725798
204	0	-38.13812	-40.66271	2.524596	0.0715162	0.133404
205	1	-37.87491	-38.95103	1.076121	0.247063	0.0826152
206	0	-38.20006	-37.46794	-0.7321251	0.2757	0.209723
207	1	-37.50565	-37.79207	0.2864234	0.211758	0.185938
208	0	-37.90284	-40.03329	2.130453	0.16398	0.0748886
209	1	-38.09163	-38.02097	-0.07066062	0.156103	0.272348
210	0	-38.57346	-38.39516	-0.1782986	0.30123	0.136493
211	1	-38.2935	-38.88047	0.5869712	0.106359	0.26545
212	0	-38.16682	-37.21541	-0.9514075	0.251851	0.25246
213	1	-38.36575	-39.11769	0.7519341	0.0950265	0.262574
214	0	-38.92077	-40.35741	1.436639	0.0495386	0.249088
215	1	-37.56051	-38.19884	0.6383301	0.231326	0.136059
216	0	-38.71621	-40.46785	1.751638	0.0423535	0.229142
217	1	-38.1577	-40.32436	2.166658	0.118706	0.117043
218	0	-37.53321	-39.07347	1.540258	0.112707	0.176995
219	1	-37.4095	-38.17821	0.768709	0.181601	0.174555
220	0	-39.31513	-39.34248	0.02735488	0.32404	0.095969
221	1	-37.86833	-39.94202	2.07369	0.163376	0.0803818
222	0	-39.03049	-38.46701	-0.5634797	0.145784	0.325114
