state	type_with_type	type_with_size	type_with_sparsity	size_with_type	size_with_size	size_with_sparsity	sparsity_with_type	sparsity_with_size	sparsity_with_sparsity
0	1	0	0	0	1	0	0	0	1
10000	1	-0.687157241584447	-0.263033810356895	-0.687157241584447	1	0.47456525146535	-0.263033810356895	0.47456525146535	1
20000	1	-0.373664393551018	0.0286900039734715	-0.373664393551018	1	0.13759035524942	0.0286900039734715	0.13759035524942	1
30000	1	0.614287235686918	0.130372562359404	0.614287235686918	1	0.4607651445781	0.130372562359405	0.4607651445781	1
40000	1	-0.114948275183526	-0.214789191744797	-0.114948275183526	1	0.5264991191808	-0.214789191744797	0.5264991191808	1
50000	1	0.752765360281238	0.80885881545019	0.752765360281238	1	0.465184752922064	0.80885881545019	0.465184752922065	1
60000	1	0.726681455551784	0.854620291489415	0.726681455551784	1	0.416594359299073	0.854620291489415	0.416594359299073	1
70000	1	-0.0593775686806839	0.722823745044551	-0.0593775686806839	1	0.318391005186867	0.722823745044551	0.318391005186867	1
80000	1	0.0447411500674387	0.774233569924416	0.0447411500674388	1	0.606669582996948	0.774233569924416	0.606669582996948	1
90000	1	0.348830656377544	0.937904074634453	0.348830656377544	1	0.482212191402508	0.937904074634453	0.482212191402508	1
1e+05	1	0.324154557158392	0.717870390480297	0.324154557158392	1	0.496936227630402	0.717870390480297	0.496936227630402	1
110000	1	-0.406017672024351	0.345594752341286	-0.406017672024351	1	0.326961406586707	0.345594752341286	0.326961406586707	1
120000	1	0.650168159382036	0.728428252022039	0.650168159382036	1	0.394954162833132	0.728428252022039	0.394954162833132	1
130000	1	0.594679296064263	0.835806398743769	0.594679296064263	1	0.363813588022026	0.835806398743769	0.363813588022026	1
140000	1	0.589704349114647	0.706029283755809	0.589704349114647	1	0.529726431579598	0.706029283755809	0.529726431579598	1
150000	1	-0.040735130917689	-0.0640012889703387	-0.040735130917689	1	0.0982980597247803	-0.0640012889703387	0.0982980597247803	1
160000	1	0.17903533399507	0.79687049126252	0.17903533399507	1	0.341775190646645	0.79687049126252	0.341775190646645	1
170000	1	0.112545043315628	0.758091219764994	0.112545043315629	1	0.504769363530832	0.758091219764994	0.504769363530832	1
180000	1	0.299338194123105	0.886940148645276	0.299338194123105	1	0.418786396011831	0.886940148645276	0.418786396011831	1
190000	1	0.477185530400447	0.79470330509358	0.477185530400447	1	0.336511733938646	0.79470330509358	0.336511733938646	1
2e+05	1	-0.388051877126176	0.16728619511164	-0.388051877126176	1	0.550278409161715	0.16728619511164	0.550278409161715	1
210000	1	-0.586979247014026	-0.445819197467234	-0.586979247014026	1	0.452141821059975	-0.445819197467234	0.452141821059975	1
220000	1	0.322818114387887	0.879381845415996	0.322818114387887	1	0.303842425285334	0.879381845415996	0.303842425285335	1
230000	1	0.479630643571101	0.391137142129595	0.479630643571101	1	0.367000709667791	0.391137142129595	0.367000709667791	1
240000	1	0.57449986940446	0.866162767959319	0.574499869404461	1	0.354090459165042	0.866162767959319	0.354090459165042	1
250000	1	0.841884902219663	0.756630109679429	0.841884902219663	1	0.557766848177183	0.756630109679429	0.557766848177182	1
260000	1	0.878601665696478	0.19608353583967	0.878601665696478	1	0.179195720682322	0.19608353583967	0.179195720682322	1
270000	1	0.829167576440889	0.762013166150118	0.829167576440889	1	0.518275171877477	0.762013166150118	0.518275171877477	1
280000	1	0.944117677283352	0.544365165900616	0.944117677283352	1	0.445783216876389	0.544365165900616	0.445783216876389	1
290000	1	0.702154166918104	0.542847823624039	0.702154166918104	1	0.393172587781175	0.542847823624039	0.393172587781175	1
3e+05	1	0.481078050526897	0.778785981548358	0.481078050526897	1	0.623375397133469	0.778785981548358	0.623375397133469	1
310000	1	0.532071200625041	0.373201135805231	0.532071200625041	1	0.504684848443553	0.373201135805231	0.504684848443553	1
320000	1	0.888938425019462	0.778146685263004	0.888938425019462	1	0.525328513079301	0.778146685263004	0.525328513079301	1
330000	1	0.776505401748138	0.857785341729252	0.776505401748138	1	0.486948499405871	0.857785341729252	0.486948499405871	1
340000	1	0.479991913600974	0.894689236963071	0.479991913600974	1	0.184864902004389	0.894689236963071	0.184864902004389	1
350000	1	0.552517371026983	0.976428835026287	0.552517371026983	1	0.531262799818354	0.976428835026288	0.531262799818354	1
360000	1	-0.338297723351422	0.794058565978021	-0.338297723351422	1	0.189101824184387	0.794058565978021	0.189101824184387	1
370000	1	0.390558241436717	0.892425649631551	0.390558241436717	1	0.252703576612201	0.892425649631551	0.252703576612201	1
380000	1	0.714148582838856	0.788494447470484	0.714148582838856	1	0.272532165489791	0.788494447470484	0.272532165489791	1
390000	1	0.85212198923832	0.162105576343734	0.85212198923832	1	0.563891260369006	0.162105576343734	0.563891260369006	1
4e+05	1	0.375639299458046	-0.382301436012106	0.375639299458046	1	0.390596184487454	-0.382301436012106	0.390596184487454	1
410000	1	0.169570053522899	-0.722934306968509	0.169570053522899	1	0.423887278728179	-0.722934306968509	0.423887278728179	1
420000	1	-0.416765297744086	-0.91923555238777	-0.416765297744086	1	0.447550487026967	-0.91923555238777	0.447550487026967	1
