# BEAST v10.5.0
# Generated Thu Nov 20 07:13:39 PST 2025 [seed=1763651576298]
# -window -working -options
state	posterior	prior	likelihood	precisionMatrix11	precisionMatrix12	precisionMatrix13	precisionMatrix21	precisionMatrix22	precisionMatrix23	precisionMatrix31	precisionMatrix32	precisionMatrix33
0	-292.0196378660656	3.6393376519144516	-295.65897551798	0.05	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.05
10000	-145.28647736602736	-3.697488570518007	-141.58898879550935	1.6960572818861506	-0.05416947487188277	0.25823195139164723	-0.05416947487188277	0.024959647121636442	-0.015326521702551166	0.25823195139164723	-0.015326521702551166	0.05832319509716745
20000	-164.8301899938387	1.080095937117243	-165.91028593095595	0.5859436768092828	0.013682198816647657	0.014583582490894609	0.013682198816647657	0.017271992764733277	-0.006423992980023117	0.014583582490894609	-0.006423992980023117	0.01289036774442642
30000	-146.73815070725684	-2.8399106840017256	-143.8982400232551	1.486304208080458	-0.02745564458442323	-0.17133834074614387	-0.02745564458442323	0.021643653287532174	-0.004595428101819482	-0.17133834074614387	-0.004595428101819482	0.04171621685051624
40000	-134.61092609689695	-4.051465095091245	-130.5594610018057	1.5555402189978234	-0.0076489265217750384	-0.35106719266170383	-0.0076489265217750384	0.015347851153189844	-0.007653678223965596	-0.35106719266170383	-0.007653678223965596	0.09998525584951795
50000	-160.9869413334973	0.8505197185875089	-161.83746105208482	0.6165641809231326	-0.06449330358348417	-0.0609896634944622	-0.06449330358348417	0.028274286824440206	-0.00486532705075969	-0.0609896634944622	-0.00486532705075969	0.026636679552206742
60000	-154.26463072213573	-0.5693763044467013	-153.69525441768903	0.9200477348530018	-0.10734142465482632	0.047733005841413406	-0.10734142465482632	0.03231602645410077	-0.012100537521859828	0.047733005841413406	-0.012100537521859828	0.02122980422996185
70000	-148.9887733547458	-1.2281509557687191	-147.7606223989771	1.072862806144332	0.09134650689471954	-0.016205100814717183	0.09134650689471954	0.03256165523499093	-0.007470471388755813	-0.016205100814717183	-0.007470471388755813	0.014100797983034898
80000	-137.82283146294893	-2.9024695963862617	-134.92036186656267	1.3853894748318611	0.03215840795497055	-0.2220311578499572	0.03215840795497055	0.020703123418502514	-0.01228879829026662	-0.2220311578499572	-0.01228879829026662	0.054097318039375265
90000	-141.53747484756565	-2.833822059956142	-138.7036527876095	1.326923668015059	0.2467938484387103	-0.18565748893242334	0.2467938484387103	0.062169937602980264	-0.04124829393558611	-0.18565748893242334	-0.04124829393558611	0.04188271353683801
100000	-160.31382872573735	0.23745532831743743	-160.55128405405478	0.6658930621894298	0.15369213817104457	-0.11162801199278613	0.15369213817104457	0.05700430237849928	-0.03433622916855604	-0.11162801199278613	-0.03433622916855604	0.03370067868052446
110000	-152.61300753440744	-1.432164681388051	-151.18084285301939	0.9263507560513109	0.26009948137422784	-0.2663031102574168	0.26009948137422784	0.09513505578882965	-0.08498134290104996	-0.2663031102574168	-0.08498134290104996	0.09788285731487004
120000	-179.57998672892128	1.9489130261179217	-181.52889975503922	0.27373232496419664	0.007990888194172775	-0.011311591196986614	0.007990888194172775	0.018851651886053027	-0.010430413267926762	-0.011311591196986614	-0.010430413267926762	0.021988428838726395
130000	-184.9845500672189	1.9022131643067235	-186.8867632315256	0.2948238944950737	0.03102720462208871	0.056298209784313116	0.03102720462208871	0.024715781042600513	-0.0034529650400102214	0.056298209784313116	-0.0034529650400102214	0.03682510082441397
140000	-156.2233767662704	-0.2034200582989536	-156.01995670797146	0.7561566055626284	0.22446924418633363	-0.029349778073505955	0.22446924418633363	0.0901732192037576	-0.018547024613006453	-0.029349778073505955	-0.018547024613006453	0.026284345432784496
150000	-168.55988004182277	0.8464027123721709	-169.40628275419493	0.5246661679894903	-0.05680323565997916	0.11310625856827833	-0.05680323565997916	0.03221379987234173	-0.022341874283090084	0.11310625856827833	-0.022341874283090084	0.04476714410619487
160000	-181.273915249415	1.5701566789900858	-182.8440719284051	0.3164357997444005	0.05713123836682364	-0.0190316962359952	0.05713123836682364	0.028669553402537875	-0.013311105203083248	-0.0190316962359952	-0.013311105203083248	0.02086587993938204
170000	-157.2204258288552	0.6092575702037148	-157.82968339905892	0.6287068382206955	0.05277768417493593	0.03473188258466614	0.05277768417493593	0.03171013411873151	-0.005177547203028798	0.03473188258466614	-0.005177547203028798	0.018042259553927187
180000	-171.72538505182308	1.140852146429021	-172.8662371982521	0.49474061000275277	0.07647662714110348	-0.0933867490800595	0.07647662714110348	0.03384843745976965	-0.0225420916381634	-0.0933867490800595	-0.0225420916381634	0.036128014217886056
190000	-139.559219661747	-6.144341495685097	-133.4148781660619	2.116006139140517	-0.09442695588011338	0.24136729019691422	-0.09442695588011338	0.02843215681302821	-0.01941331412858167	0.24136729019691422	-0.01941331412858167	0.044654821592584486
200000	-167.65633753303408	0.8245715589337315	-168.48090909196782	0.5857035901621541	0.010712992589693963	0.07933327319427484	0.010712992589693963	0.017594707737065896	-0.00629941249535936	0.07933327319427484	-0.00629941249535936	0.028605160000888107
210000	-181.7859842202267	1.5254989428013048	-183.31148316302802	0.504826006151898	0.0688343184817601	0.11565950588745255	0.0688343184817601	0.03379229940359391	0.004173069516317773	0.11565950588745255	0.004173069516317773	0.05276087319470513
