# BEAST v10.5.0
# Generated Wed May 13 09:21:02 PDT 2026 [seed=1778689233968]
# -window -working -options
state	posterior	prior	likelihood	precisionMatrix11	precisionMatrix12	precisionMatrix13	precisionMatrix21	precisionMatrix22	precisionMatrix23	precisionMatrix31	precisionMatrix32	precisionMatrix33
0	-276.12216177225923	3.6393376519144516	-279.7614994241737	0.05	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.05
10000	-170.60419677831385	2.283361076274439	-172.8875578545883	0.3471631200067041	0.0013498380079212755	0.05412294872347656	0.0013498380079212755	0.014695421197675803	-0.0042332062308678324	0.05412294872347656	-0.0042332062308678324	0.02900579068476903
20000	-155.60023991917396	1.2177489750865318	-156.81798889426048	0.6239617961088008	0.006299091497957178	0.059769782124525564	0.006299091497957178	0.013994879739999225	-5.06227249910272E-4	0.059769782124525564	-5.06227249910272E-4	0.021368152814992103
30000	-149.59264516688552	0.3632812940229817	-149.9559264609085	0.865599375821673	0.028062426370277848	0.09008225034381118	0.028062426370277848	0.019862078291983828	7.651847728350138E-4	0.09008225034381118	7.651847728350138E-4	0.0269451930830319
40000	-173.20856163706847	0.9509651091369578	-174.15952674620542	0.6837057001830211	0.03538836493480575	0.09237151252972264	0.03538836493480575	0.019012067104363827	0.0014273796597006226	0.09237151252972264	0.0014273796597006226	0.02697205224009748
50000	-202.60533885816923	3.0241303763053318	-205.62946923447456	0.15482070927654878	0.020128680758142642	0.05999586113564527	0.020128680758142642	0.019892633124540947	0.006217171594587307	0.05999586113564527	0.006217171594587307	0.041576312733099544
60000	-172.14488442459125	1.523154373416507	-173.66803879800776	0.5629801834992578	0.0037777026528618327	0.09267164355060642	0.0037777026528618327	0.01628035677129435	-1.1091958745703019E-5	0.09267164355060642	-1.1091958745703019E-5	0.029506306138403358
70000	-187.36554917086966	2.712440749650181	-190.07798992051983	0.22179830648967172	0.0016952508039572013	0.044064279871719306	0.0016952508039572013	0.01891113686114751	-0.0037675631949929556	0.044064279871719306	-0.0037675631949929556	0.022316926608343286
80000	-164.0494423070162	2.06982692981445	-166.11926923683063	0.41677306590706387	0.030632901225155194	0.03571008241059043	0.030632901225155194	0.021156029906282417	-0.003114409764845494	0.03571008241059043	-0.003114409764845494	0.017827430961398563
90000	-175.62608808543186	2.020807563177071	-177.64689564860893	0.4260232021836515	0.013647170250239772	0.11690557064309111	0.013647170250239772	0.015235323938067091	3.8675998267750965E-4	0.11690557064309111	3.8675998267750965E-4	0.048182112871624876
100000	-193.86520784587196	3.143164531122103	-197.00837237699406	0.1907950688135244	-0.0035104916837020855	0.04044723664219483	-0.0035104916837020855	0.01930346539639306	-0.0039981437998863716	0.04044723664219483	-0.0039981437998863716	0.026194457320341223
110000	-168.36150322628612	2.7743651529422397	-171.13586837922836	0.35168191587235975	0.03816127766246354	0.03624400816208444	0.03816127766246354	0.022428107861086254	0.0011403078310778312	0.03624400816208444	0.0011403078310778312	0.02403356354287802
120000	-148.41050989530981	0.28447843046814725	-148.69498832577796	0.9661903870942554	0.04749680272546941	0.09869306931094679	0.04749680272546941	0.01946793271397654	0.003222211035437349	0.09869306931094679	0.003222211035437349	0.030378764100864493
130000	-158.49942372951656	2.098397057503825	-160.5978207870204	0.5726671257201987	0.022790294003284813	0.07569533781811766	0.022790294003284813	0.02479273032604503	-4.5981295258098673E-4	0.07569533781811766	-4.5981295258098673E-4	0.02873476605943095
140000	-150.5913371481943	-0.6736615945280323	-149.91767555366627	1.1067421645983657	0.04270281790699472	0.09934525215891389	0.04270281790699472	0.019387213582257833	-0.002341051036025418	0.09934525215891389	-0.002341051036025418	0.02455984334156726
150000	-165.15030612989352	1.7318508818163014	-166.88215701170984	0.5656217147842892	0.004586922617288688	0.0918039496875356	0.004586922617288688	0.017489384922449152	-3.9532784369070216E-4	0.0918039496875356	-3.9532784369070216E-4	0.03423808950881689
160000	-189.44898107650386	2.666451956875758	-192.11543303337962	0.2448420626180699	-0.004569979295971341	0.06518287815558726	-0.004569979295971341	0.014789179173434959	-0.004609860426826702	0.06518287815558726	-0.004609860426826702	0.03223443197476022
170000	-164.697909431358	1.6319045844242335	-166.32981401578223	0.5858287878907259	-0.0022146192979143643	0.07096865790453563	-0.0022146192979143643	0.01913824321900067	-0.006038594349922003	0.07096865790453563	-0.006038594349922003	0.03281905278371586
180000	-175.94465517189926	2.295618954268019	-178.24027412616726	0.37017464431997243	0.003180940932035723	0.04812928309829101	0.003180940932035723	0.01879727939626506	-0.0050892726585234785	0.04812928309829101	-0.0050892726585234785	0.021513446953192794
190000	-161.10035543542196	0.5122772928795611	-161.61263272830152	0.8816272026878702	0.02451499690517554	0.06397125660965616	0.02451499690517554	0.0192674600079012	-5.273971554126502E-4	0.06397125660965616	-5.273971554126502E-4	0.02918391096339433
200000	-169.10749612746923	1.9006373867740467	-171.00813351424327	0.5099860526081402	0.021689132122434538	0.10500063340116736	0.021689132122434538	0.022246722354157335	0.0014247441751381682	0.10500063340116736	0.0014247441751381682	0.038794267118327425
210000	-186.5296546568655	3.1980768059791655	-189.72773146284464	0.21111324199317702	-0.020273227660059193	0.03714059367775732	-0.020273227660059193	0.020607677414366272	-0.005313907025224942	0.03714059367775732	-0.005313907025224942	0.022859339929832974
220000	-155.0769504927096	0.5829654837845818	-155.6599159764942	0.9029896142901837	0.001926253669044271	0.053153931346270465	0.001926253669044271	0.017311920879123293	-0.004200540507599952	0.053153931346270465	-0.004200540507599952	0.028579583931832554
230000	-234.24260931968035	3.1344590938170493	-237.3770684134974	0.0617493553837172	9.546799333179259E-4	0.017757718588911182	9.546799333179259E-4	0.014377957267350716	-0.0027271778898367892	0.017757718588911182	-0.0027271778898367892	0.025473831046037
240000	-181.36479427361934	2.8620287499179553	-184.2268230235373	0.27260280085781513	0.0013967669228804928	0.052595506647117776	0.0013967669228804928	0.021758644671046424	-0.003954100449019894	0.052595506647117776	-0.003954100449019894	0.031814426518151126
250000	-152.46450526545027	-0.5227802089136762	-151.9417250565366	1.085055237068904	0.026816940304055993	0.1313279388970489	0.026816940304055993	0.022042718930523814	-0.0015936324536514473	0.1313279388970489	-0.0015936324536514473	0.035348580856635774
